hora,cpu
17:55:52.649269181,47.4
17:55:53.787044144,96.6
17:55:54.824627964,76.9
17:55:55.864987078,69.2
17:55:56.896760153,3.9
17:55:57.944493440,2.1
17:55:59.020279051,3.3
17:56:00.106651419,69
17:56:01.236359141,50.6
17:56:02.314748747,61.1
17:56:03.407793886,50.9
17:56:04.483502884,16.7
17:56:05.573293720,2.1
17:56:06.649324122,5.4
17:56:07.744485133,3
17:56:08.804442041,4.2
17:56:09.878815630,4.5
17:56:10.974270286,7.4
17:56:12.075771309,3.6
17:56:13.179669088,3.3
17:56:14.234830923,3
17:56:15.307849260,1.8
17:56:16.391310240,3.6
17:56:17.450630486,1.8
17:56:18.528151243,4.2
17:56:19.626433120,5.7
17:56:20.685317067,52.4
17:56:21.782200098,46.2
17:56:22.834315806,48
17:56:23.904310360,44.4
17:56:25.038862531,11.4
17:56:26.110914311,3.9
17:56:27.701754929,1.8
17:56:28.796767556,5.4
17:56:29.900729918,3
17:56:30.964934508,3.9
17:56:32.043979891,1.8
17:56:33.120986380,2.4
17:56:34.219471173,2.1
17:56:35.292808310,2.4
17:56:36.366835183,1.8
17:56:37.427235995,2.7
17:56:38.501653385,1.8
17:56:39.595873205,11.9
17:56:40.675853634,66.6
17:56:41.812218658,59.8
17:56:42.996757860,62.3
17:56:44.165835752,49.9
17:56:45.338069354,65.9
17:56:46.472788398,14.5
17:56:47.518344824,14.7
17:56:48.616411546,9
17:56:49.707635030,5.7
17:56:50.795241661,6.6
17:56:51.848064187,5.1
17:56:52.936149618,9.2
17:56:54.017412382,2.1
17:56:55.071037091,4.5
17:56:56.151252258,3
17:56:57.233617412,3.3
17:56:58.295223685,2.4
17:56:59.372839389,3
17:57:00.426461806,1.5
17:57:01.505537449,24.4
17:57:02.603871097,50.3
17:57:03.740334349,40.8
17:57:04.863514925,48.2
17:57:05.949220735,53.3
17:57:06.999240830,5.4
17:57:08.051503881,2.7
17:57:09.128686932,3.3
17:57:10.202934532,2.7
17:57:11.283299646,3.9
17:57:12.360754622,4.3
17:57:13.399119947,4.2
17:57:14.448360881,2.7
17:57:15.533571277,3.6
17:57:16.616951685,2.4
17:57:17.673493250,3.9
17:57:18.756561316,3.6
17:57:19.855159962,3.3
17:57:20.911822620,4.8
17:57:21.992425806,3.3
17:57:23.074979344,53.2
17:57:24.166677929,53.9
17:57:25.249437299,45.1
17:57:26.344329249,39.1
17:57:27.489039846,25.6
17:57:28.646417395,5.1
17:57:29.695856452,3.6
17:57:30.779450244,5.4
17:57:31.864413038,2.1
17:57:32.919880652,3.3
17:57:34.003994024,3.3
17:57:35.085327100,2.7
17:57:36.143465270,4.2
17:57:37.221802689,3
17:57:38.304908202,4.2
17:57:39.369654821,3
17:57:40.454281991,2.4
17:57:41.537703649,3.9
17:57:42.600444967,3.9
17:57:43.685033909,48.6
17:57:44.788066433,58.5
17:57:45.909258479,55.7
17:57:47.115351817,58.1
17:57:48.286515217,47.8
17:57:49.443543237,19.9
