hora,e_core,e_ram,cpu,mem_used
05:00:58.187317488,0.11,0.30,0,2665732
05:00:59.546643955,0.04,0.29,1,2664996
05:01:00.893573600,0.07,0.30,0,2665528
05:01:02.232314619,0.06,0.30,0,2665592
05:01:03.578774589,0.04,0.30,1,2664796
05:01:04.931170984,0.14,0.30,0,2664980
05:01:06.270287004,0.04,0.30,0,2665016
05:01:07.626478847,0.07,0.30,0,2665188
05:01:08.972190957,0.04,0.30,0,2665136
05:01:10.323585005,0.04,0.30,0,2664096
05:01:11.675496476,0.05,0.30,0,2662688
05:01:13.022257086,0.05,0.30,0,2664420
05:01:14.378241646,0.04,0.30,1,2664872
05:01:15.727216169,0.04,0.30,1,2664500
05:01:17.083022907,0.05,0.30,0,2664252
05:01:18.436749242,0.04,0.29,0,2664492
05:01:19.792117379,0.04,0.30,0,2664128
05:01:21.146059286,0.04,0.30,0,2664632
05:01:22.497504486,0.04,0.29,0,2664584
05:01:23.847607510,0.04,0.30,0,2664228
05:01:25.182951416,0.05,0.30,0,2663104
05:01:26.534066566,0.04,0.29,0,2662780
05:01:27.886571041,0.04,0.30,0,2662980
05:01:29.232344419,0.06,0.30,0,2662344
05:01:30.583455979,0.05,0.29,0,2661624
05:01:31.927143705,0.04,0.30,0,2661168
05:01:33.277327673,0.08,0.30,0,2662076
05:01:34.630525604,0.04,0.29,4,2661180
05:01:35.975710111,0.05,0.30,0,2660640
05:01:37.323295745,0.05,0.30,0,2660224
05:01:38.671876016,0.05,0.29,0,2661584
05:01:40.025504970,0.06,0.30,0,2661220
05:01:41.368159515,0.90,0.34,2,2658844
05:01:42.711575860,0.21,0.34,2,2657484
05:01:44.049638126,0.20,0.32,4,2654812
05:01:45.382040121,0.12,0.31,1,2652096
05:01:46.731025073,0.28,0.33,3,2651916
05:01:48.072163239,0.21,0.33,2,2652024
05:01:49.418178860,0.23,0.33,2,2651764
05:01:50.767272518,0.15,0.33,1,2651888
05:01:52.119785728,0.13,0.30,0,2656424
05:01:53.473465576,0.06,0.30,0,2656360
05:01:54.831285506,0.08,0.29,0,2656788
05:01:56.168965586,0.08,0.31,0,2656056
05:01:57.522964688,0.05,0.30,0,2656128
05:01:58.879794933,0.08,0.29,0,2656468
05:02:00.226736894,0.24,0.30,0,2654940
05:02:01.578418194,0.16,0.29,0,2655012
05:02:02.931370954,0.10,0.29,0,2654996
05:02:04.283761835,0.13,0.30,4,2654264
05:02:05.633657423,0.13,0.32,9,2653088
05:02:06.988158364,0.19,0.31,2,2652960
05:02:08.331770425,0.21,0.34,2,2651992
05:02:09.677348751,0.22,0.31,1,2652684
05:02:11.024568630,0.12,0.33,2,2653392
05:02:12.375386269,0.14,0.30,1,2652908
05:02:13.727684033,0.15,0.32,2,2653376
05:02:15.079772965,0.12,0.31,0,2651820
05:02:16.431290437,0.12,0.30,0,2651892
05:02:17.780925707,0.07,0.29,1,2651716
05:02:19.142407740,0.07,0.29,0,2652600
05:02:20.487305140,0.07,0.29,0,2652856
05:02:21.834009752,0.08,0.29,0,2653128
05:02:23.187133779,0.07,0.30,0,2652732
05:02:24.528930691,0.19,0.29,0,2652460
05:02:25.879688968,0.08,0.29,1,2653028
05:02:27.234190858,0.88,0.39,5,2606988
05:02:28.557685413,0.72,0.33,3,2579484
05:02:29.883796116,1.14,0.33,3,2572948
05:02:31.204451024,0.57,0.32,2,2567760
05:02:32.530126547,4.30,0.46,2,2551864
05:02:33.848820065,0.55,0.31,4,2546216
05:02:35.182863869,0.44,0.32,0,2540584
05:02:36.525890202,0.70,0.33,0,2537816
05:02:37.860059068,0.79,0.30,1,2541148
05:02:39.202662537,0.25,0.31,0,2541784
05:02:40.548848671,0.13,0.29,0,2542132
05:02:41.901934456,0.09,0.29,0,2548176
05:02:43.259839355,0.84,0.34,0,2523688
05:02:44.610319900,0.10,0.29,0,2522952
05:02:45.957153688,0.09,0.29,1,2522648
05:02:47.310212689,0.09,0.29,0,2521596
05:02:48.657967880,0.19,0.31,3,2522260
05:02:50.001984814,0.17,0.32,5,2522268
05:02:51.360140140,2.63,0.37,1,2503628
05:02:52.691596053,1.08,0.32,2,2517260
05:02:54.028982546,3.38,0.34,1,2515036
05:02:55.366078102,0.12,0.31,2,2514648
05:02:56.714450764,0.19,0.32,1,2515056
05:02:58.059773061,0.10,0.29,0,2514484
05:02:59.400631246,0.10,0.29,0,2514872
05:03:00.747881483,0.09,0.29,0,2514560
05:03:02.096729603,0.09,0.29,0,2515028
05:03:03.448477918,0.07,0.29,0,2514504
05:03:04.794749441,0.12,0.29,0,2514444
05:03:06.144058700,0.13,0.29,0,2514692
05:03:07.495533761,0.09,0.29,0,2514724
05:03:08.844488572,0.08,0.29,0,2514560
