horaejecucion,e_core,e_ram,cpu,mem_used
12:25:42.461461106,1.91,0.34,1,2624360
12:25:43.815200354,0.06,0.30,2,2623680
12:25:45.156828014,0.06,0.30,1,2624072
12:25:46.499616776,0.04,0.29,1,2623376
12:25:47.851743604,0.04,0.29,0,2622860
12:25:49.202321386,0.06,0.30,1,2623500
12:25:50.542539167,0.04,0.29,1,2622972
12:25:51.883546994,0.04,0.29,0,2623004
12:25:53.223845954,0.07,0.30,0,2622844
12:25:54.569857835,0.04,0.29,1,2621856
12:25:55.922374583,0.15,0.30,0,2621856
12:25:57.274472836,0.12,0.30,0,2621916
12:25:58.626440060,0.03,0.29,1,2622260
12:25:59.978220186,0.05,0.29,1,2621648
12:26:01.331887214,0.05,0.29,0,2621096
12:26:02.675113595,0.37,0.35,3,2609648
12:26:04.021635816,0.54,0.35,2,2608068
12:26:05.351515417,0.23,0.34,2,2607672
12:26:06.689776533,0.35,0.34,1,2607460
12:26:08.036070811,0.17,0.34,3,2607704
12:26:09.378738991,0.15,0.34,3,2607212
12:26:10.739995054,0.13,0.31,1,2607072
12:26:12.096008627,0.10,0.29,0,2606956
12:26:13.446259067,0.08,0.29,1,2607000
12:26:14.795655852,0.10,0.29,0,2606768
12:26:16.154089048,0.10,0.29,1,2607312
12:26:17.505118491,0.09,0.31,0,2607116
12:26:18.848635787,0.07,0.30,0,2606836
12:26:20.208169353,0.09,0.29,0,2606860
12:26:21.558060672,0.07,0.29,0,2606216
12:26:22.900226104,0.18,0.35,3,2605744
12:26:24.249378546,2.76,0.42,1,2607428
12:26:25.587187080,0.12,0.32,2,2606204
12:26:26.940738265,0.21,0.31,3,2606204
12:26:28.300452412,0.15,0.33,1,2606268
12:26:29.649023651,0.15,0.31,0,2606248
12:26:31.007367578,0.24,0.32,1,2605504
12:26:32.351595841,0.11,0.30,0,2605676
12:26:33.704915682,0.08,0.29,1,2605404
12:26:35.036843850,0.08,0.29,0,2605472
12:26:36.390789717,0.12,0.29,0,2605464
12:26:37.742699305,0.10,0.29,0,2604216
12:26:39.086998128,0.09,0.29,1,2603688
12:26:40.429815249,0.13,0.29,0,2605804
12:26:41.787882289,0.07,0.29,1,2605108
12:26:43.135749634,0.95,0.36,5,2574044
12:26:44.464296172,0.74,0.33,2,2547812
12:26:45.789701571,1.66,0.36,4,2521824
12:26:47.118563044,0.60,0.33,2,2520728
12:26:48.448342703,0.90,0.31,2,2520692
12:26:49.772190001,4.85,0.48,0,2502444
12:26:51.092856136,0.69,0.33,4,2508172
12:26:52.422901150,0.31,0.31,1,2508652
12:26:53.750897560,0.25,0.30,5,2505916
12:26:55.097211858,0.09,0.29,0,2505216
12:26:56.447304267,0.16,0.29,0,2516536
12:26:57.797011422,0.09,0.29,0,2515776
12:26:59.149275686,0.10,0.29,0,2515204
12:27:00.494424872,0.14,0.29,0,2515084
12:27:01.847567766,0.08,0.29,3,2514724
12:27:03.195400688,0.09,0.29,0,2514560
12:27:04.535563608,0.24,0.31,2,2514480
12:27:05.887804509,0.17,0.34,1,2515380
12:27:07.229949595,0.17,0.35,1,2515556
12:27:08.575113835,2.16,0.36,2,2499728
12:27:09.906338116,0.20,0.33,2,2499780
12:27:11.246228648,0.17,0.33,3,2498296
12:27:12.590769486,0.24,0.34,2,2497940
12:27:13.944173944,0.43,0.30,3,2493244
12:27:15.278357094,0.09,0.30,0,2492948
12:27:16.617050159,0.47,0.29,0,2498060
12:27:17.959822439,0.09,0.29,0,2497968
12:27:19.315962472,0.10,0.30,0,2498620
12:27:20.667553032,0.23,0.29,0,2498000
12:27:22.006657335,0.06,0.29,0,2498588
12:27:23.359449923,0.11,0.30,0,2498536
12:27:24.706484791,0.09,0.29,0,2498108
12:27:26.056276674,0.17,0.29,1,2497640
12:27:27.398495188,0.24,0.32,6,2493312
12:27:28.734800971,0.55,0.33,1,2492644
12:27:30.078145467,0.20,0.33,4,2491148
12:27:31.426020449,0.30,0.33,1,2491044
12:27:32.770997506,0.21,0.31,3,2488864
12:27:34.106001419,2.63,0.38,0,2480100
12:27:35.458480417,0.12,0.30,0,2479748
12:27:36.806403813,0.13,0.29,0,2479036
12:27:38.153219672,0.08,0.29,0,2478996
12:27:39.503811347,0.09,0.29,0,2480600
12:27:40.859604258,0.08,0.29,1,2480584
12:27:42.202015411,0.12,0.29,0,2480504
12:27:43.549968394,0.12,0.30,1,2477624
12:27:44.903574929,0.16,0.29,1,2476732
12:27:46.252066663,0.09,0.29,1,2476468
12:27:47.589990912,0.56,0.31,0,2475276
12:27:48.922687251,0.58,0.30,1,2472184
12:27:50.250466152,0.53,0.32,1,2468784
12:27:51.577935033,0.63,0.33,3,2464688
12:27:52.915649923,0.64,0.32,2,2460740
12:27:54.231824765,0.57,0.32,1,2454932
12:27:55.558292528,1.09,0.32,0,2451692
12:27:56.883511238,0.16,0.30,1,2450648
12:27:58.219742295,0.14,0.29,0,2450804
12:27:59.555144974,0.18,0.30,0,2450156
12:28:00.903610694,0.09,0.29,1,2450124
12:28:02.247408066,0.17,0.29,0,2449920
12:28:03.589969248,0.09,0.30,2,2448724
12:28:04.939894152,0.15,0.29,0,2450056
12:28:06.281339302,0.07,0.29,0,2449652
12:28:07.640426197,0.21,0.33,2,2447292
12:28:08.993009478,0.23,0.31,5,2445940
12:28:10.337472071,0.18,0.35,1,2444628
12:28:11.680127511,0.17,0.33,3,2443196
12:28:13.031847601,0.27,0.31,3,2442400
12:28:14.368613244,0.16,0.33,2,2440184
12:28:15.714630427,0.17,0.34,2,2439776
12:28:17.067743051,0.19,0.30,1,2438836
12:28:18.415531580,0.06,0.30,0,2438056
12:28:19.766158437,0.07,0.29,0,2438180
12:28:21.101652116,0.13,0.29,1,2437544
12:28:22.455900849,0.09,0.30,0,2437964
12:28:23.806208421,0.09,0.29,0,2436400
12:28:25.156537500,0.11,0.29,1,2437408
12:28:26.515386314,0.06,0.29,0,2436748
12:28:27.857657034,0.10,0.29,0,2436504
12:28:29.217852460,0.20,0.33,3,2435100
12:28:30.571459241,0.17,0.33,2,2433708
12:28:31.916667014,0.17,0.32,1,2432140
12:28:33.254061823,0.23,0.33,3,2431372
12:28:34.601460498,0.21,0.32,1,2428340
12:28:35.955823093,0.15,0.34,2,2426640
12:28:37.301969931,0.16,0.30,1,2426524
12:28:38.641402709,0.12,0.30,0,2425736
12:28:39.989621158,0.10,0.29,0,2425452
12:28:41.355818165,0.13,0.29,0,2425592
12:28:42.697916989,0.07,0.30,0,2425004
12:28:44.050210054,0.83,0.31,0,2424588
12:28:45.391617543,0.11,0.29,0,2423688
12:28:46.738916024,0.07,0.29,0,2423400
12:28:48.088586260,0.09,0.29,0,2423200
12:28:49.432946728,0.16,0.29,3,2421120
12:28:50.768550199,0.48,0.32,2,2417172
12:28:52.086710587,0.47,0.32,1,2411808
12:28:53.410402769,0.41,0.31,0,2405916
12:28:54.736758642,0.40,0.31,1,2401568
12:28:56.058274424,0.43,0.30,0,2397604
12:28:57.383064912,0.34,0.32,1,2392968
12:28:58.723244154,0.31,0.31,0,2390208
12:29:00.048632919,0.19,0.30,0,2389444
12:29:01.388272539,0.22,0.29,0,2389140
12:29:02.721919435,0.09,0.29,1,2388772
12:29:04.065939582,0.08,0.30,0,2387272
12:29:05.419291388,0.15,0.29,0,2389108
12:29:06.774546338,0.20,0.29,0,2389028
12:29:08.118033356,0.07,0.29,0,2387700
12:29:09.468152296,0.21,0.29,0,2387388
12:29:10.811150813,0.18,0.33,2,2386436
12:29:12.167041467,0.17,0.33,3,2384716
12:29:13.518973716,0.22,0.33,2,2381704
12:29:14.867753442,0.15,0.32,1,2380340
12:29:16.214595320,0.50,0.34,2,2379100
12:29:17.566107483,0.31,0.31,2,2377636
12:29:18.913680829,0.16,0.34,0,2376948
12:29:20.266433654,0.06,0.29,1,2377004
12:29:21.627171852,0.13,0.30,0,2376468
12:29:22.979832187,0.09,0.29,0,2374736
12:29:24.319344996,0.10,0.29,0,2372640
12:29:25.678033979,0.37,0.30,0,2371600
12:29:27.027860182,0.08,0.29,0,2374868
12:29:28.377668465,0.18,0.29,0,2373440
12:29:29.719078007,0.13,0.30,0,2373100
12:29:31.076823535,0.13,0.29,0,2372960
12:29:32.439501685,0.45,0.31,3,2371476
12:29:33.794216761,0.25,0.34,3,2368220
12:29:35.142765240,0.16,0.34,3,2366836
12:29:36.487012307,0.15,0.33,1,2365260
12:29:37.843630246,0.18,0.33,1,2364212
12:29:39.192506136,0.18,0.32,2,2363056
12:29:40.542209649,0.14,0.30,0,2362556
12:29:41.895963450,0.08,0.30,0,2362108
12:29:43.252028879,0.06,0.30,0,2361020
12:29:44.596023560,0.19,0.29,0,2357216
12:29:45.931656657,0.11,0.29,0,2358912
12:29:47.289306752,0.14,0.29,1,2360920
12:29:48.640947020,0.09,0.29,0,2359416
12:29:49.990239584,0.13,0.29,0,2358904
12:29:51.345168571,0.09,0.29,0,2358624
12:29:52.702109483,0.27,0.32,1,2356324
12:29:54.027950972,0.59,0.32,0,2349432
12:29:55.354193241,0.40,0.31,3,2345320
12:29:56.678521502,0.38,0.32,1,2340676
12:29:58.008817455,0.50,0.32,1,2336128
12:29:59.327895208,0.35,0.31,2,2332460
12:30:00.658185173,0.42,0.32,1,2328140
12:30:01.985465372,0.30,0.31,0,2325668
12:30:03.322451906,0.16,0.29,0,2322932
12:30:04.666711124,0.07,0.30,1,2322780
12:30:06.018465232,0.19,0.29,0,2322392
12:30:07.371799736,0.10,0.29,1,2324124
12:30:08.723127391,0.08,0.29,0,2323692
12:30:10.073374276,0.12,0.29,0,2322408
12:30:11.429884073,0.11,0.29,0,2322428
12:30:12.779643729,0.14,0.29,0,2322016
12:30:14.131744598,0.20,0.31,1,2318444
12:30:15.479522005,0.17,0.31,1,2316976
12:30:16.830173325,0.15,0.33,1,2315596
12:30:18.174399520,0.17,0.32,2,2314964
12:30:19.523898041,0.14,0.32,1,2313732
12:30:20.873568991,0.49,0.33,1,2312820
12:30:22.225535823,0.29,0.32,1,2311720
12:30:23.570965817,0.09,0.29,0,2308892
12:30:24.923337890,0.11,0.29,1,2308664
12:30:26.267457398,0.11,0.29,0,2308084
12:30:27.620564065,0.07,0.29,0,2308132
12:30:28.958262439,0.10,0.29,0,2307896
12:30:30.311493107,0.10,0.29,0,2307316
12:30:31.662323736,0.12,0.29,0,2306936
12:30:33.006069249,0.08,0.29,0,2307688
12:30:34.362135290,0.10,0.29,0,2305200
12:30:35.722789597,0.16,0.32,0,2303992
12:30:37.067830011,0.17,0.34,3,2302476
12:30:38.416320429,0.16,0.33,1,2301108
12:30:39.765601772,0.14,0.31,2,2299856
12:30:41.117780020,0.19,0.33,1,2298536
12:30:42.458507280,0.22,0.31,2,2297232
12:30:43.804681924,0.17,0.31,0,2293176
12:30:45.152979000,0.08,0.30,0,2292768
12:30:46.508174962,0.14,0.29,0,2292216
12:30:47.861804776,0.08,0.29,0,2291308
12:30:49.219916192,0.06,0.29,0,2292488
12:30:50.546114028,0.12,0.29,0,2292572
12:30:51.903016245,0.09,0.30,0,2292120
12:30:53.254520136,0.10,0.29,0,2291956
12:30:54.603426820,0.09,0.29,0,2290928
12:30:55.955689737,0.12,0.30,1,2288660
12:30:57.286647247,0.40,0.30,0,2284216
12:30:58.609954111,0.50,0.31,2,2279140
12:30:59.936750634,0.54,0.33,0,2273504
12:31:01.270300988,0.36,0.32,0,2269312
12:31:02.594468423,0.90,0.31,0,2264312
12:31:03.921390384,0.37,0.32,2,2258952
12:31:05.250296638,0.27,0.31,1,2255908
12:31:06.580409276,0.10,0.29,1,2254712
12:31:07.921304772,0.15,0.30,0,2254248
12:31:09.275163275,0.09,0.29,0,2254040
12:31:10.627789993,0.09,0.29,0,2254932
12:31:11.984073647,0.09,0.30,0,2255344
12:31:13.335349510,0.09,0.29,0,2252500
12:31:14.684876630,0.06,0.29,0,2250576
12:31:16.031794640,0.12,0.30,0,2252292
12:31:17.374580879,0.16,0.33,3,2249680
12:31:18.718072465,0.21,0.34,2,2249232
12:31:20.059321547,0.18,0.31,0,2248592
12:31:21.416263595,0.20,0.31,2,2247692
12:31:22.770469644,0.18,0.32,1,2246720
12:31:24.117527582,0.19,0.32,0,2242672
12:31:25.462164105,0.14,0.32,1,2241648
12:31:26.814933162,0.11,0.29,0,2241556
12:31:28.167429083,0.08,0.30,0,2240980
12:31:29.523512136,0.06,0.29,0,2240688
12:31:30.870543244,0.08,0.29,0,2240764
12:31:32.227070745,0.13,0.30,0,2240128
12:31:33.587819572,0.07,0.29,1,2237340
12:31:34.938929834,0.10,0.29,0,2237336
12:31:36.297977132,0.08,0.29,0,2238396
12:31:37.652295691,0.07,0.29,0,2238296
12:31:38.996121897,0.17,0.34,1,2235992
12:31:40.347827433,0.16,0.32,1,2234980
12:31:41.693619131,0.16,0.34,3,2232592
12:31:43.043116980,0.44,0.33,2,2231588
12:31:44.389929043,0.16,0.34,2,2227076
12:31:45.729668702,0.14,0.31,2,2225848
12:31:47.076748013,0.09,0.30,1,2225376
12:31:48.439531854,0.07,0.29,0,2224984
12:31:49.794891050,0.08,0.29,0,2225120
12:31:51.139174208,0.09,0.29,1,2225100
12:31:52.486699201,0.09,0.29,0,2224536
12:31:53.839577216,0.08,0.29,1,2222312
12:31:55.191963180,0.09,0.29,0,2221172
12:31:56.542170649,0.11,0.28,0,2221192
12:31:57.887524760,0.08,0.29,0,2222760
12:31:59.234274651,3.22,0.43,1,2216812
12:32:00.559378953,0.41,0.31,1,2212452
12:32:01.881171111,0.41,0.32,2,2207400
12:32:03.210295731,0.52,0.32,2,2203688
12:32:04.540928413,0.37,0.32,1,2196460
12:32:05.858726984,0.39,0.32,0,2192680
12:32:07.183283853,0.35,0.32,1,2188156
12:32:08.508161971,0.18,0.31,0,2187000
12:32:09.853895472,0.22,0.30,1,2186416
12:32:11.202114441,0.12,0.29,0,2185972
12:32:12.543764802,0.07,0.29,0,2186104
12:32:13.902441793,0.07,0.29,0,2182468
12:32:15.249457993,0.07,0.29,0,2182064
12:32:16.599552712,0.11,0.29,0,2181652
12:32:17.955339586,0.12,0.29,0,2183888
12:32:19.298836207,0.11,0.29,0,2182740
12:32:20.645402670,0.17,0.34,1,2181360
12:32:22.002220787,0.16,0.33,2,2180184
12:32:23.350306626,0.16,0.31,0,2176152
12:32:24.703195844,0.18,0.31,1,2174400
12:32:26.051047409,0.21,0.32,1,2173624
12:32:27.398670551,0.16,0.33,2,2172696
12:32:28.742760103,0.13,0.30,0,2171384
12:32:30.091633515,0.07,0.30,0,2171032
12:32:31.444764794,0.14,0.29,0,2170576
12:32:32.798360545,0.15,0.29,0,2170604
12:32:34.139662793,0.12,0.30,0,2167248
12:32:35.493356749,0.13,0.29,0,2167216
12:32:36.848119906,0.11,0.29,0,2166968
12:32:38.194860251,0.10,0.29,0,2166812
12:32:39.549657345,0.10,0.29,0,2168248
12:32:40.907364354,0.08,0.29,2,2167096
12:32:42.251578825,0.23,0.33,3,2165156
