horaejecucion,e_core,e_ram,cpu,mem_used
15:50:49.770723969,0.03,0.29,0,2614016
15:50:51.127116972,0.05,0.29,0,2613676
15:50:52.468891684,0.04,0.30,0,2613284
15:50:53.816788287,0.05,0.29,0,2613012
15:50:55.165529137,0.04,0.29,0,2611660
15:50:56.519403129,0.04,0.30,1,2611604
15:50:57.870937181,0.05,0.29,1,2613144
15:50:59.216143744,0.05,0.29,0,2612940
15:51:00.564565668,0.04,0.29,0,2612736
15:51:01.921562960,0.04,0.29,0,2612392
15:51:03.270586443,0.05,0.29,1,2613028
15:51:04.619773451,0.06,0.30,1,2613052
15:51:05.973188424,0.04,0.29,3,2605904
15:51:07.319879487,0.05,0.30,0,2606276
15:51:08.661824872,0.04,0.29,0,2605656
15:51:10.002370313,0.72,0.35,5,2603224
15:51:11.345381214,0.45,0.35,3,2602332
15:51:12.678402265,0.28,0.33,2,2602724
15:51:14.018105952,0.34,0.31,4,2599204
15:51:15.359700683,0.26,0.33,2,2598276
15:51:16.702146145,0.19,0.34,3,2600040
15:51:18.046978854,0.13,0.32,0,2600832
15:51:19.394594266,0.09,0.30,0,2601628
15:51:20.727584251,0.11,0.29,0,2601268
15:51:22.082394051,0.55,0.29,0,2601252
15:51:23.421338195,0.14,0.29,0,2601168
15:51:24.775973158,0.12,0.29,0,2601084
15:51:26.120943660,0.12,0.29,0,2601420
15:51:27.472967932,0.11,0.29,0,2601300
15:51:28.825247245,0.25,0.29,2,2599744
15:51:30.165922142,0.38,0.32,0,2599272
15:51:31.514343615,0.17,0.34,2,2598924
15:51:32.867275757,0.14,0.33,1,2598784
15:51:34.210993885,0.16,0.34,2,2600116
15:51:35.558159267,0.25,0.34,2,2597676
15:51:36.899986926,0.15,0.33,1,2597040
15:51:38.242679571,0.11,0.30,0,2597520
15:51:39.584393846,0.13,0.30,0,2597488
15:51:40.940026052,0.08,0.29,1,2597140
15:51:42.290444838,0.12,0.31,1,2597020
15:51:43.637850286,0.08,0.30,0,2597644
15:51:44.989422169,0.05,0.29,1,2597676
15:51:46.339550995,0.91,0.31,0,2596816
15:51:47.678360436,0.09,0.30,0,2596944
15:51:49.024339071,0.81,0.36,4,2556388
15:51:50.357757401,0.77,0.33,0,2529332
15:51:51.681382074,1.46,0.34,3,2527088
15:51:52.998023312,0.49,0.32,3,2526524
15:51:54.321602869,1.18,0.31,0,2526316
15:51:55.652207457,0.52,0.31,14,2508848
15:51:56.977606406,0.94,0.32,3,2508752
15:51:58.294738634,0.23,0.30,0,2517248
15:51:59.624999351,0.18,0.30,0,2517340
15:52:00.976227894,0.17,0.30,1,2516664
15:52:02.329411992,0.09,0.29,1,2515964
15:52:03.678524690,0.11,0.30,0,2515476
15:52:05.029180041,0.08,0.29,1,2517420
15:52:06.379962143,0.09,0.30,0,2516664
15:52:07.729421797,0.10,0.30,0,2516360
15:52:09.078080844,0.19,0.33,3,2516380
15:52:10.422355291,0.16,0.35,2,2515708
15:52:11.775048531,0.15,0.34,3,2512500
15:52:13.121528643,0.17,0.33,6,2512160
15:52:14.450663646,2.55,0.40,2,2499948
15:52:15.793761404,0.17,0.32,4,2499332
15:52:17.142040269,0.13,0.31,1,2499784
15:52:18.495490858,0.11,0.29,0,2514940
15:52:19.846026044,0.11,0.30,0,2514964
15:52:21.195793342,0.06,0.29,0,2514368
15:52:22.547531591,0.10,0.29,0,2514204
15:52:23.898058412,0.23,0.29,0,2514248
15:52:25.246694441,0.09,0.29,2,2514160
15:52:26.590934634,0.08,0.29,0,2513632
15:52:27.943916131,0.16,0.33,2,2513640
15:52:29.288869894,1.71,0.35,2,2506636
