horaejecucion,e_core,e_ram,cpu,mem_used
21:49:31.228111720,0.02,0.28,0,3342384
21:49:32.577322832,0.01,0.28,0,3341996
21:49:33.920067701,0.02,0.28,0,3342376
21:49:35.257169447,0.02,0.28,0,3342260
21:49:36.605913261,0.03,0.28,0,3342368
21:49:37.949241467,0.02,0.28,0,3342616
21:49:39.288575338,0.03,0.28,0,3342252
21:49:40.640581686,0.03,0.28,0,3342440
21:49:41.979533037,0.10,0.32,0,3342416
21:49:43.326129255,0.08,0.31,0,3342376
21:49:44.677024892,0.02,0.28,0,3342004
21:49:46.026279118,0.03,0.28,0,3342120
21:49:47.367674721,0.02,0.28,0,3342468
21:49:48.714836981,0.02,0.28,0,3342104
21:49:50.057629365,0.02,0.28,0,3341512
21:49:51.398530009,0.02,0.28,0,3342104
21:49:52.748433938,0.03,0.28,0,3342476
21:49:54.087946914,0.02,0.28,0,3341988
21:49:55.431731184,0.02,0.28,0,3342236
21:49:56.777099375,0.02,0.28,0,3342084
21:49:58.122277985,0.03,0.28,0,3342084
21:49:59.457373470,0.01,0.28,0,3342476
21:50:00.798403349,0.02,0.28,0,3342236
21:50:02.146080765,0.02,0.28,0,3341892
21:50:03.491176807,0.09,0.30,0,3341988
21:50:04.835333888,0.02,0.28,0,3342492
21:50:06.181617351,0.02,0.28,0,3342312
21:50:07.524581249,0.02,0.28,0,3341864
21:50:08.876692923,0.02,0.28,0,3342236
21:50:10.221134174,0.02,0.28,0,3342244
21:50:11.559234284,0.02,0.28,0,3342244
21:50:12.909440992,0.02,0.28,0,3341996
21:50:14.245299200,0.02,0.28,0,3342252
21:50:15.582810534,0.02,0.28,0,3341996
21:50:16.927389292,0.04,0.28,0,3342128
21:50:18.274257060,0.02,0.28,0,3342128
21:50:19.612887725,0.02,0.28,0,3342368
21:50:20.952251865,0.03,0.28,0,3341996
21:50:22.293862214,0.02,0.28,0,3342252
21:50:23.634065731,0.09,0.31,0,3341600
21:50:24.973021738,0.07,0.31,0,3341796
21:50:26.314890973,0.03,0.29,0,3342476
21:50:27.659065837,0.04,0.29,0,3341688
21:50:29.010582431,0.03,0.29,0,3341856
21:50:30.347228742,0.02,0.28,0,3341856
21:50:31.692723159,0.02,0.28,0,3341748
21:50:33.039385151,0.03,0.28,0,3342556
21:50:34.386481939,0.02,0.28,0,3341872
21:50:35.727597984,0.02,0.28,0,3342252
21:50:37.072044898,0.02,0.28,0,3341748
21:50:38.409679873,0.02,0.28,0,3342368
21:50:39.747055567,0.03,0.28,0,3342260
21:50:41.095572391,0.02,0.28,0,3342080
21:50:42.429399654,0.03,0.28,0,3342136
21:50:43.779455199,0.03,0.28,0,3342376
21:50:45.121549966,0.07,0.31,0,3341924
21:50:46.457593113,0.11,0.32,0,3342328
21:50:47.798602154,0.02,0.28,0,3341988
21:50:49.146207429,0.02,0.28,0,3341744
21:50:50.494005080,0.02,0.28,0,3341708
21:50:51.827526867,0.02,0.28,0,3342204
21:50:53.173317529,0.02,0.28,0,3342204
21:50:54.518668564,0.02,0.28,0,3341576
21:50:55.856862235,0.02,0.28,0,3342072
21:50:57.199460578,0.04,0.28,0,3341800
21:50:58.538332416,0.02,0.28,0,3341692
21:50:59.876578555,0.03,0.28,0,3341700
21:51:01.226051207,0.02,0.28,0,3341684
21:51:02.560272219,0.02,0.28,0,3341520
21:51:03.891629293,0.02,0.28,0,3342056
21:51:05.238269995,0.02,0.28,0,3341940
21:51:06.569674970,0.13,0.32,0,3342164
21:51:07.906564947,0.03,0.28,0,3341924
21:51:09.254226604,0.02,0.28,0,3341628
21:51:10.594320623,0.02,0.28,0,3341628
21:51:11.937317470,0.02,0.28,0,3341792
21:51:13.275361312,0.02,0.28,0,3340668
21:51:14.620305783,0.03,0.28,0,3340644
21:51:15.958078894,0.02,0.28,0,3341612
21:51:17.303475776,0.02,0.28,0,3341892
21:51:18.650674875,0.02,0.28,0,3341768
21:51:19.995733684,0.02,0.28,0,3341840
21:51:21.339180805,0.02,0.28,0,3341876
21:51:22.685996513,0.02,0.28,0,3341504
21:51:24.031779493,0.02,0.28,0,3341784
21:51:25.378220525,0.02,0.28,0,3341968
21:51:26.721941154,0.08,0.31,0,3341676
21:51:28.065917628,0.09,0.31,1,3342552
21:51:29.403535523,0.04,0.29,0,3342048
21:51:30.750476325,0.02,0.28,0,3341972
21:51:32.101426519,0.02,0.28,0,3341700
21:51:33.448463977,0.02,0.28,0,3341932
21:51:34.797868637,0.03,0.28,0,3341992
21:51:36.139203440,0.02,0.28,0,3341932
21:51:37.488874743,0.02,0.28,0,3341544
21:51:38.837125560,0.02,0.28,0,3341684
21:51:40.174035503,0.02,0.28,0,3341816
21:51:41.514366985,0.02,0.28,0,3341668
21:51:42.851549690,0.02,0.28,0,3341800
21:51:44.194451697,0.02,0.28,0,3341932
21:51:45.534452448,0.02,0.28,0,3341816
21:51:46.870539578,0.02,0.28,0,3341948
21:51:48.220145917,0.11,0.32,0,3339668
21:51:49.565366682,0.02,0.28,0,3339668
21:51:50.911425840,0.04,0.29,0,3339600
21:51:52.254543894,0.02,0.28,0,3340164
21:51:53.593916888,0.01,0.28,0,3339792
21:51:54.937831289,0.02,0.28,0,3339660
21:51:56.277321873,0.02,0.28,0,3339908
21:51:57.621437275,0.03,0.28,0,3339504
21:51:58.969167264,0.02,0.28,0,3339544
21:52:00.313446438,0.02,0.28,0,3340164
21:52:01.657836002,0.02,0.28,0,3339792
21:52:02.993508606,0.03,0.28,0,3339652
21:52:04.338430867,0.02,0.28,0,3339660
21:52:05.679788938,0.02,0.28,0,3339916
21:52:07.025303988,0.02,0.28,0,3339800
21:52:08.362771179,0.06,0.31,1,3340024
21:52:09.715960622,0.09,0.33,0,3339428
21:52:11.060682928,0.03,0.28,0,3339728
21:52:12.404571251,0.03,0.28,0,3339316
21:52:13.750501637,0.02,0.28,0,3340076
21:52:15.097050664,0.02,0.28,0,3339628
21:52:16.442582200,0.03,0.28,0,3339496
21:52:17.782399999,0.02,0.28,0,3339544
21:52:19.125273607,0.02,0.28,0,3339760
21:52:20.465430100,0.03,0.28,0,3339836
21:52:21.809908528,0.02,0.28,0,3339876
21:52:23.143241273,0.01,0.28,0,3339992
21:52:24.485219680,0.02,0.28,0,3339668
21:52:25.837384913,0.03,0.28,0,3339992
21:52:27.166725862,0.03,0.28,0,3339884
21:52:28.503721374,0.02,0.28,0,3340008
21:52:29.842231615,0.10,0.32,0,3339984
21:52:31.186241317,0.07,0.30,0,3339636
21:52:32.528376754,0.03,0.28,0,3339776
21:52:33.867964496,0.02,0.28,0,3339652
21:52:35.197689745,0.03,0.28,0,3339776
21:52:36.546220260,0.02,0.28,0,3339588
21:52:37.884892725,0.02,0.28,0,3339636
21:52:39.225387161,0.02,0.28,0,3339768
21:52:40.572307003,0.02,0.28,0,3339520
21:52:41.914958684,0.02,0.28,0,3339488
21:52:43.257096689,0.02,0.28,0,3339760
21:52:44.601565860,0.02,0.28,0,3339892
21:52:45.939407910,0.02,0.28,0,3339768
21:52:47.280317948,0.02,0.28,0,3339512
21:52:48.623017283,0.03,0.28,0,3338156
21:52:49.963214675,0.12,0.31,1,3338336
21:52:51.300033383,0.07,0.30,0,3337916
21:52:52.637056605,0.03,0.28,0,3339728
21:52:53.980477028,0.03,0.28,0,3339736
21:52:55.310509373,0.02,0.28,0,3339248
21:52:56.650021433,0.02,0.28,0,3339484
21:52:57.996834269,0.02,0.28,0,3339744
21:52:59.338980347,0.02,0.28,0,3339760
21:53:00.686867935,0.02,0.28,0,3339608
21:53:02.023903049,0.02,0.28,0,3339744
21:53:03.365934404,0.02,0.28,0,3339504
21:53:04.709234667,0.02,0.28,0,3339760
21:53:06.048677741,0.03,0.28,0,3339508
21:53:07.389922747,0.02,0.28,0,3339768
21:53:08.733841360,0.02,0.28,0,3339396
21:53:10.078579890,0.02,0.28,0,3339784
21:53:11.421195293,0.12,0.31,1,3339312
21:53:12.768540300,0.13,0.31,0,3339884
21:53:14.113046393,0.03,0.28,0,3339600
21:53:15.452961162,0.02,0.28,0,3339800
21:53:16.796217947,0.02,0.28,0,3339668
21:53:18.134484013,0.02,0.28,0,3339668
21:53:19.477308970,0.02,0.28,0,3339668
21:53:20.821198347,0.02,0.28,0,3339940
21:53:22.164601171,0.02,0.28,0,3339376
21:53:23.506118302,0.02,0.28,0,3339504
21:53:24.844433028,0.03,0.28,0,3339676
21:53:26.190354596,0.02,0.28,0,3339900
21:53:27.519127022,0.01,0.28,0,3339884
21:53:28.861131697,0.02,0.28,0,3339892
21:53:30.202040389,0.03,0.28,0,3339644
21:53:31.542082604,0.03,0.28,0,3339696
21:53:32.882752261,0.12,0.32,1,3339324
21:53:34.232356180,0.05,0.29,0,3339712
21:53:35.573421808,0.02,0.28,0,3339256
21:53:36.919956979,0.02,0.28,0,3339496
21:53:38.260287026,0.03,0.28,0,3339636
21:53:39.606766664,0.02,0.28,0,3339264
21:53:40.947598080,0.02,0.28,0,3347688
21:53:42.286673945,0.02,0.28,0,3348432
21:53:43.627173599,0.03,0.28,0,3347704
21:53:44.966896142,0.02,0.28,0,3348128
21:53:46.310126355,0.02,0.28,0,3347356
21:53:47.658968568,0.02,0.28,0,3347764
21:53:49.001472806,0.02,0.28,0,3347648
21:53:50.338551160,0.03,0.28,0,3347376
21:53:51.671335495,0.03,0.28,0,3347912
21:53:53.014610753,0.02,0.28,0,3347812
21:53:54.353851774,0.08,0.32,1,3347332
21:53:55.700418980,0.12,0.32,0,3347664
21:53:57.053784665,0.02,0.28,0,3348216
21:53:58.394074399,0.02,0.28,0,3347912
21:53:59.732683336,0.03,0.28,0,3347604
21:54:01.078047734,0.02,0.28,0,3347604
21:54:02.419953421,0.03,0.28,0,3347548
21:54:03.765256534,0.02,0.28,0,3347556
21:54:05.101216455,0.02,0.28,0,3347712
21:54:06.451152175,0.02,0.28,0,3347296
21:54:07.788801426,0.02,0.28,0,3347820
21:54:09.132782740,0.03,0.28,0,3347724
21:54:10.471165736,0.03,0.28,0,3348184
21:54:11.820839706,0.02,0.28,0,3347656
21:54:13.170163497,0.02,0.28,0,3347144
21:54:14.510225593,0.02,0.28,0,3347392
21:54:15.847122625,0.10,0.32,0,3347836
21:54:17.193074779,0.02,0.28,0,3347836
21:54:18.537388922,0.03,0.28,0,3347464
21:54:19.875779552,0.02,0.28,0,3347704
21:54:21.210554585,0.03,0.28,0,3348076
21:54:22.552094359,0.03,0.28,0,3347208
21:54:23.900243428,0.03,0.28,0,3347952
21:54:25.250058184,0.02,0.28,0,3347712
21:54:26.580437966,0.03,0.28,0,3347456
21:54:27.920783314,0.02,0.28,0,3347588
21:54:29.270943570,0.02,0.28,0,3347704
21:54:30.611623464,0.02,0.28,0,3347680
21:54:31.946739705,0.02,0.28,0,3347328
21:54:33.289127728,0.02,0.28,0,3347172
21:54:34.634325350,0.03,0.28,0,3347064
21:54:35.972933364,0.03,0.28,0,3347844
21:54:37.323598616,0.13,0.31,0,3348472
21:54:38.666427304,0.06,0.30,0,3347844
21:54:40.001050379,0.02,0.28,0,3347324
21:54:41.347967216,0.02,0.28,0,3347688
21:54:42.693910193,0.03,0.28,0,3347232
21:54:44.032546405,0.03,0.28,0,3347432
21:54:45.380202597,0.02,0.28,0,3347316
21:54:46.726662459,0.02,0.28,0,3347364
21:54:48.065474521,0.02,0.28,0,3347232
21:54:49.407813232,0.02,0.28,0,3347400
21:54:50.754232623,0.03,0.28,0,3347520
21:54:52.097180034,0.02,0.28,0,3347612
21:54:53.441228264,0.02,0.28,0,3347604
