horaEjecucion,cpu,mem_used
22:59:04.624669681,23.2,243480
22:59:06.166417396,6.7,243728
22:59:07.670478991,7.6,242452
22:59:09.134904487,2.8,241120
22:59:10.645072470,12.4,237868
22:59:12.110697286,51,221276
22:59:13.923045403,72,216536
22:59:15.959437257,59.5,220732
22:59:18.018426510,31.2,218348
22:59:19.670946952,25.2,219248
22:59:21.256240025,6.3,219472
22:59:22.800578773,4.7,219300
22:59:24.347537123,4.4,219372
22:59:25.842170608,5.1,218968
22:59:27.332533774,8,218976
22:59:28.798691355,5.4,218696
22:59:30.296677346,3.4,216272
22:59:31.786765515,4.8,216264
22:59:33.273024851,4.6,216140
22:59:34.772273481,4.7,210140
22:59:36.304231927,47.8,205808
22:59:38.065991221,53.3,210828
22:59:39.632790380,59.3,208140
22:59:41.195256003,13.8,208464
22:59:42.765292413,3.1,208696
22:59:44.262774480,4.7,208736
22:59:45.797775188,2.8,208720
22:59:47.287623744,3.1,208940
22:59:48.820718202,4,208556
22:59:50.348678277,5.3,206520
22:59:51.827702545,4.4,206256
22:59:53.293009123,3.8,206128
22:59:54.768889872,2,206184
22:59:56.227783455,5.5,205908
22:59:57.803696066,76.5,183448
22:59:59.911322558,79.9,148356
23:00:02.157456916,78,144320
23:00:04.533418163,49.1,148572
23:00:06.346229739,68.5,141236
23:00:08.179911313,50,144956
23:00:09.787974649,6.8,143760
23:00:11.298519692,7.4,143816
23:00:12.792338994,4.5,144060
23:00:14.259928574,3.7,144044
23:00:15.746584725,3.4,143912
23:00:17.231627000,6,143980
23:00:18.701257840,5.4,143756
23:00:20.188331919,5.1,142292
23:00:21.672728216,4.7,142244
23:00:23.145823313,4.4,142388
23:00:24.630108445,16.4,134800
23:00:26.252828246,51.8,134424
23:00:27.888130272,45.9,135024
23:00:29.535555047,49.6,133176
23:00:31.152848736,3.1,139632
23:00:32.690565448,2,139444
23:00:34.189403743,3.1,139680
23:00:35.733474567,4,139568
23:00:37.225504508,5.1,139592
23:00:38.711378377,5.1,139352
23:00:40.251604591,4.4,138888
23:00:41.762804587,5,138508
23:00:43.229283875,5,138328
23:00:44.726149534,5.1,138344
23:00:46.213190267,36.9,129928
23:00:47.763985617,48.9,130764
23:00:49.307040725,51.7,134568
23:00:50.873405089,44.6,131032
23:00:52.467761828,4.8,135716
23:00:53.990413743,3.1,135936
23:00:55.478282721,5.3,135896
23:00:57.022222429,3.7,135896
23:00:58.513618043,4.1,136220
23:01:00.001077659,6.9,135028
23:01:01.543649736,3.7,135012
23:01:03.094741829,5.3,135356
23:01:04.597202673,3.5,135252
23:01:06.081511614,3.4,134904
23:01:07.622178013,14.3,129640
23:01:09.173223015,65,125648
23:01:10.874115368,60.4,123560
23:01:12.758756569,61.3,124872
23:01:14.518783357,29.6,128188
23:01:16.089208259,6.2,128924
23:01:17.592197668,7.6,128768
23:01:19.080609739,6.1,128676
23:01:20.628797076,3,127388
23:01:22.119194147,3.8,127132
23:01:23.612006555,4.1,127188
23:01:25.085230278,4.1,126924
23:01:26.570044576,2.4,126852
23:01:28.134192433,1.7,126596
23:01:29.639177313,5.6,125560
23:01:31.171664400,43.9,117304
23:01:32.838180410,51,118060
23:01:34.507162797,45.5,118600
23:01:36.089462622,13,122616
23:01:37.658882863,4.4,122732
