horaejecucion,e_core,e_ram,cpu,mem_used
09:15:14.126560554,1.36,0.32,1,2664380
09:15:15.490555636,0.05,0.29,0,2663064
09:15:16.844001835,0.06,0.30,0,2663012
09:15:18.195744769,0.04,0.29,1,2661812
09:15:19.540554832,0.04,0.29,0,2662256
09:15:20.895407613,0.06,0.30,0,2662460
09:15:22.247789499,0.04,0.29,0,2662512
09:15:23.596580491,0.04,0.29,1,2662388
09:15:24.955362986,0.04,0.30,1,2661600
09:15:26.290392128,0.03,0.29,0,2661008
09:15:27.648238928,0.05,0.30,0,2660880
09:15:29.003776351,0.05,0.29,0,2661404
09:15:30.360165132,0.05,0.29,1,2660604
09:15:31.710377419,0.04,0.30,0,2661808
09:15:33.064944736,0.03,0.29,0,2661948
09:15:34.415738765,0.03,0.29,0,2660848
09:15:35.767136584,0.21,0.30,0,2660396
09:15:37.119168491,0.04,0.29,0,2660860
09:15:38.466959856,1.69,0.38,6,2646560
09:15:39.806831080,0.29,0.34,2,2646112
09:15:41.143934108,0.38,0.33,3,2645384
09:15:42.479978637,0.21,0.34,5,2645672
09:15:43.826992734,0.36,0.34,2,2644204
09:15:45.178619431,0.13,0.33,2,2643412
09:15:46.519438026,0.11,0.30,0,2643124
09:15:47.870350980,0.08,0.29,0,2643016
09:15:49.210103463,0.07,0.29,1,2642828
09:15:50.552667130,0.12,0.29,0,2643200
09:15:51.902032966,0.07,0.29,0,2642552
09:15:53.254609646,0.13,0.29,0,2643116
09:15:54.597316233,0.07,0.29,0,2643176
09:15:55.953117859,0.11,0.29,0,2641304
09:15:57.301348499,0.11,0.29,0,2641132
09:15:58.651511680,0.09,0.30,3,2641140
09:16:00.004524169,0.21,0.33,2,2641404
09:16:01.348469504,0.16,0.33,3,2640980
09:16:02.691874722,0.27,0.35,5,2639892
09:16:04.018942322,0.20,0.35,2,2639304
09:16:05.369789755,0.10,0.33,1,2639160
09:16:06.712557852,0.09,0.29,1,2639732
09:16:08.059508365,0.08,0.29,0,2639636
09:16:09.415349102,0.07,0.29,0,2639620
09:16:10.766354725,0.08,0.29,0,2639200
09:16:12.118041370,0.11,0.29,0,2639332
09:16:13.462258419,0.11,0.29,0,2639044
09:16:14.807927442,0.16,0.30,0,2639256
09:16:16.154192060,0.10,0.29,0,2638784
09:16:17.518273376,0.07,0.29,0,2638636
09:16:18.870157749,0.16,0.31,10,2623304
09:16:20.203060932,0.73,0.34,4,2595928
09:16:21.522809959,0.53,0.32,3,2578604
09:16:22.858411271,0.67,0.33,2,2577688
09:16:24.187568699,0.60,0.32,3,2574740
09:16:25.528362169,0.44,0.32,11,2559816
09:16:26.847078545,0.17,0.30,1,2560192
09:16:28.176071444,0.09,0.29,0,2559632
09:16:29.532953156,0.16,0.29,0,2559936
09:16:30.867750233,0.11,0.30,0,2559456
09:16:32.208446270,0.12,0.29,0,2559120
09:16:33.558738535,0.10,0.29,1,2563964
09:16:34.909378369,0.08,0.30,0,2564376
09:16:36.261859997,0.11,0.29,0,2564060
09:16:37.605881960,0.08,0.29,1,2573380
09:16:38.950432320,0.11,0.30,0,2575048
09:16:40.302652729,0.41,0.32,2,2572616
09:16:41.641936942,0.19,0.34,2,2571328
09:16:42.994329327,0.17,0.35,2,2572044
09:16:44.345449607,0.16,0.34,1,2571648
09:16:45.691438666,0.46,0.35,2,2570328
09:16:47.036136569,0.18,0.32,0,2569624
09:16:48.387893395,0.14,0.29,1,2569660
09:16:49.737625905,0.10,0.29,0,2569576
09:16:51.091918124,0.13,0.30,0,2570536
09:16:52.431572535,0.09,0.29,0,2569412
09:16:53.785351834,0.08,0.29,0,2569556
09:16:55.137018519,0.15,0.30,1,2569456
