horaEjecucion,cpu,mem_used
09:15:20.611670681,13.6,860432
09:15:22.233974218,1,860496
09:15:23.702824540,1,860640
09:15:25.167898161,1.3,860548
09:15:26.680725299,1.4,860756
09:15:28.242862615,1.4,860516
09:15:29.801243072,7.1,856416
09:15:31.271638956,1,855632
09:15:32.805013804,1,855608
09:15:34.314842724,1,855228
09:15:35.830345158,1.3,855656
09:15:37.329408452,12.3,848320
09:15:38.775261118,14.4,848200
09:15:40.252035665,26,847504
09:15:41.779081269,15.4,848652
09:15:43.328254160,25.8,847704
09:15:44.823191273,5.6,851700
09:15:46.360983229,1,852052
09:15:47.876165762,1,852320
09:15:49.373187134,1.4,852208
09:15:50.837910328,1,852364
09:15:52.307173135,1,852444
09:15:53.833808891,1,852828
09:15:55.317604543,1,852868
09:15:56.832519365,1,853124
09:15:58.348333506,20.3,847620
09:15:59.818202452,19.5,848672
09:16:01.334353204,17.6,846968
09:16:02.907659459,23.8,848140
09:16:04.477286408,20.4,849432
09:16:05.997657241,8.1,851572
09:16:07.520438948,1.3,852736
09:16:09.056307100,1,852736
09:16:10.580906922,1,853468
09:16:12.125537843,1,853540
09:16:13.687713521,1,853400
09:16:15.231965224,1,853444
09:16:16.714119624,1,853260
09:16:18.224805187,15.1,847180
09:16:19.728343232,14.5,847136
09:16:21.246962817,15.7,846292
09:16:22.779780354,23.2,846424
09:16:24.266037856,14.2,847508
09:16:25.803123964,14.3,850980
09:16:27.260011451,4.2,851676
09:16:28.726715765,1.4,851808
09:16:30.183132160,2.8,852216
09:16:31.698361289,3.1,852132
09:16:33.204986031,2.7,852164
09:16:34.660575866,2,852224
09:16:36.181724130,3,852008
09:16:37.750408725,2.4,851960
09:16:39.252479894,13.9,845480
09:16:40.713483397,23.2,847028
09:16:42.273941780,19,845340
09:16:43.850092117,21,846180
09:16:45.353537235,18.1,847464
09:16:46.870131767,10,850980
09:16:48.387370410,1,851492
09:16:49.917866019,1,851588
09:16:51.445420184,1,851740
09:16:52.941762000,0.7,851696
09:16:54.407947400,1,851792
09:16:55.918539353,1,851696
09:16:57.444340659,1.3,851748
09:16:59.007048347,8.1,844816
09:17:00.525459844,17.2,846128
09:17:02.095905618,15.2,845048
09:17:03.601775925,18.4,844996
09:17:05.081589066,17.5,846568
09:17:06.519767515,7.8,849708
09:17:08.040412488,2,851032
09:17:09.557585289,1.3,851044
09:17:11.064381318,1,851308
09:17:12.575208160,1,851176
09:17:14.072584598,1,851228
09:17:15.536651354,1.3,851536
09:17:17.050830313,1.4,851544
09:17:18.606486413,1,851536
09:17:20.163298912,17.1,844940
09:17:21.661844456,20.6,846060
09:17:23.227412068,18.9,845016
09:17:24.748860520,20.3,845844
09:17:26.254722380,21.6,846612
09:17:27.695394871,5.8,849540
09:17:29.234856983,5.2,850376
09:17:30.777892827,2.4,850376
09:17:32.310198411,1.7,850344
09:17:33.847530792,2.7,850572
09:17:35.388382738,2,850376
09:17:36.914174446,3.5,850804
09:17:38.412072955,2.4,850484
09:17:39.874033046,3.6,850744
09:17:41.391936249,21.7,846068
09:17:42.872611820,15.7,843944
09:17:44.376234570,16.3,844784
09:17:45.928867237,20.6,843880
09:17:47.405581367,13.8,846576
09:17:48.954004053,3.1,849252
09:17:50.470327104,1.7,850008
09:17:52.011194044,1.3,850096
09:17:53.532236289,1,850260
09:17:55.036819343,1,850152
09:17:56.546454768,1.7,849888
09:17:58.106329165,1,850020
09:17:59.659436616,1,850252
09:18:01.214195255,1,850308
09:18:02.712379067,24.5,843588
09:18:04.211134803,21,844544
09:18:05.697759660,14.5,843656
09:18:07.213090262,22.5,844472
09:18:08.673106706,9.7,847352
09:18:10.196256539,2.7,849084
09:18:11.651126133,0.7,849724
09:18:13.119968158,1,849788
09:18:14.568614188,1,849944
09:18:16.079016893,1.3,849656
09:18:17.637638060,1.7,849800
09:18:19.150423774,1,849904
09:18:20.660851114,1,849676
09:18:22.215095165,1,844516
09:18:23.745726051,20.6,843544
09:18:25.208692684,24.6,844292
09:18:26.729104087,16.7,843280
09:18:28.225894355,17.4,844048
09:18:29.720952913,12.6,847544
09:18:31.208622287,5.8,848792
09:18:32.668954452,2.4,849112
09:18:34.182405939,2.4,849368
09:18:35.695357063,2.8,848852
09:18:37.207621731,1.7,849200
09:18:38.753952378,2,848976
09:18:40.285795336,1.7,849000
09:18:41.814881743,3,849656
09:18:43.374399720,13.6,842352
09:18:44.869829885,16.7,843348
09:18:46.389530973,22.1,842232
09:18:47.869804857,18.1,843432
09:18:49.392087442,24.2,843648
09:18:50.874602825,8.1,847852
09:18:52.379808929,2.8,848800
09:18:53.892638381,1,848992
09:18:55.378302862,1,848612
09:18:56.894413547,1,848924
09:18:58.427986907,1,848828
09:18:59.932916760,1,848884
09:19:01.444605591,1.4,848968
09:19:02.942729383,1,849008
09:19:04.459012460,16.5,842992
09:19:05.936418906,22.8,843676
09:19:07.404129877,17.1,842620
09:19:08.975240184,18.6,842812
09:19:10.432038656,13.8,843952
09:19:11.934211228,5.4,846600
09:19:13.432713140,2.7,847368
09:19:14.948758559,2.7,848072
09:19:16.460098168,1.4,847900
09:19:17.970950487,1.3,848136
09:19:19.532022975,1,847960
09:19:21.064248001,1,847860
09:19:22.570608101,1,847824
09:19:24.034584606,1,848000
09:19:25.546157492,20.7,843344
09:19:27.100202200,28.3,841512
