horaejecucion,e_core,e_ram,cpu,mem_used
00:17:39.019243322,0.02,0.28,0,3295804
00:17:40.373820180,0.02,0.28,0,3294968
00:17:41.717967940,0.03,0.28,0,3294924
00:17:43.063282917,0.07,0.30,0,3294024
00:17:44.400075573,0.06,0.30,1,3294320
00:17:45.746216830,0.10,0.32,0,3294008
00:17:47.090181318,0.03,0.28,0,3293964
00:17:48.423888419,0.02,0.28,0,3294112
00:17:49.765875829,0.02,0.28,0,3294172
00:17:51.118209458,0.03,0.28,0,3294676
00:17:52.460808756,0.02,0.28,0,3294040
00:17:53.810424487,2.83,0.28,0,3294156
00:17:55.152277595,0.02,0.28,0,3294164
00:17:56.497067177,0.02,0.28,0,3293824
00:17:57.842202351,0.02,0.28,0,3293828
00:17:59.182730483,0.02,0.28,0,3295712
00:18:00.528577449,0.03,0.29,0,3294704
00:18:01.877855068,0.05,0.29,1,3294044
00:18:03.225693712,0.08,0.32,0,3294024
00:18:04.557412720,0.11,0.31,1,3293480
00:18:05.907243436,0.03,0.28,0,3294128
00:18:07.253881087,0.02,0.28,0,3294120
00:18:08.598565114,0.02,0.28,0,3293780
00:18:09.938322652,0.01,0.28,0,3293896
00:18:11.281469043,0.02,0.28,0,3293904
00:18:12.627905214,0.02,0.28,0,3293828
00:18:13.970462209,0.02,0.28,0,3293804
00:18:15.314403368,0.02,0.28,0,3293636
00:18:16.651036054,0.02,0.28,0,3294012
00:18:17.992818881,0.03,0.28,0,3295060
00:18:19.345296848,0.02,0.28,0,3294396
00:18:20.675252018,0.08,0.31,0,3294116
00:18:22.022708789,0.10,0.31,0,3293476
00:18:23.372239964,0.09,0.32,2,3293952
00:18:24.718071657,0.06,0.30,0,3293364
00:18:26.056700486,0.05,0.29,0,3293992
00:18:27.398439865,0.03,0.28,0,3293676
00:18:28.742509469,0.02,0.28,0,3293764
00:18:30.085901338,0.02,0.28,0,3293784
00:18:31.433090867,0.02,0.28,0,3293752
00:18:32.781536159,0.02,0.28,0,3293828
00:18:34.122479852,0.02,0.28,0,3293804
00:18:35.471774969,0.02,0.28,0,3293572
00:18:36.812867661,0.02,0.28,0,3295068
00:18:38.148587625,0.03,0.28,0,3294936
00:18:39.492777102,0.12,0.32,0,3294488
00:18:40.838499999,0.08,0.31,0,3293788
00:18:42.183848138,0.10,0.32,0,3293828
00:18:43.534335885,0.03,0.28,0,3293108
00:18:44.877977678,0.03,0.28,0,3292564
00:18:46.224320738,0.02,0.28,0,3291804
00:18:47.567887139,0.02,0.28,0,3291920
00:18:48.913369241,0.03,0.29,0,3293532
00:18:50.257946284,0.02,0.28,1,3293912
00:18:51.609011905,0.02,0.28,0,3293740
00:18:52.945078975,0.02,0.28,0,3294068
00:18:54.284907431,0.02,0.28,0,3293952
00:18:55.644329895,0.02,0.28,0,3294124
00:18:56.985237918,0.02,0.28,0,3294992
00:18:58.330039658,0.10,0.33,0,3295216
00:18:59.677833262,0.12,0.32,0,3293720
00:19:01.013556045,0.12,0.32,0,3293976
00:19:02.360450986,0.02,0.28,0,3293620
00:19:03.705751518,0.03,0.28,0,3293776
00:19:05.047824683,0.02,0.28,0,3293628
00:19:06.388878412,0.03,0.28,0,3293776
00:19:07.738023087,0.02,0.28,0,3292124
00:19:09.072143498,0.03,0.28,0,3291792
00:19:10.415584943,0.03,0.28,0,3293620
00:19:11.766443675,0.02,0.28,0,3293632
00:19:13.110826618,0.02,0.28,0,3293328
00:19:14.454319292,0.02,0.28,0,3293524
00:19:15.800686073,0.02,0.28,0,3293596
00:19:17.137417391,0.11,0.32,0,3293928
00:19:18.480279102,0.10,0.32,0,3295448
00:19:19.825814101,0.08,0.32,0,3294788
00:19:21.173068350,0.08,0.31,0,3293976
00:19:22.513385918,0.02,0.28,0,3293212
00:19:23.862600330,0.02,0.28,0,3294240
00:19:25.194658853,0.02,0.28,0,3293348
00:19:26.548252884,0.02,0.28,0,3293804
00:19:27.891901307,0.02,0.28,0,3293920
00:19:29.234677459,0.02,0.28,0,3293308
00:19:30.576985489,0.02,0.28,0,3293324
00:19:31.922417086,0.02,0.28,0,3293688
00:19:33.261372589,0.02,0.28,0,3292036
00:19:34.606642308,0.02,0.28,0,3292284
00:19:35.953002196,0.07,0.30,0,3293208
00:19:37.292809334,0.07,0.32,1,3293324
00:19:38.635754445,0.12,0.32,1,3294344
00:19:39.981801376,0.02,0.28,0,3295496
00:19:41.326763897,0.03,0.28,0,3293868
00:19:42.676206059,0.02,0.28,0,3293316
00:19:44.021274264,0.02,0.28,0,3293224
00:19:45.357827679,0.03,0.28,0,3293200
00:19:46.694402934,0.05,0.28,0,3292120
00:19:48.028392417,0.02,0.28,0,3291480
00:19:49.377549611,0.02,0.28,0,3291656
00:19:50.725799467,0.02,0.28,0,3293400
00:19:52.064281335,0.02,0.28,0,3293384
00:19:53.413308188,0.02,0.28,0,3293424
00:19:54.758184499,0.08,0.31,1,3293320
00:19:56.106315459,0.12,0.33,0,3292944
00:19:57.441441226,0.12,0.32,1,3293504
00:19:58.781122683,0.02,0.28,0,3293308
00:20:00.129014139,0.02,0.28,0,3294888
00:20:01.474422092,0.03,0.28,0,3294760
00:20:02.802165518,0.02,0.28,0,3294140
00:20:04.145530692,0.03,0.28,0,3293504
00:20:05.489403812,0.02,0.28,0,3293372
00:20:06.831411699,0.02,0.28,0,3293372
00:20:08.178241219,0.02,0.28,0,3293356
00:20:09.517959220,0.02,0.28,0,3293380
00:20:10.864485399,0.02,0.28,0,3293240
00:20:12.209599933,0.02,0.28,0,3293108
00:20:13.547801247,0.10,0.31,2,3293496
00:20:14.890820387,0.10,0.32,1,3293456
00:20:16.241961868,0.10,0.32,1,3293220
00:20:17.582040057,0.10,0.31,0,3293420
00:20:18.923516405,0.03,0.28,0,3292000
00:20:20.278704356,0.02,0.28,0,3291248
00:20:21.621624242,0.02,0.28,0,3292916
00:20:22.962704931,0.04,0.29,0,3293776
00:20:24.302238004,0.02,0.28,0,3294212
00:20:25.641970838,0.01,0.28,0,3293592
00:20:26.981412289,2.79,0.29,0,3292964
00:20:28.315868729,0.02,0.28,0,3293220
00:20:29.656561617,0.02,0.28,0,3293088
00:20:31.000033256,0.02,0.28,0,3293460
00:20:32.345860350,0.10,0.32,0,3293188
00:20:33.683507705,0.11,0.32,0,3292980
00:20:35.025973624,0.12,0.33,0,3293140
00:20:36.373533419,0.04,0.28,0,3293296
00:20:37.712832124,0.02,0.28,0,3293188
00:20:39.060831259,0.02,0.28,0,3293104
00:20:40.403165996,0.02,0.28,0,3292840
00:20:41.737441445,0.02,0.28,0,3294724
00:20:43.082808092,0.02,0.28,0,3294292
00:20:44.425318981,0.03,0.28,0,3293440
00:20:45.762201879,0.03,0.28,0,3293308
00:20:47.102684508,0.02,0.28,0,3292824
00:20:48.445915736,0.02,0.28,0,3293320
00:20:49.784825666,0.02,0.28,0,3293312
00:20:51.130837963,0.12,0.32,1,3293064
00:20:52.474065396,0.11,0.32,0,3292816
00:20:53.815775465,0.09,0.32,1,3292700
00:20:55.157281470,0.02,0.28,0,3293328
00:20:56.501545761,0.02,0.28,0,3293336
00:20:57.844939085,0.02,0.28,0,3292740
00:20:59.188584856,0.02,0.28,0,3292924
00:21:00.533997488,0.02,0.28,0,3294196
00:21:01.863045256,0.03,0.28,0,3294112
00:21:03.197959273,0.03,0.28,0,3293336
00:21:04.546075701,0.02,0.28,0,3293468
00:21:05.885300873,0.02,0.28,0,3293236
00:21:07.219624040,0.02,0.28,0,3293428
00:21:08.564850125,0.02,0.28,0,3292848
00:21:09.905973420,0.06,0.32,1,3293380
00:21:11.242965698,0.12,0.31,0,3292932
00:21:12.588995991,0.09,0.32,0,3293040
00:21:13.929755636,0.10,0.32,0,3292984
00:21:15.270805607,0.03,0.28,0,3293264
00:21:16.618344359,0.02,0.28,0,3292992
00:21:17.956637347,0.02,0.28,0,3292364
00:21:19.302108248,0.02,0.28,0,3291296
00:21:20.644356817,0.03,0.28,0,3293180
00:21:21.985668835,0.02,0.28,0,3292048
00:21:23.320405519,0.02,0.28,0,3292888
00:21:24.666016451,0.01,0.28,0,3292856
00:21:26.000869516,0.03,0.28,0,3291760
00:21:27.345089515,0.02,0.28,0,3291792
00:21:28.693447445,0.04,0.29,0,3291028
00:21:30.029057627,0.06,0.29,1,3292832
00:21:31.373454368,0.04,0.29,0,3292552
00:21:32.715210197,0.07,0.31,0,3293180
00:21:34.057363964,0.02,0.28,0,3292612
00:21:35.392612483,0.03,0.28,0,3292932
00:21:36.741685838,0.02,0.28,0,3292320
00:21:38.085220343,0.02,0.28,0,3292436
00:21:39.427663779,0.03,0.28,0,3293264
00:21:40.776727271,0.02,0.28,0,3293844
00:21:42.124474218,0.02,0.28,0,3294220
00:21:43.474313948,0.02,0.28,0,3293576
00:21:44.816947740,0.02,0.28,0,3292848
00:21:46.157838608,0.02,0.28,0,3292980
00:21:47.501658845,0.02,0.28,0,3293312
00:21:48.845907992,0.08,0.30,0,3293056
00:21:50.185437438,0.10,0.32,1,3292628
00:21:51.525527913,0.03,0.29,0,3292724
00:21:52.877368083,0.02,0.28,0,3292684
00:21:54.218578018,0.02,0.28,0,3292824
00:21:55.567366397,0.02,0.28,0,3292664
00:21:56.914050765,0.02,0.28,0,3292544
00:21:58.258001998,0.01,0.28,0,3292684
00:21:59.600342791,0.02,0.28,0,3292320
00:22:00.937339392,0.02,0.28,0,3294228
00:22:02.271277148,0.03,0.28,0,3293584
00:22:03.619384964,0.03,0.28,0,3292848
00:22:04.966940962,0.02,0.28,0,3293064
00:22:06.305100305,0.07,0.31,1,3292744
00:22:07.638613966,0.09,0.31,0,3292476
00:22:08.993934081,0.07,0.30,0,3292752
00:22:10.340066506,0.09,0.32,0,3292808
00:22:11.676317368,0.02,0.28,0,3292520
00:22:13.026215563,0.03,0.28,0,3292628
00:22:14.369128282,0.02,0.28,0,3291992
00:22:15.711185487,0.02,0.28,0,3292996
00:22:17.060179065,0.03,0.28,0,3292148
00:22:18.406047627,0.02,0.28,0,3292496
00:22:19.746712719,0.04,0.28,0,3294016
00:22:21.096716570,0.04,0.28,0,3293096
00:22:22.429774492,0.02,0.28,0,3292816
00:22:23.773157034,0.03,0.28,0,3292684
00:22:25.121924775,0.03,0.29,0,3292520
00:22:26.465935375,0.08,0.32,1,3292404
00:22:27.803692779,0.09,0.31,1,3292160
00:22:29.154635642,0.07,0.30,0,3292504
00:22:30.490419641,0.02,0.28,0,3292544
00:22:31.830208437,0.02,0.28,0,3292284
00:22:33.178635842,0.02,0.28,0,3292436
00:22:34.512435105,0.03,0.28,0,3292428
00:22:35.852148757,0.02,0.28,0,3292412
00:22:37.205575402,0.02,0.28,0,3292496
00:22:38.545399870,0.02,0.28,0,3293296
00:22:39.878704246,0.03,0.28,0,3294112
00:22:41.222041279,0.02,0.28,0,3293064
00:22:42.569951122,0.02,0.28,0,3292120
00:22:43.907994142,0.03,0.29,0,3292376
00:22:45.246275870,0.05,0.30,0,3292628
00:22:46.594840413,0.03,0.29,1,3292260
00:22:47.934167636,0.08,0.31,0,3292372
00:22:49.284180188,0.02,0.28,0,3292700
00:22:50.626095351,0.02,0.28,0,3292312
00:22:51.968463524,0.03,0.28,0,3292528
00:22:53.317009861,0.02,0.28,0,3292000
00:22:54.665223784,0.02,0.28,0,3292544
00:22:55.999278052,0.02,0.28,0,3292560
00:22:57.350464446,0.03,0.28,0,3290964
00:22:58.690746685,0.02,0.28,0,3292484
00:23:00.031993119,0.03,0.28,0,3293244
00:23:01.377954984,0.02,0.28,0,3293260
00:23:02.725769401,0.02,0.28,0,3292164
00:23:04.062314393,0.10,0.32,2,3292220
00:23:05.408007290,0.10,0.32,0,3291632
00:23:06.757513143,0.08,0.31,0,3292472
00:23:08.101053871,0.03,0.29,0,3291892
00:23:09.457661167,0.03,0.28,0,3291788
00:23:10.803771464,0.04,0.28,0,3291552
00:23:12.141448732,0.03,0.28,0,3291068
00:23:13.486342358,0.02,0.28,0,3290604
00:23:14.825374812,0.01,0.28,0,3292288
00:23:16.166396916,0.01,0.28,0,3292544
00:23:17.514380538,0.02,0.28,0,3293592
00:23:18.861570943,0.02,0.28,0,3293328
00:23:20.200731393,0.03,0.28,0,3292584
00:23:21.539798985,0.02,0.28,0,3291980
00:23:22.890526414,0.10,0.31,1,3292792
00:23:24.231320091,0.09,0.31,0,3292220
00:23:25.578485888,0.09,0.33,0,3292072
00:23:26.922040101,0.03,0.28,0,3292228
00:23:28.262935189,0.02,0.28,0,3292072
00:23:29.608266258,0.03,0.28,0,3292004
00:23:30.951475356,0.02,0.28,0,3292004
00:23:32.289127320,0.02,0.28,0,3292244
00:23:33.631031294,0.02,0.28,0,3292064
00:23:34.974491370,0.02,0.28,0,3291772
00:23:36.311565411,0.02,0.28,0,3292220
00:23:37.652639638,0.02,0.28,0,3293852
00:23:38.996421722,0.03,0.28,0,3292368
00:23:40.339978760,0.03,0.28,0,3291368
00:23:41.688271029,0.13,0.32,0,3290864
00:23:43.029956957,0.13,0.32,0,3291096
00:23:44.374279928,0.07,0.30,0,3290452
00:23:45.722267038,0.02,0.28,0,3292260
00:23:47.069081944,0.02,0.28,0,3291348
00:23:48.408920357,0.02,0.28,0,3292004
00:23:49.758463607,0.02,0.28,0,3292020
00:23:51.101982710,0.02,0.28,0,3292072
00:23:52.438054729,0.02,0.28,0,3291756
00:23:53.789880578,0.03,0.28,0,3291988
00:23:55.133268525,0.02,0.28,0,3291756
00:23:56.472964785,0.02,0.28,0,3292360
00:23:57.819871844,0.03,0.28,0,3293856
00:23:59.163180923,0.03,0.28,0,3292740
00:24:00.497774375,0.12,0.32,0,3291836
00:24:01.847079643,0.11,0.31,1,3291644
00:24:03.187719314,0.10,0.31,0,3290908
00:24:04.526667383,0.06,0.30,0,3290064
00:24:05.871971129,0.03,0.28,0,3290252
00:24:07.218906132,0.03,0.28,0,3291888
00:24:08.558912920,0.02,0.28,0,3291912
00:24:09.905747848,0.02,0.28,0,3292184
00:24:11.250320984,0.03,0.28,0,3292068
00:24:12.587038329,0.02,0.28,0,3292244
00:24:13.931984724,0.02,0.28,0,3291500
00:24:15.276103923,0.02,0.28,0,3291748
00:24:16.616103834,0.02,0.28,0,3292916
00:24:17.964765174,0.02,0.28,0,3293356
00:24:19.307807166,0.09,0.33,0,3292236
00:24:20.642232637,0.08,0.30,1,3291976
00:24:21.991909890,0.06,0.30,0,3292232
00:24:23.338007709,0.03,0.28,0,3292460
00:24:24.680869692,0.02,0.28,0,3291776
00:24:26.025235364,0.02,0.28,0,3292188
00:24:27.376450075,0.03,0.28,0,3292300
00:24:28.717587146,0.03,0.28,0,3291852
00:24:30.053317429,0.02,0.28,0,3291972
00:24:31.395772172,0.02,0.28,0,3291548
00:24:32.743880056,0.02,0.28,0,3292160
00:24:34.090513116,0.02,0.28,0,3292292
00:24:35.430757405,0.02,0.28,0,3291928
00:24:36.775690172,0.02,0.28,0,3292716
00:24:38.118030696,0.07,0.30,0,3293680
00:24:39.465831442,0.05,0.29,0,3292276
00:24:40.803474136,0.08,0.31,0,3291896
00:24:42.155655280,0.04,0.29,0,3291648
00:24:43.489557962,0.03,0.28,0,3291664
00:24:44.830920369,0.02,0.28,0,3291548
00:24:46.180184959,0.02,0.28,0,3291696
00:24:47.521890416,0.02,0.28,0,3290632
00:24:48.858525693,0.04,0.28,0,3290532
00:24:50.206218631,0.02,0.28,0,3290004
00:24:51.554015134,0.02,0.28,0,3291812
00:24:52.893526766,0.02,0.28,0,3291956
00:24:54.242367279,0.02,0.28,0,3291328
00:24:55.589001680,0.02,0.28,1,3291660
00:24:56.932402911,0.08,0.31,0,3291716
00:24:58.280232472,0.10,0.32,0,3292916
00:24:59.630412203,0.07,0.31,1,3292552
00:25:00.967068395,0.03,0.29,0,3292352
00:25:02.315426941,0.02,0.28,0,3291336
00:25:03.662043588,0.02,0.28,0,3291664
00:25:04.997253115,0.03,0.28,0,3291732
00:25:06.345144594,0.01,0.28,0,3291764
00:25:07.692568870,0.02,0.28,0,3291648
00:25:09.027345610,0.01,0.28,0,3291580
00:25:10.369483601,0.02,0.28,0,3291540
00:25:11.712174998,0.02,0.28,0,3291756
00:25:13.055229946,0.02,0.28,0,3291672
00:25:14.395436581,0.02,0.28,0,3291320
00:25:15.746272519,0.12,0.32,0,3291576
00:25:17.085685659,0.08,0.30,0,3291748
00:25:18.431517797,0.06,0.30,0,3291716
00:25:19.775456188,0.03,0.28,0,3293220
00:25:21.117577733,0.03,0.28,0,3292568
00:25:22.464811040,0.02,0.28,0,3292020
00:25:23.806946067,0.02,0.28,0,3291244
00:25:25.146396302,0.02,0.28,0,3291384
00:25:26.482115112,0.02,0.28,0,3290072
00:25:27.820653495,0.02,0.28,0,3290304
00:25:29.159091675,0.02,0.28,0,3289908
00:25:30.506821232,0.03,0.28,0,3291520
00:25:31.854043413,0.03,0.28,0,3291600
00:25:33.203258707,0.02,0.28,0,3291592
00:25:34.543641786,0.09,0.31,0,3291576
00:25:35.885507629,0.13,0.32,0,3291520
00:25:37.226310361,0.12,0.33,0,3291420
00:25:38.576375116,0.03,0.28,0,3291600
00:25:39.916127269,0.02,0.28,0,3292988
00:25:41.254219374,0.02,0.28,0,3292500
00:25:42.602220282,0.02,0.28,0,3291864
00:25:43.945879323,0.03,0.28,0,3291508
00:25:45.286725510,0.02,0.28,0,3291608
00:25:46.624501494,0.02,0.28,0,3291344
00:25:47.973818644,0.03,0.28,0,3291592
00:25:49.311375860,0.02,0.28,0,3291500
00:25:50.658387347,0.02,0.28,0,3291456
00:25:52.002230024,0.02,0.28,0,3291284
00:25:53.339777925,0.10,0.32,0,3291008
00:25:54.694960094,0.09,0.33,0,3291524
00:25:56.043589550,0.11,0.32,0,3291440
00:25:57.379378455,0.09,0.31,0,3291500
00:25:58.727916679,0.03,0.28,0,3291980
00:26:00.069940306,0.02,0.28,0,3291500
00:26:01.413105840,0.03,0.28,0,3292596
00:26:02.755649503,0.03,0.28,0,3292352
00:26:04.092683236,0.02,0.28,0,3291748
00:26:05.427982590,0.02,0.28,0,3291616
00:26:06.779457468,0.02,0.28,0,3291236
00:26:08.127148714,0.02,0.28,0,3291368
00:26:09.472988330,0.02,0.28,0,3291252
00:26:10.821624073,0.03,0.28,0,3291584
00:26:12.160938031,0.05,0.29,1,3291188
00:26:13.493178827,0.05,0.29,0,3290860
00:26:14.837864555,0.06,0.30,0,3290756
00:26:16.182794818,0.05,0.30,0,3291828
00:26:17.519966922,0.02,0.28,0,3291080
00:26:18.860445191,0.02,0.28,0,3290964
00:26:20.206396552,0.02,0.28,0,3291844
00:26:21.541137532,0.03,0.28,0,3291296
00:26:22.885244273,0.02,0.28,0,3292724
00:26:24.223902316,0.02,0.28,0,3291924
00:26:25.554665338,0.02,0.28,0,3291012
00:26:26.905876592,0.03,0.28,0,3291460
00:26:28.250704020,0.02,0.28,0,3291196
00:26:29.600148333,0.04,0.28,0,3291228
00:26:30.937854025,0.03,0.28,0,3291964
00:26:32.281238579,0.06,0.30,1,3291292
00:26:33.625849979,0.07,0.31,2,3291180
00:26:34.965602847,0.07,0.30,0,3291172
00:26:36.309378143,0.01,0.28,0,3291288
00:26:37.655787512,0.02,0.28,0,3291328
00:26:38.998604740,0.02,0.28,0,3291152
00:26:40.337405304,0.02,0.28,0,3290816
00:26:41.680620345,0.02,0.28,0,3291404
00:26:43.020657157,0.02,0.28,0,3293064
00:26:44.362054722,0.02,0.28,0,3291644
00:26:45.697157351,0.03,0.28,0,3291100
00:26:47.046537759,0.01,0.28,0,3291228
00:26:48.390748681,0.02,0.28,0,3291460
00:26:49.732445021,0.03,0.28,0,3290964
00:26:51.069246557,0.09,0.32,0,3291288
00:26:52.418555627,0.06,0.31,0,3291052
00:26:53.759692223,0.09,0.31,0,3290772
00:26:55.110802429,0.04,0.29,0,3291212
00:26:56.442076859,0.02,0.28,0,3291196
00:26:57.787171999,0.03,0.28,0,3290936
00:26:59.138430812,0.03,0.28,0,3291676
00:27:00.475970516,0.02,0.28,0,3290948
00:27:01.821311124,0.02,0.28,0,3292536
00:27:03.161042080,0.02,0.28,0,3292344
00:27:04.507305263,0.03,0.28,0,3291100
00:27:05.852719819,0.03,0.28,0,3291180
00:27:07.196133148,0.03,0.28,0,3291252
00:27:08.532563939,0.02,0.28,0,3290956
00:27:09.874266230,0.02,0.28,0,3290824
00:27:11.222565659,0.02,0.28,0,3290948
00:27:12.557257948,0.02,0.28,0,3291040
00:27:13.893782667,0.02,0.28,0,3291272
00:27:15.233764298,0.02,0.28,0,3290752
00:27:16.569996940,0.02,0.28,0,3290876
00:27:17.917458853,0.02,0.28,0,3290668
00:27:19.266056671,0.01,0.28,0,3291012
00:27:20.606369297,0.02,0.28,0,3291048
00:27:21.954239415,0.03,0.28,0,3290676
00:27:23.288025764,0.02,0.28,0,3292616
00:27:24.628792643,0.04,0.28,0,3290696
00:27:25.973609839,0.03,0.28,0,3290932
00:27:27.316419248,0.02,0.28,0,3290512
00:27:28.656962450,0.02,0.28,0,3290520
00:27:30.003097738,0.03,0.28,0,3291140
00:27:31.347487978,0.03,0.28,0,3291148
00:27:32.688904853,0.02,0.28,0,3290960
00:27:34.028924025,0.02,0.28,0,3290396
00:27:35.367444302,0.02,0.28,0,3290792
00:27:36.714287276,0.02,0.28,0,3290676
00:27:38.057839056,0.02,0.28,0,3290800
00:27:39.398410995,0.02,0.28,0,3291520
00:27:40.741799784,0.02,0.28,0,3290964
00:27:42.078132883,0.02,0.28,0,3290868
00:27:43.414446105,0.02,0.28,0,3291140
00:27:44.757693135,0.02,0.28,0,3292528
00:27:46.103643715,0.04,0.28,0,3291276
00:27:47.447138587,0.02,0.28,0,3290808
00:27:48.787590860,0.02,0.28,0,3290824
00:27:50.133759694,0.02,0.28,0,3290300
00:27:51.481187151,0.01,0.28,0,3291196
00:27:52.814906230,0.02,0.28,0,3290840
00:27:54.162261265,0.04,0.29,0,3290496
00:27:55.501168957,0.02,0.28,0,3290628
00:27:56.848635202,0.02,0.28,0,3290752
00:27:58.191786760,0.02,0.28,0,3291000
00:27:59.537489760,0.02,0.28,0,3291084
00:28:00.873039645,0.02,0.28,0,3290552
00:28:02.217585531,0.02,0.28,0,3291296
00:28:03.568145019,0.02,0.28,0,3292328
00:28:04.909483327,0.02,0.28,0,3291948
00:28:06.260464426,0.04,0.28,0,3291444
00:28:07.602592414,0.02,0.28,0,3290940
00:28:08.945537650,0.02,0.28,0,3290832
