horaejecucion,e_core,e_ram,cpu,mem_used
18:54:34.169545352,1.13,0.31,1,2679468
18:54:35.523193608,0.05,0.30,5,2677968
18:54:36.873369544,0.06,0.30,0,2677684
18:54:38.226738353,0.04,0.29,1,2676776
18:54:39.563279164,0.04,0.30,0,2677216
18:54:40.912956953,0.06,0.30,0,2677124
18:54:42.259651447,0.04,0.29,1,2676728
18:54:43.608120998,0.03,0.29,1,2677208
18:54:44.962189852,0.07,0.30,0,2676720
18:54:46.314286694,0.04,0.29,0,2676076
18:54:47.658727585,0.04,0.29,1,2675888
18:54:49.010846816,0.13,0.30,0,2675456
18:54:50.359523265,0.04,0.29,1,2675580
18:54:51.702524451,0.05,0.29,13,2673372
18:54:53.041526395,0.30,0.33,2,2672672
18:54:54.389710686,0.38,0.31,2,2671600
18:54:55.721384976,0.10,0.31,0,2671632
18:54:57.071901241,0.11,0.30,0,2671832
18:54:58.432019543,0.07,0.29,0,2671444
18:54:59.781797671,0.16,0.29,0,2671056
18:55:01.135264236,0.07,0.29,0,2671584
18:55:02.485387117,0.13,0.29,1,2671492
18:55:03.832105574,0.20,0.29,1,2671288
18:55:05.169760023,0.09,0.29,0,2670260
18:55:06.521592686,0.22,0.29,0,2669996
18:55:07.870315101,0.11,0.30,0,2670264
18:55:09.219618299,0.09,0.29,0,2669752
18:55:10.578596805,0.75,0.32,4,2669652
18:55:11.918878410,0.08,0.29,0,2669348
18:55:13.269864666,0.18,0.35,4,2669172
18:55:14.617590372,0.16,0.33,1,2669020
18:55:15.964164440,0.16,0.31,0,2668748
18:55:17.310566128,0.11,0.28,0,2668524
18:55:18.659938259,0.06,0.29,1,2668748
18:55:20.012498635,0.08,0.30,0,2668484
18:55:21.365763617,0.07,0.29,0,2668036
18:55:22.718939477,0.10,0.29,0,2668184
18:55:24.054495838,0.09,0.30,0,2668372
18:55:25.398720276,0.10,0.29,4,2667620
18:55:26.748290125,0.10,0.29,0,2668048
18:55:28.087355126,0.08,0.29,0,2667316
18:55:29.429620347,0.50,0.32,3,2630448
18:55:30.753391484,0.77,0.31,1,2623536
18:55:32.079444879,0.37,0.31,2,2598820
18:55:33.403435227,0.50,0.31,1,2598448
18:55:34.724128493,0.48,0.31,0,2600440
18:55:36.064908104,0.19,0.30,0,2600612
18:55:37.411863252,0.09,0.29,0,2599904
18:55:38.763509819,0.08,0.29,0,2600188
18:55:40.103452203,0.08,0.29,0,2599944
18:55:41.458582845,0.10,0.29,0,2600200
18:55:42.800538365,0.09,0.29,0,2599580
18:55:44.152242660,0.07,0.30,0,2600516
18:55:45.504052411,0.12,0.29,3,2597376
18:55:46.854702392,0.08,0.29,3,2596548
18:55:48.198654323,0.29,0.30,0,2596624
18:55:49.558584559,0.08,0.29,0,2596960
18:55:50.911359512,0.15,0.29,0,2597060
18:55:52.255700538,0.19,0.33,2,2596388
18:55:53.604763277,0.38,0.34,3,2595860
18:55:54.951606475,0.11,0.30,3,2595660
18:55:56.294207406,0.07,0.30,0,2595856
18:55:57.648740240,0.08,0.29,0,2595420
18:55:58.994609409,0.11,0.30,0,2595432
18:56:00.342040401,0.07,0.29,0,2594400
18:56:01.691547734,0.07,0.29,0,2593612
18:56:03.046058591,0.11,0.29,0,2593540
18:56:04.384073126,0.09,0.29,0,2594408
18:56:05.729610285,1.20,0.31,3,2589548
18:56:07.071276575,0.16,0.30,0,2589656
18:56:08.413075420,0.08,0.29,0,2589368
18:56:09.771474002,0.81,0.30,0,2589700
18:56:11.111814415,0.10,0.30,3,2589384
18:56:12.450623924,0.40,0.34,1,2589060
18:56:13.795375526,0.12,0.32,1,2588724
18:56:15.141406835,0.25,0.32,0,2587848
18:56:16.482107529,0.07,0.29,0,2587568
18:56:17.830597837,0.10,0.29,0,2587124
18:56:19.186990533,0.14,0.30,0,2587468
18:56:20.538302801,0.10,0.29,1,2586560
18:56:21.878993725,0.07,0.29,0,2587288
18:56:23.234828772,0.11,0.30,0,2586932
18:56:24.573792927,2.20,0.38,10,2562640
18:56:25.906767050,0.22,0.30,0,2558700
18:56:27.250215529,0.11,0.30,0,2558948
18:56:28.599597738,0.09,0.29,1,2558096
18:56:29.948694760,0.09,0.29,0,2558204
18:56:31.311437455,0.58,0.31,2,2556124
18:56:32.640716660,0.49,0.33,3,2552124
18:56:33.969086685,0.40,0.31,1,2566396
18:56:35.287858438,0.25,0.30,0,2564504
18:56:36.631088766,0.08,0.29,0,2564188
18:56:37.975630229,0.09,0.29,1,2563992
18:56:39.327863682,0.09,0.30,0,2563908
18:56:40.674829954,0.07,0.29,0,2564160
18:56:42.008039108,0.06,0.29,1,2562432
18:56:43.351610185,0.70,0.30,0,2558212
18:56:44.699511146,0.11,0.29,1,2558372
18:56:46.044806513,0.16,0.30,0,2556856
18:56:47.394417250,0.20,0.29,1,2556400
18:56:48.739077008,0.07,0.29,2,2555772
18:56:50.082323906,0.10,0.29,0,2556096
18:56:51.439476958,0.24,0.34,0,2555372
18:56:52.788107692,0.18,0.33,1,2554020
18:56:54.139735689,0.16,0.31,0,2553512
18:56:55.494689961,0.14,0.29,0,2552184
18:56:56.842246716,0.09,0.29,1,2551604
18:56:58.184191376,0.08,0.29,0,2551688
18:56:59.533887444,0.15,0.29,0,2551556
18:57:00.877464604,0.86,0.30,3,2548736
18:57:02.219810474,0.11,0.29,0,2548300
18:57:03.571140660,0.13,0.29,0,2548144
18:57:04.921572916,0.12,0.29,1,2548496
18:57:06.274463264,0.10,0.29,0,2547124
18:57:07.623904072,0.09,0.29,0,2546852
18:57:08.975601838,0.06,0.29,1,2546984
18:57:10.327127036,0.08,0.30,14,2542196
18:57:11.665536569,0.16,0.33,1,2538992
18:57:13.015850929,0.13,0.31,0,2538876
18:57:14.358564425,0.10,0.30,0,2538196
18:57:15.715959748,0.08,0.29,1,2536364
18:57:17.066214420,0.11,0.29,0,2536472
18:57:18.422936220,0.09,0.29,0,2536188
18:57:19.772160135,0.73,0.30,1,2529352
18:57:21.096886438,0.28,0.30,0,2527408
18:57:22.433865133,0.07,0.29,0,2527052
18:57:23.787455267,0.10,0.29,0,2526332
18:57:25.134111898,0.09,0.29,0,2525736
18:57:26.475994828,0.07,0.29,0,2525264
18:57:27.823838867,0.15,0.29,0,2524916
18:57:29.175046412,0.20,0.29,0,2524652
18:57:30.514631702,0.42,0.32,0,2521988
18:57:31.839295221,0.57,0.32,3,2517812
18:57:33.157463065,0.12,0.29,0,2516312
18:57:34.493564581,0.27,0.30,0,2515668
18:57:35.843834739,1.03,0.31,0,2514436
18:57:37.183732998,0.07,0.29,3,2513040
18:57:38.523706989,0.12,0.30,0,2511216
18:57:39.879723044,0.10,0.29,0,2511636
18:57:41.228601206,0.09,0.29,0,2511472
18:57:42.577591453,0.11,0.29,1,2511660
18:57:43.918330723,0.13,0.29,0,2511364
18:57:45.271546304,0.11,0.29,3,2508660
18:57:46.613322579,0.11,0.29,0,2508140
18:57:47.961383096,0.11,0.29,0,2508224
18:57:49.309661034,0.12,0.29,1,2508144
18:57:50.652480577,0.19,0.33,1,2506488
18:57:51.994398877,0.14,0.32,1,2505964
18:57:53.346196528,0.20,0.32,0,2505740
18:57:54.691638447,0.10,0.29,0,2505028
18:57:56.045617166,4.66,0.44,3,2484180
18:57:57.381059683,0.08,0.30,0,2482952
18:57:58.735814600,0.09,0.29,0,2491076
18:58:00.084569047,0.13,0.29,0,2491092
18:58:01.433552765,0.11,0.30,0,2491240
18:58:02.783764478,0.09,0.29,0,2490868
18:58:04.130878143,0.16,0.29,0,2491092
18:58:05.488610454,0.11,0.30,0,2488768
18:58:06.839551424,0.95,0.29,0,2487916
18:58:08.185896594,0.17,0.29,0,2493652
18:58:09.523630979,0.20,0.32,2,2493424
18:58:10.866443260,0.18,0.32,4,2492664
18:58:12.215855066,0.10,0.29,1,2491392
18:58:13.557747968,0.13,0.30,0,2491284
18:58:14.897415720,0.99,0.31,1,2483000
18:58:16.217180145,0.25,0.30,0,2478784
18:58:17.552339274,0.18,0.30,0,2478380
18:58:18.902563697,0.13,0.29,1,2478584
18:58:20.265121020,0.09,0.29,0,2478336
18:58:21.627861313,0.12,0.30,0,2478436
18:58:22.972578019,0.09,0.29,2,2478280
18:58:24.326991196,0.09,0.29,0,2478032
18:58:25.679003738,0.11,0.29,0,2475288
18:58:27.030658201,0.09,0.29,1,2474728
18:58:28.382249430,0.10,0.29,0,2474564
18:58:29.719910019,0.43,0.33,2,2470932
18:58:31.045449040,0.41,0.31,0,2467584
18:58:32.365068331,0.24,0.31,1,2465580
18:58:33.710540714,0.12,0.30,0,2463340
18:58:35.065824915,0.12,0.29,1,2461784
18:58:36.410286079,0.22,0.31,0,2460784
18:58:37.759365660,0.22,0.29,0,2460084
18:58:39.102822617,0.11,0.29,1,2460148
18:58:40.458225868,0.11,0.29,0,2460008
18:58:41.807165559,0.10,0.29,0,2460148
18:58:43.158512156,0.11,0.29,0,2460084
18:58:44.507384724,0.23,0.30,0,2459796
18:58:45.855916961,0.14,0.30,0,2457708
18:58:47.200703971,0.11,0.29,1,2457352
18:58:48.553981166,0.25,0.30,3,2456448
18:58:49.899751541,0.15,0.33,3,2455200
18:58:51.240048803,0.34,0.29,4,2452704
18:58:52.575979427,0.11,0.29,0,2451760
18:58:53.924301834,0.08,0.29,0,2451992
18:58:55.269827389,0.11,0.29,1,2449908
18:58:56.624174545,0.09,0.29,0,2449032
18:58:57.983855830,0.13,0.29,0,2449048
18:58:59.339591666,0.06,0.29,0,2449376
18:59:00.687589491,0.09,0.29,0,2448612
18:59:02.040113658,0.06,0.29,0,2449244
18:59:03.390285292,0.09,0.29,0,2449120
18:59:04.751266465,0.09,0.29,0,2448648
18:59:06.098447922,0.07,0.29,0,2445088
18:59:07.446638089,0.08,0.29,0,2445384
18:59:08.788292871,0.21,0.31,2,2443676
18:59:10.136773258,0.88,0.30,0,2435564
18:59:11.464595964,0.27,0.30,0,2433340
18:59:12.799579814,0.09,0.29,0,2433036
18:59:14.150706133,0.16,0.30,0,2433224
18:59:15.498700889,0.08,0.29,3,2430908
