timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-02-12 14:01:38.946059,2019-02-12 14:01:58.285,2019-02-12 14:01:57.984759,,
2019-02-12 14:01:38.945687,2019-02-12 14:01:58.386,2019-02-12 14:01:57.984600,,
2019-02-12 14:01:38.947898,2019-02-12 14:01:58.392,2019-02-12 14:01:57.994741,,
2019-02-12 14:01:38.941037,2019-02-12 14:01:58.390,2019-02-12 14:01:57.982649,,
2019-02-12 14:01:38.946575,2019-02-12 14:01:58.387,2019-02-12 14:01:57.986025,,
2019-02-12 14:01:38.942160,2019-02-12 14:01:58.387,2019-02-12 14:01:57.983937,,
2019-02-12 14:01:38.941835,2019-02-12 14:01:58.387,2019-02-12 14:01:57.983477,,
2019-02-12 14:01:38.939508,2019-02-12 14:01:58.386,2019-02-12 14:01:57.981512,,
2019-02-12 14:01:38.957934,2019-02-12 14:01:58.488,2019-02-12 14:01:58.007564,,
2019-02-12 14:01:38.973287,2019-02-12 14:01:58.497,2019-02-12 14:01:58.049303,,
2019-02-12 14:01:38.958727,2019-02-12 14:01:58.495,2019-02-12 14:01:58.008210,,
2019-02-12 14:01:38.940553,2019-02-12 14:01:58.494,2019-02-12 14:01:57.982318,,
2019-02-12 14:01:38.939717,2019-02-12 14:01:58.492,2019-02-12 14:01:57.981672,,
2019-02-12 14:01:38.955285,2019-02-12 14:01:58.492,2019-02-12 14:01:57.998620,,
2019-02-12 14:01:38.960140,2019-02-12 14:01:58.492,2019-02-12 14:01:58.009443,,
2019-02-12 14:01:39.082569,2019-02-12 14:01:58.492,2019-02-12 14:01:58.145982,,
2019-02-12 14:01:38.939082,2019-02-12 14:01:58.489,2019-02-12 14:01:57.981186,,
2019-02-12 14:01:38.947380,2019-02-12 14:01:58.489,2019-02-12 14:01:57.993734,,
2019-02-12 14:01:38.991171,2019-02-12 14:01:58.488,2019-02-12 14:01:58.110440,,
2019-02-12 14:01:38.937128,2019-02-12 14:01:58.488,2019-02-12 14:01:57.979704,,
2019-02-12 14:01:38.969644,2019-02-12 14:01:58.503,2019-02-12 14:01:58.009885,,
2019-02-12 14:01:38.958991,2019-02-12 14:01:58.501,2019-02-12 14:01:58.008474,,
2019-02-12 14:01:38.959606,2019-02-12 14:01:58.500,2019-02-12 14:01:58.008853,,
2019-02-12 14:01:38.957400,2019-02-12 14:01:58.488,2019-02-12 14:01:58.007236,,
2019-02-12 14:01:38.938864,2019-02-12 14:01:58.627,2019-02-12 14:01:57.981024,,
2019-02-12 14:01:38.939926,2019-02-12 14:01:58.606,2019-02-12 14:01:57.981831,,
2019-02-12 14:01:38.941998,2019-02-12 14:01:58.604,2019-02-12 14:01:57.983693,,
2019-02-12 14:01:38.956055,2019-02-12 14:01:58.602,2019-02-12 14:01:58.006612,,
2019-02-12 14:01:38.937740,2019-02-12 14:01:58.601,2019-02-12 14:01:57.980074,,
