timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-02-12 12:42:31.670323,2019-02-12 12:42:51.721,2019-02-12 12:42:51.467904,,
2019-02-12 12:42:31.698845,2019-02-12 12:42:51.721,2019-02-12 12:42:51.484051,,
2019-02-12 12:42:31.690045,2019-02-12 12:42:51.727,2019-02-12 12:42:51.472167,,
2019-02-12 12:42:31.674046,2019-02-12 12:42:51.650,2019-02-12 12:42:51.471151,,
2019-02-12 12:42:31.692097,2019-02-12 12:42:51.727,2019-02-12 12:42:51.476679,,
2019-02-12 12:42:31.693115,2019-02-12 12:42:51.653,2019-02-12 12:42:51.477656,,
2019-02-12 12:42:31.697292,2019-02-12 12:42:51.651,2019-02-12 12:42:51.479138,,
2019-02-12 12:42:31.672467,2019-02-12 12:42:51.648,2019-02-12 12:42:51.469751,,
2019-02-12 12:42:31.698344,2019-02-12 12:42:51.723,2019-02-12 12:42:51.483503,,
2019-02-12 12:42:31.670826,2019-02-12 12:42:51.655,2019-02-12 12:42:51.468364,,
2019-02-12 12:42:31.692627,2019-02-12 12:42:51.721,2019-02-12 12:42:51.477168,,
2019-02-12 12:42:31.691600,2019-02-12 12:42:51.650,2019-02-12 12:42:51.476211,,
2019-02-12 12:42:31.671349,2019-02-12 12:42:51.646,2019-02-12 12:42:51.468824,,
2019-02-12 12:42:31.693751,2019-02-12 12:42:52.606,2019-02-12 12:42:51.478135,,
2019-02-12 12:42:31.689232,2019-02-12 12:42:51.654,2019-02-12 12:42:51.471704,,
2019-02-12 12:42:31.673024,2019-02-12 12:42:51.655,2019-02-12 12:42:51.470208,,
2019-02-12 12:42:31.669874,2019-02-12 12:42:51.653,2019-02-12 12:42:51.467500,,
2019-02-12 12:42:31.690567,2019-02-12 12:42:51.654,2019-02-12 12:42:51.475120,,
2019-02-12 12:42:31.669093,2019-02-12 12:42:51.654,2019-02-12 12:42:51.466826,,
2019-02-12 12:42:31.673549,2019-02-12 12:42:52.784,2019-02-12 12:42:51.470661,,
