timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-01-22 22:57:06.816115,2019-01-22 22:57:27.429,2019-01-22 22:57:27.152359,,
2019-01-22 22:57:06.816621,2019-01-22 22:57:27.436,2019-01-22 22:57:27.153325,,
2019-01-22 22:57:06.825408,2019-01-22 22:57:27.436,2019-01-22 22:57:27.169359,,
2019-01-22 22:57:06.818442,2019-01-22 22:57:27.449,2019-01-22 22:57:27.160258,,
2019-01-22 22:57:06.858424,2019-01-22 22:57:27.432,2019-01-22 22:57:27.216653,,
2019-01-22 22:57:06.879723,2019-01-22 22:57:27.429,2019-01-22 22:57:27.250947,,
2019-01-22 22:57:06.838886,2019-01-22 22:57:27.535,2019-01-22 22:57:27.190600,,
2019-01-22 22:57:06.819271,2019-01-22 22:57:27.532,2019-01-22 22:57:27.161877,,
2019-01-22 22:57:06.826489,2019-01-22 22:57:27.530,2019-01-22 22:57:27.171831,,
2019-01-22 22:57:06.960926,2019-01-22 22:57:27.533,2019-01-22 22:57:27.253026,,
2019-01-22 22:57:06.859386,2019-01-22 22:57:27.530,2019-01-22 22:57:27.249254,,
2019-01-22 22:57:06.825680,2019-01-22 22:57:27.532,2019-01-22 22:57:27.170231,,
2019-01-22 22:57:06.857090,2019-01-22 22:57:27.530,2019-01-22 22:57:27.214297,,
2019-01-22 22:57:06.842916,2019-01-22 22:57:27.530,2019-01-22 22:57:27.196065,,
2019-01-22 22:57:06.815627,2019-01-22 22:57:27.733,2019-01-22 22:57:27.151455,,
2019-01-22 22:57:06.826203,2019-01-22 22:57:27.736,2019-01-22 22:57:27.171328,,
2019-01-22 22:57:06.819587,2019-01-22 22:57:27.738,2019-01-22 22:57:27.162350,,
2019-01-22 22:57:06.817128,2019-01-22 22:57:27.733,2019-01-22 22:57:27.154284,,
2019-01-22 22:57:06.828899,2019-01-22 22:57:27.733,2019-01-22 22:57:27.189116,,
2019-01-22 22:57:06.817382,2019-01-22 22:57:27.731,2019-01-22 22:57:27.154752,,
2019-01-22 22:57:06.881661,2019-01-22 22:57:27.735,2019-01-22 22:57:27.252205,,
