horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
12:29:24.234364736,0.25,1896314,58955366,2405507,1034858,28508959,6791115,86142,3.142,2741346,1516973,7.92
12:29:26.525394697,0.25,289930,5964473,929117,439097,27454682,6390707,82933,3.169,2617406,1446092,11.22
12:29:28.804666049,0.25,246572,11091946,2148865,902992,1283861314,271663004,5028331,4.177,120375423,51763652,4.95
12:29:31.182864758,0.25,253489,4566902,2629524,1054154,43271771,9630701,177250,4.148,4273010,1985241,4.61
12:29:33.471174030,0.25,371459,10522103,1413726,694688,158095113,44198307,526275,2.851,18460061,8732213,13.19
12:29:35.782019328,0.25,113957,2518261,2547187,1117845,42555692,9618191,147040,3.665,4011712,2094871,8.64
12:29:38.064222167,0.25,107782,2410898,1450588,743570,87357836,15903156,331792,4.212,7876421,3252042,11.35
12:29:40.356265938,0.25,128421,3199866,3376102,1567114,40417426,9555729,134848,3.356,4018426,2060558,3.05
12:29:43.782599457,0.25,128030,3190060,6820880,2186431,50982724,12634899,186857,3.372,5541277,2705513,11.96
12:29:46.099124823,0.25,284254,6997657,1095898,542750,77576992,15872776,312699,4.156,7523205,3297344,13.36
12:29:48.389283745,0.25,95006,2173995,2483181,1247800,136011644,25416432,257134,2.566,10020610,5004604,1.99
12:29:50.955645794,0.25,248989,5141418,1460616,701953,37200258,8518215,126182,3.585,3519781,1892937,13.66
12:29:53.266740255,0.25,91381,2120860,1304349,638070,35827965,8123983,114881,3.434,3345571,1798406,12.52
12:29:55.558922931,0.25,98089,2234548,2179606,940767,38325613,8552692,131124,3.678,3564727,1877493,7.11
12:29:57.851897853,0.25,95735,2273452,1708823,800323,34770656,7844675,112216,3.485,3220412,1726403,7.84
12:30:00.268731238,0.25,99473,2470883,1193438,595234,66354663,13516035,270927,4.186,6471478,2861759,11.13
12:30:02.582726609,0.25,104687,2389457,2540997,1170801,37727490,8324875,124276,3.605,3446853,1831391,11.41
12:30:04.851062070,0.25,274307,5533461,1144240,541671,37461202,8383908,128667,3.702,3475849,1831725,3.21
12:30:07.144934059,0.25,117837,2959744,1299437,630615,40832884,8887306,129086,3.519,3668250,1973464,14.62
12:30:09.421064179,0.25,1287283,22449931,69419812,26115885,609689020,88818906,1867275,4.623,40388893,17172601,0.82
12:30:11.864013817,0.25,139984,3612445,1288371,641548,34730563,8580383,118810,3.298,3602365,1859451,13.22
12:30:14.173150797,0.25,394595,11041083,1403181,596613,42028629,9424522,141960,3.591,3953733,2072155,11.96
12:30:16.453969146,0.25,91461,2235270,1457251,725852,68960405,13783979,275384,4.219,6527157,2897829,14.66
12:30:18.743043552,0.25,125671,3269812,2298605,1152914,39340085,8293728,128494,3.697,3475797,1776350,2.26
12:30:21.040900607,0.25,233433,4581881,1331862,633145,40236412,8499807,123942,3.534,3507426,1871486,9.60
12:30:23.338796745,0.25,96202,2215008,1208103,578781,46138344,10352120,153108,3.545,4318472,2322131,9.66
12:30:25.635124138,0.25,117930,3283345,2438510,1085626,34693016,7862386,111333,3.414,3260629,1727568,10.57
12:30:27.920315297,0.25,107227,2558678,1158350,577767,39663665,9004717,128551,3.482,3691612,2005133,7.25
12:30:30.568125192,0.25,150450,3323001,1956306,954565,72514280,14468038,284235,4.145,6857751,2984495,12.96
12:30:32.837153138,0.25,92272,2184484,2549630,1205875,38275386,8228059,120400,3.578,3364637,1802581,3.32
12:30:35.144515826,0.25,244827,4671943,1140970,543355,37955174,8835702,130612,3.589,3638858,1951900,10.97
12:30:37.440084281,0.25,85843,2043854,1310736,648721,46109897,9235425,137894,3.644,3784332,2017175,8.18
12:30:39.733084377,0.25,94538,2192850,1213071,596429,275834758,50395418,446877,2.296,19465999,9441926,13.45
12:30:42.021838087,0.25,126080,3641054,1294174,623599,33525395,7757205,107891,3.399,3174317,1724016,5.19
12:30:44.306135524,0.25,309748,8121806,1206493,562365,39088229,8933779,128162,3.498,3663446,1974351,11.72
12:30:46.612606719,0.25,91871,2290002,1395201,690864,68863218,14156686,277834,4.115,6751674,2947309,10.05
12:30:48.931565022,0.25,89588,2195722,2615698,1207618,433751365,69841292,1538416,4.875,31558209,14712049,2.78
12:30:51.383623170,0.25,245673,5133984,8924348,2449386,36103718,8164770,114540,3.448,3321553,1828007,11.15
12:30:53.700810096,0.25,99385,2376026,2241336,893085,37868338,8570692,127399,3.589,3549459,1897996,4.61
12:30:55.996702941,0.25,205378,4955325,1285648,635156,34396299,7932211,109560,3.389,3232506,1758375,6.37
12:30:58.286909404,0.25,102909,2391649,1163668,553183,40522571,8701368,127367,3.544,3594218,1882402,7.03
12:31:00.596133980,0.25,96611,2333192,14451801,3715770,37335703,8056574,116050,3.496,3319963,1796651,11.17
12:31:02.896181075,0.25,88176,2197861,1264486,620111,61102939,12950110,256009,4.126,6204473,2736726,3.38
12:31:05.180552643,0.25,95957,2263046,2141143,1044574,37888281,8590752,118357,3.350,3533055,1897364,12.25
12:31:07.470906036,0.25,224872,4262973,1273239,624656,35330167,7898784,111358,3.433,3243772,1762343,13.22
12:31:10.048083195,0.25,4933671,88034023,38270949,15967526,509330460,89840663,1463561,3.644,40168209,17048748,4.68
12:31:12.437642785,0.25,104675,2446550,1180397,581400,38749375,8451241,123866,3.559,3480049,1863416,13.96
12:31:14.744680597,0.25,99711,2362843,1113445,548683,45044918,9951779,140386,3.388,4143811,2118155,5.26
12:31:17.682335889,0.25,239325,4489501,1221928,585850,34379433,7751045,110601,3.467,3190291,1716202,9.51
12:31:19.983415116,0.25,88739,2212462,1298540,617857,42322376,8477007,129885,3.688,3521369,1833187,8.49
12:31:22.601517200,0.25,105183,2389557,1168172,552993,37338265,8689216,123880,3.492,3547728,1939928,6.71
12:31:24.896177587,0.25,90319,2247294,1651623,707350,46028277,10516706,187880,3.962,4741878,2287418,13.25
12:31:27.196238502,0.25,98424,2340286,1187627,596365,38292268,8565054,126844,3.606,3517475,1874050,10.68
12:31:29.488436005,0.25,87139,2043315,16367477,7364629,1677006063,245370208,5619423,5.002,112344633,47475155,2.47
12:31:31.844010934,0.25,235966,4585620,1842776,728578,211470036,36846631,345038,2.437,14155659,6896081,6.06
12:31:34.153010697,0.25,397472,11054657,1298923,650459,35803623,7984760,114555,3.471,3300810,1762520,11.04
12:31:36.464943064,0.25,100242,2320761,1307726,617319,36184269,8150512,119596,3.552,3367288,1785644,7.33
12:31:38.785459025,0.25,106137,2466289,1573930,634744,36710584,8202833,123087,3.640,3381443,1803153,13.53
12:31:41.103030009,0.25,85543,2131288,1276563,616902,72934455,14266421,267815,3.939,6798929,3038768,7.85
12:31:43.375276125,0.25,105559,2556668,1190515,576503,146519198,38218265,436485,2.745,15899489,7751704,12.85
12:31:45.663559052,0.25,86137,2119559,4604640,1816501,35023134,7790448,110201,3.444,3200114,1721013,10.27
12:31:47.971032178,0.25,253767,5032131,1183152,575510,38796938,8316561,122781,3.555,3453711,1829551,9.33
12:31:50.266061943,0.25,4738014,79642221,6292417,3012161,72329974,14925876,241532,3.839,6292075,3146975,9.80
12:31:52.599841432,0.25,84395,2051966,12367374,3313658,32268846,7647361,105852,3.396,3116666,1694958,4.55
12:31:54.881111751,0.25,107402,2407691,1174625,561683,37885507,8284240,122676,3.566,3439740,1833314,12.24
12:31:57.181086887,0.25,85266,2023093,1250298,601165,36526416,8391012,121959,3.520,3464257,1858788,6.12
12:31:59.473395244,0.25,96922,2256247,1239270,588942,84581749,16123549,290929,3.766,7724283,3369847,16.56
12:32:01.761682659,0.25,95456,2165991,2295211,1134083,29333172,7385330,103364,3.437,3007410,1633890,2.53
12:32:04.084783518,0.25,418463,9825446,1332733,639275,40860850,8985464,136328,3.650,3734756,1994109,10.86
12:32:06.379752337,0.25,102554,2333164,1183881,548610,43314477,9749008,145086,3.619,4009267,2166564,14.51
12:32:08.663951827,0.25,82604,2016700,1401993,685743,34033524,7812250,110642,3.439,3217185,1734734,0.79
12:32:11.232517354,0.25,572771,12395442,2116298,1028432,36109217,8083712,117271,3.525,3326430,1771162,11.52
12:32:13.535434524,0.25,88237,2144953,1226143,593653,240134541,53649599,712732,3.024,23569798,10699348,8.18
12:32:15.824273406,0.25,102920,2450323,3357884,1535156,34424048,7708672,109943,3.479,3159753,1715646,11.13
12:32:18.119322633,0.25,89277,2141559,10957401,3039820,81771121,15512391,188699,3.027,6233880,3064859,14.38
12:32:20.395529097,0.25,228048,4541115,1271998,615566,37420952,8278191,117589,3.471,3387634,1831832,9.45
12:32:22.668865020,0.25,101496,2299006,1134911,549336,38808149,8691532,131294,3.667,3580855,1897035,6.06
12:32:24.962897263,0.25,87669,2122146,1326225,659325,33884624,7980691,106500,3.259,3267487,1785627,8.71
12:32:27.428596275,0.25,122494,3069358,1310060,651422,35040454,7867916,115420,3.568,3234459,1754870,2.87
12:32:29.713752430,0.25,94974,2248295,1642795,675959,1721572523,235532112,5306923,4.932,107595915,44867328,6.99
12:32:32.285528329,0.25,180339,3898588,1128202,519799,40319343,9015615,129329,3.477,3719056,1998228,15.79
12:32:34.565784857,0.25,95307,2215832,1363352,668001,35088589,7953016,113208,3.475,3257764,1751563,6.94
