horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
19:10:12.191577913,1587158,50340139,1003788,520414,118397758,26042766,430874,3.330,12939382,5574011,32.85,14.65,0.13,13.41,32.04
19:10:14.548402963,93682,2108756,1143086,583447,44350047,11568618,159972,3.088,5180898,2501962,27.76,14.35,0.14,14.65,34.60
19:10:16.864103570,96092,2187537,19335412,7870137,1468301774,322584971,5424069,3.717,145935073,62209411,41.15,6.07,0.27,8.62,35.50
19:10:19.353585414,183244,3473005,2279203,1056734,42878815,10553510,200220,4.278,4679718,2143089,49.34,9.21,0.20,7.98,28.71
19:10:21.690752520,117094,2529491,2832850,1063359,269350270,47483180,439166,2.386,18406680,8769312,54.78,6.79,0.15,7.27,26.92
19:10:24.001232034,165037,3811538,1365286,691971,44328820,9752532,162479,3.926,4139017,2106834,31.51,14.82,0.32,11.82,35.45
19:10:26.326043312,119682,2546354,2776471,1226119,45912420,10520908,177468,3.928,4517542,2244409,41.98,11.00,0,10.59,31.14
19:10:28.655346360,149115,3362791,1421291,721705,41345467,8737075,148051,3.923,3773682,1827105,42.06,5.17,0.30,8.42,40.56
19:10:30.981361004,128378,2614118,2639828,1291161,40398892,8744867,139741,3.766,3710247,1920516,29.89,11.81,0.73,10.31,41.63
19:10:33.320405536,287989,5777918,1480793,762924,61377439,15373385,230019,3.421,6723765,2701825,38.58,11.21,0.44,10.86,34.82
19:10:35.606206383,126804,2640373,1387995,706266,45137653,9993547,167673,3.912,4285929,2161112,35.10,12.05,0.32,11.45,33.99
19:10:38.119758235,374846,10437352,1718604,841543,46950209,10101490,161139,3.738,4311223,2210946,31.77,10.55,0.25,6.73,42.50
19:10:40.458979307,118485,2562223,1541117,706736,38924813,8567632,134327,3.704,3626072,1849054,37.10,11.13,0.29,11.14,35.00
