horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
15:40:39.574274210,83196,1919408,949613,435508,29770480,6952780,92179,3.180,2898570,1541810,22.22,9.54,1.88,10.83
15:40:44.220959901,67892,1800190,1485044,627268,39232389,8317867,111401,3.272,3404418,1784477,25.82,13.77,0.61,15.49
15:40:46.565025153,98341,2591025,1961884,928128,26764078,6352985,78643,3.041,2586041,1449192,19.40,14.56,0.25,15.08
15:40:48.936914762,110611,2463905,906996,384015,30922640,6961887,97027,3.375,2874976,1539466,28.48,13.81,0.21,14.30
15:40:51.293595373,65570,1706549,1517853,572537,36524385,8688708,118610,3.242,3658133,1717885,21.64,16.47,0.43,12.01
15:40:53.659420309,71640,1732788,2017359,728248,28350864,6525538,84420,3.163,2668790,1474404,25.84,11.74,0.93,9.38
15:40:55.977513986,141225,3608111,892227,402085,29378623,6653535,87323,3.195,2733246,1497051,21.68,14.22,0.16,18.90
15:40:58.301785467,153485,3700214,986374,447581,59282577,12202412,242259,4.089,5924712,2530702,21.04,14.29,0.72,16.21
15:41:00.621119732,74639,1817761,2033180,939443,27493571,6470262,81699,3.106,2630283,1463997,21.04,16.65,0.30,12.78
15:41:02.955576591,233425,4723952,878141,401420,29711729,6656176,88754,3.257,2724738,1460138,17.98,16.47,0.16,15.92
15:41:05.293144099,71873,1787664,908125,421501,120471893,31454050,362647,2.691,13477615,6349904,25.04,20.09,,18.95
15:41:07.595733200,78161,1875882,965331,461790,53594171,12424146,180168,3.319,5428062,2562476,54.15,6.60,0.67,8.46
15:41:09.936314406,82463,1967742,895463,388184,33230881,8596020,98659,2.776,3554596,1983575,25.58,12.88,0.38,11.91
15:41:12.259350081,64073,1665110,989882,449700,63565050,12279720,249190,4.182,5958700,2538264,28.05,16.47,0.87,14.04
15:41:14.583706539,282195,10477470,10825223,2771404,26225448,6179228,76922,3.064,2510150,1413116,33.06,13.29,0.52,13.58
15:41:16.910032414,78613,1986529,868724,387596,30097955,6758915,90355,3.264,2768096,1513456,51.77,7.79,0.54,9.42
15:41:19.254405636,70826,1813833,915787,441572,30780629,6994916,95744,3.323,2881350,1570750,24.37,12.92,1.11,16.97
15:41:21.620749937,75733,1932749,924647,438243,31159147,8201189,95797,2.804,3416882,1867623,24.87,16.15,0.39,11.13
15:41:23.978105385,76627,1910043,892900,418114,26234050,6119665,78926,3.166,2493015,1370874,24.89,9.53,0.68,18.42
15:41:26.306113980,67449,1774421,877675,398294,35825960,8950431,110865,2.949,3759254,1996524,25.49,10.95,0.41,12.74
15:41:28.624524211,76781,1926701,1714985,648784,91438882,17484607,221261,3.002,7370141,3465718,34.85,0.98,0.58,1.01
15:41:31.399556327,2804384,43568629,6248738,3016003,78851569,17905523,319971,3.987,8024433,3429597,40.13,8.97,0.39,8.76
15:41:33.754510122,502972,13146780,1500853,768341,38492093,8219585,125749,3.696,3402024,1796083,34.08,12.80,0.77,9.75
15:41:36.057916008,422280,11609708,1383268,676093,35228789,8224937,128661,3.754,3426872,1830784,33.03,9.72,0.27,10.81
15:41:38.406253280,201335,4549896,1486554,730348,38050889,8416929,136154,3.843,3543013,1827213,32.50,11.50,0.58,8.04
15:41:40.723761973,119356,2437046,1295840,654794,90140444,16284236,310953,4.029,7718064,3407168,32.52,11.91,0.84,10.64
15:41:43.046472791,128812,2633107,3001933,1315534,52248630,11481715,177900,3.576,4974311,2482436,36.31,9.73,0.24,11.14
15:41:45.378453386,337192,7085616,14625178,3773639,154083497,44213017,510298,2.800,18224769,8603479,30.65,12.08,0.14,11.54
15:41:47.709578888,118908,2444581,1430272,727942,88631431,18203844,252667,3.147,8029597,3839747,35.87,7.01,0.47,9.21
15:41:50.013399925,127142,2773370,53996933,19827713,919492595,157732405,3804779,5.595,68002249,34970850,47.82,6.75,0.15,5.79
15:41:52.384831859,101948,2274279,1411144,670241,37011041,8375526,125700,3.646,3447463,1863004,28.51,9.52,0.35,13.73
