horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
23:00:18.411216644,0.25,1683196,52343356,1631675,737950,163068080,46190473,550973,2.842,19387205,9283958,11.39
23:00:20.735228124,0.25,129970,2870954,1542284,703761,40523525,9685048,142385,3.473,4100194,2113330,13.23
23:00:23.060149041,0.25,382384,13982882,927120,437607,29549327,6880477,96472,3.438,2806305,1538981,15.78
23:00:25.364685312,0.25,83195,2014428,1375083,539254,70697136,11756135,230481,4.113,5604281,2478993,13.76
23:00:27.687286012,0.25,91491,2311756,1880937,901234,34955553,7855135,108288,3.370,3213720,1728891,12.48
23:00:30.035287381,0.25,229025,4299407,1819963,709379,30641781,6821509,91443,3.271,2795652,1505173,14.19
23:00:32.321210629,0.25,83923,2142640,918890,413904,32070316,8272630,102018,2.986,3416919,1879381,16.00
23:00:35.502157253,0.25,72445,1650755,947786,442604,31797989,7395375,99702,3.314,3008753,1639568,18.07
23:00:37.798505849,0.25,73602,1711223,2057643,1011192,27923764,6407954,87004,3.299,2637108,1416143,3.17
23:00:40.074044291,0.25,226132,4297938,1004566,468445,26777157,6410226,82599,3.152,2620342,1454347,15.68
23:00:42.354672175,0.25,85451,2004362,881163,419904,27524024,6341415,85361,3.290,2594646,1433248,16.22
23:00:44.660916358,0.25,72177,1754087,984687,464180,34736067,7695428,104068,3.329,3125692,1726788,11.08
23:00:46.967072040,0.25,75391,1787886,1025511,482206,26943878,6455729,82373,3.158,2608478,1465624,13.84
23:00:49.255926642,0.25,386306,11086180,4977299,1402873,165075542,29099647,300777,2.677,11236325,5377367,9.41
23:00:51.547917811,0.25,80746,2135897,914499,425184,63441860,13262742,268162,4.145,6470215,2809446,12.76
23:00:53.830870370,0.25,65782,1619973,2040005,1025211,28777710,6528087,81968,3.107,2638427,1478520,6.18
23:00:56.133004965,0.25,219778,4108361,879980,402726,26380705,6089798,80952,3.244,2495133,1374471,13.67
23:00:58.415229717,0.25,84078,2107083,930261,407963,157305198,42303561,486111,2.789,17427128,8564377,13.70
23:01:00.743569832,0.25,73799,1870620,1105275,525574,31469610,7085707,91140,3.185,2861630,1573498,16.52
23:01:03.035301496,0.25,617977,13970357,110583814,29656097,829713659,143656853,3789059,6.019,62949265,30815327,0.39
23:01:05.467110160,0.25,221078,4061055,1656249,745740,43516740,9885098,186480,4.304,4332900,2032121,5.31
23:01:07.773458053,0.25,100859,2193836,2024013,822053,68588574,13618944,270981,4.248,6379563,2714237,2.71
23:01:10.062947836,0.25,123087,2528180,10968774,3160275,54919930,11389367,155211,3.390,4577894,2286874,8.17
23:01:12.357708689,0.25,264278,4930641,1466059,717236,42486809,8444300,141524,3.978,3557357,1831854,9.33
23:01:14.636183944,0.25,112524,2662776,1335078,658186,43091544,9500175,153596,3.884,3954401,2077540,11.19
23:01:17.226968971,0.25,152182,3536302,1241673,616887,41054857,9981389,155148,3.710,4182141,2102820,7.50
23:01:19.513029972,0.25,117573,2432255,1412776,698859,68597492,15738887,241419,3.539,6822379,3250843,3.75
23:01:21.820451597,0.25,119113,2517923,1300279,624018,83941014,16262942,328177,4.210,7794848,3350738,9.69
23:01:24.125556422,0.25,99540,2161719,71209085,23855544,816588365,141965723,3577752,5.816,61513548,30777031,0.68
23:01:26.859388137,0.25,112648,2837311,1527438,714079,36424217,8225674,132643,3.868,3429423,1813431,7.63
23:01:29.136013019,0.25,419866,11499481,1422844,692200,35554330,8209292,128754,3.796,3392241,1823945,6.23
23:01:31.440648876,0.25,122460,3025117,1283921,615682,34669516,7721406,115295,3.639,3168052,1711048,13.97
23:01:33.727519894,0.25,114005,2529887,1220837,575306,42997792,9329373,149994,3.868,3878139,2045684,13.81
23:01:36.055237371,0.25,112322,2538905,1441954,704162,50815801,9117094,160167,3.938,4066769,1970779,9.71
23:01:38.361005335,0.25,109132,2461034,2379303,1179874,89537213,25618577,323968,2.927,11069517,5283715,12.11
23:01:40.659339432,0.25,270703,4918795,3482950,1134760,57258578,12553607,172881,3.430,5040250,2674853,14.11
23:01:42.938038483,0.25,94019,2182887,1426961,684374,42191916,9735277,139273,3.405,4090265,2124267,5.71
23:01:45.270978155,0.25,111346,2425680,72360543,24860894,820777896,145123672,3731187,5.856,63711541,31455486,0.34
23:01:48.078946500,0.25,98837,2235198,1541028,735546,448096848,78097281,1298095,3.681,35268547,15045263,4.69
23:01:50.592699752,0.25,113275,2433324,1419389,667815,40742806,8930956,131275,3.602,3644526,1974936,12.05
23:01:52.889569401,0.25,491219,7548863,1194514,575941,43955039,8890410,140125,3.803,3684935,1945330,11.52
23:01:55.171244974,0.25,94533,2189420,1320903,642102,35391973,7899585,117490,3.611,3254095,1744757,2.60
23:01:58.052259550,0.25,103092,2376211,1274267,594169,72343849,15194391,292693,4.043,7240139,3285226,9.67
23:02:00.361238083,0.25,100423,2335586,1773847,754080,35008366,8256964,119374,3.525,3386274,1824140,11.30
23:02:02.701170321,0.25,95152,2186061,1403407,647852,35594585,7763649,118580,3.692,3212079,1687068,5.61
23:02:04.993121073,0.25,258785,4818010,1223148,590442,34473926,7758799,114807,3.576,3210072,1710160,6.10
23:02:07.418059298,0.25,2660279,40700645,27225579,13274853,807964868,142855316,3765360,6.054,62196760,30619937,8.21
23:02:09.743842108,0.25,92325,2067700,1549616,759555,35980882,8130871,117557,3.537,3323843,1811592,6.81
23:02:12.218458438,0.25,108856,2409361,1187245,552689,69471122,13972414,291875,4.354,6704221,2907435,13.27
23:02:14.528730666,0.25,89824,2034376,1351915,653716,39324515,8619053,123519,3.531,3498177,1926448,16.10
23:02:16.840709263,0.25,105216,2359491,1298299,608618,38460225,8366955,130457,3.750,3479290,1848113,8.36
23:02:19.155054536,0.25,581789,14780635,1248254,595798,34659250,7892913,116440,3.593,3240729,1735249,12.44
23:02:21.463897067,0.25,94553,2149757,1364932,659930,41382548,9765839,138754,3.409,4070032,2170085,10.75
23:02:23.789377828,0.25,97220,2159790,1380648,662205,41862921,8500781,131895,3.739,3527826,1875548,6.58
23:02:26.363085364,0.25,99164,2366224,1350592,638117,74417565,14129324,301515,4.449,6776503,2928084,1.26
23:02:28.844149458,0.25,2656044,39175673,31431878,14908112,37352346,8553660,127155,3.588,3544282,1879752,6.79
23:02:31.137511699,0.25,257324,4661786,1313482,635977,38004612,8466354,129520,3.717,3484566,1873875,10.94
23:02:33.434527851,0.25,108386,2452925,1188799,567977,42140269,9516966,144911,3.676,3941841,2102245,10.84
23:02:35.763591897,0.25,94858,2287881,1430217,684963,32320178,7639927,109910,3.505,3135939,1695267,9.78
23:02:38.053309726,0.25,108771,2415205,1185848,561439,38146282,8514791,130784,3.730,3506589,1839848,7.89
23:02:40.367615207,0.25,110168,2492363,1259030,620361,37621905,8465218,125948,3.607,3491640,1875762,8.59
23:02:42.670520068,0.25,97277,2236948,7186441,2037994,77580917,14943575,294737,4.137,7125087,3112851,11.66
23:02:44.968593535,0.25,102975,2257057,2535619,1148329,49880143,11594462,206061,4.119,5002264,2533692,11.62
23:02:47.249171251,0.25,263496,5114544,1165239,553108,38832326,8145251,124684,3.688,3380784,1781102,12.77
23:02:49.723233362,0.25,3480048,60847018,31638153,15262184,798764355,141363475,3737676,6.067,61609096,30462355,4.80
23:02:52.062429709,0.25,119019,2828064,15794105,4807212,439136814,80442688,1451476,3.932,36917742,15687469,5.99
23:02:54.349201308,0.25,150230,3834909,1275516,609406,36904230,8241381,129764,3.769,3442508,1808921,10.77
23:02:56.663543040,0.25,120046,2615983,1189460,551643,77817272,15422336,311692,4.288,7268165,3195514,12.27
23:02:58.962109808,0.25,87016,2007996,5093741,1696325,37878288,8788885,130673,3.606,3623613,1965109,6.39
23:03:01.256916788,0.25,119767,2766582,2299293,1119112,36948858,8721056,129858,3.608,3598762,1967357,7.82
23:03:03.553711685,0.25,514227,15564146,1907061,748680,41993157,8837507,140464,3.843,3655234,1927791,6.10
23:03:05.825272584,0.25,89597,2046772,1355717,649467,34528286,7844991,116059,3.600,3223739,1748349,11.64
23:03:08.132360785,0.25,92655,2130839,1307766,647040,43564973,8314530,129271,3.742,3454853,1820912,6.37
23:03:10.501374187,0.25,2652220,39547162,23721261,12411512,827986275,146430080,3886466,6.079,63933353,31428151,2.50
23:03:12.875618035,0.25,106964,2476486,1343020,621214,82760739,17143257,321607,3.900,8246496,3626861,6.63
23:03:15.411586721,0.25,100975,2350095,2453945,1151620,37538323,8177222,122714,3.617,3393048,1786265,13.63
23:03:17.708496871,0.25,252017,4581157,1132239,544681,43025388,9498948,144448,3.705,3898912,2033413,6.48
23:03:20.019591616,0.25,107942,2515466,1221405,572511,36279510,8408995,125487,3.603,3482477,1881399,9.22
23:03:22.332979244,0.25,96330,2260613,1400282,688638,35083856,7840568,115163,3.590,3207763,1752022,6.23
23:03:24.863356727,0.25,87729,2030563,1319186,651723,37406306,8168710,125509,3.722,3372098,1787656,11.31
23:03:27.191602048,0.25,113234,2524146,1199648,575422,43052375,8587520,132569,3.740,3545058,1866409,8.37
23:03:29.508564668,0.25,121800,2976047,2322231,1077779,66594910,15181622,238502,3.681,6478992,3124211,14.34
23:03:31.938343414,0.25,2683964,38876444,24841802,12833337,757949007,114357456,2690546,5.557,48413895,25991250,12.95
23:03:34.238445299,0.25,296153,10210156,3301923,1032635,45075139,8306382,129835,3.765,3448367,1843393,12.03
23:03:36.553363126,0.25,104662,2351699,1200531,560998,41656334,9343099,142581,3.733,3819666,2032535,5.64
23:03:38.867726358,0.25,105282,2405628,6724270,2090646,38211748,8177798,120831,3.580,3375016,1795921,7.72
23:03:41.174537761,0.25,103205,2405484,1283504,611330,76569609,14396101,293946,4.258,6902828,3013579,16.11
23:03:43.458015248,0.25,107193,2553924,2372310,1180887,33264442,7581531,115076,3.673,3133004,1656077,7.38
23:03:45.752095254,0.25,125928,2838484,1588435,653809,44641515,9355082,139465,3.627,3844968,2043574,13.27
23:03:48.148746040,0.25,106588,2457046,1279157,612156,37258458,8509015,123620,3.533,3499145,1911438,13.79
23:03:50.454933847,0.25,96174,2268658,1383449,692480,37430524,8348864,123012,3.600,3416765,1848884,12.77
23:03:52.853559925,0.25,3297637,57132026,48838662,17632973,789069235,137530447,3652537,6.144,59445496,29788108,3.54
23:03:55.335658957,0.25,110709,2465640,1245602,593317,72585324,14471705,299865,4.383,6841929,3028193,12.38
23:03:57.616206298,0.25,95043,2199342,2123853,1052009,42399088,9345473,147310,3.834,3842473,2033541,8.36
23:03:59.912829775,0.25,427273,15660480,3170027,1252662,33682605,7738468,114640,3.587,3195881,1704657,9.47
23:04:02.210983493,0.25,236202,4700493,1210954,584312,42364088,8632947,137627,3.836,3588128,1882725,16.49
23:04:04.517835481,0.25,99215,2190694,1134319,541349,46189087,10231044,157126,3.736,4205398,2231964,12.99
23:04:06.804902212,0.25,93897,2114589,1390466,685750,38727120,8202172,127083,3.731,3406067,1792172,8.80
23:04:09.112865431,0.25,396732,10760466,1130823,535714,39295482,8835114,141484,3.805,3718140,1947205,1.52
23:04:11.457981780,0.25,104775,2347792,1163683,554405,70208621,14431791,304840,4.450,6850982,3018715,4.54
23:04:13.844824314,0.25,2544102,39202022,24759653,12863158,781005810,141501028,3676931,6.002,61257453,30878525,1.17
23:04:16.218288145,0.25,259202,4723274,1274150,607640,32473033,7366624,108645,3.556,3055111,1646132,11.22
23:04:18.551989125,0.25,89055,2014609,1328546,637037,195446052,52739812,614868,2.763,22252442,10730220,12.83
23:04:20.834819431,0.25,108091,2451328,1543194,706269,52320694,11516558,161664,3.475,4652596,2396644,6.32
23:04:23.144480396,0.25,100648,2236294,1326005,627838,35521255,7726520,117246,3.652,3210369,1686393,9.67
23:04:25.437679674,0.25,106557,2340225,1178819,548912,49670402,9535116,152304,3.853,3952682,2086632,14.20
23:04:27.721785883,0.25,93284,2121794,1278206,621791,80599801,16285893,297792,3.870,7695339,3439905,6.78
23:04:30.013279584,0.25,100578,2215159,2284478,1140226,81207235,17077999,216442,3.155,6860614,3386633,14.35
23:04:32.350698809,0.25,283384,5527460,1156182,556668,37962214,8465966,132275,3.780,3499090,1861649,15.25
23:04:34.676118361,0.25,2853863,46471358,24062125,12506420,823700778,145224870,3633311,5.755,63131008,31468024,0.45
23:04:37.098374654,0.25,93974,2219198,1429425,695987,33613907,7449832,113158,3.681,3074167,1616327,6.01
23:04:39.388659953,0.25,126535,2676288,1188563,565294,41638947,9198267,145528,3.850,3779611,1947173,11.58
23:04:41.915786283,0.25,104161,2347087,1360187,657249,60607217,13549653,236142,3.859,6118738,2841907,12.61
23:04:44.249044378,0.25,117392,2605296,2621257,1230687,31929028,7389357,108721,3.569,3046614,1644050,8.31
23:04:46.580277930,0.25,241270,4670388,1231134,587606,39215284,8932860,131508,3.646,3606697,1971454,15.84
23:04:48.845153727,0.25,107849,2428380,7795887,2501629,38268068,8933148,130166,3.526,3691391,2021053,8.08
23:04:51.149940004,0.25,98721,2314918,3593497,1164268,38655504,8810028,125549,3.485,3602165,1931134,6.73
23:04:53.463345882,0.25,119634,2771833,1330954,590700,61796896,13087115,179978,3.354,5365600,2762145,0.57
23:04:56.904550109,0.25,3379635,57586114,42152263,18625962,346484979,61441840,1262135,4.780,26406075,12391190,1.35
23:04:59.244907574,0.25,487718,14083334,1360431,648664,37402794,8442500,131434,3.734,3520018,1871163,6.10
23:05:01.569225647,0.25,120738,2626063,1355536,648987,38178789,8683457,128720,3.633,3543132,1921297,11.90
23:05:03.888425857,0.25,108135,2291960,1389416,677428,45443728,10633970,189258,4.007,4722831,2372199,11.28
23:05:06.188444139,0.25,110463,2405771,1705574,686895,379903491,64097222,655759,2.662,24629770,11677602,10.51
23:05:08.497616797,0.25,108237,2445343,2167348,1075612,157753146,43558004,525195,2.914,18025602,8675463,8.74
23:05:10.810000710,0.25,274121,5463728,1325024,650970,34112699,7587710,112269,3.603,3116118,1674631,6.39
23:05:13.133950581,0.25,92949,2143371,1235948,586340,41269175,8260576,135036,3.923,3442545,1810937,12.66
23:05:15.461619696,0.25,105492,2289492,1227552,603621,39401075,8525764,135925,3.844,3535819,1856067,0.37
23:05:19.093629683,0.25,355166,9719128,1355448,662763,35321073,7944879,123240,3.696,3334270,1765989,9.14
23:05:21.377663227,0.25,103052,2368593,1399309,678673,37628237,8236013,129792,3.798,3417825,1806346,9.15
23:05:23.696885474,0.25,113896,2369041,1282083,546539,40953556,9089442,142215,3.784,3758475,1999744,7.77
23:05:26.035605870,0.25,113970,2530645,1217893,584307,41020973,8957119,142988,3.859,3705375,1955552,3.53
23:05:28.347686208,0.25,101063,2319354,1392589,669071,71258475,14198072,288729,4.271,6760858,2978901,11.94
23:05:30.649010620,0.25,108541,2332547,2062266,1038896,41499895,9047217,142317,3.822,3723612,2000197,15.07
23:05:32.952761284,0.25,254120,4552642,1228838,587279,36454208,8255865,119980,3.545,3384647,1800092,12.81
