horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
15:57:34.120255908,1736164,53247345,1918765,907599,33084962,7856467,108414,3.201,3386752,1734610,30.65,12.74,0.35,13.04
15:57:36.467462090,94416,2390137,1321013,603587,28319936,6572856,94848,3.416,2776432,1459260,63.53,5.21,0.28,5.41
15:57:38.798035013,146796,4483981,1005539,481868,36980707,8945571,123652,3.260,3793194,1963982,26.64,15.84,0.61,14.96
15:57:41.832674151,312621,6821063,1325296,582293,33219376,7693726,112022,3.475,3223653,1689353,25.08,16.63,0.43,14.60
15:57:44.141787849,89027,2005797,1076479,531732,29959593,6654409,97053,3.431,2828985,1475328,28.43,17.93,0.58,17.57
15:57:46.479865987,111306,2610720,1045857,505440,30062154,6855230,98099,3.441,2850884,1514531,61.04,7.45,0.30,7.65
15:57:48.841186558,94910,2140387,936636,447622,40993221,10265762,134036,3.025,4431006,2247884,34.11,12.64,0.32,8.87
15:57:51.163375674,79470,1900300,1176569,566666,72975467,15314364,295639,4.010,7373127,3061901,30.93,17.13,0.42,16.38
15:57:53.479586716,97950,2444366,3561265,1400263,35322362,8885521,118982,3.086,3855596,1922872,26.01,15.61,0.61,15.16
15:57:55.803108357,117390,2685801,1100345,543349,42755716,11223594,166890,3.358,4970603,2457332,23.61,13.29,0.53,11.52
15:57:58.149688806,85399,1971907,1255295,540290,33489527,7787521,115240,3.468,3322886,1738810,28.94,12.04,0.40,12.10
15:58:00.501458899,96102,2153969,1112555,536792,27997544,6416939,90590,3.324,2725399,1433707,30.10,16.18,0.16,15.19
15:58:02.836013849,90211,2047828,1231884,528103,29914035,6852689,98733,3.443,2867789,1496775,27.67,12.90,1.22,12.46
15:58:05.172875743,80822,1901522,1287749,545216,309498755,54941835,556775,2.626,21201399,10294025,33.19,14.37,0.14,12.37
15:58:07.512931519,86333,2099578,1014148,500478,31406582,6904850,96848,3.328,2910369,1534072,30.97,10.15,0.68,10.06
15:58:09.838910213,423737,11740998,3253353,1338078,30211225,6822060,98320,3.438,2859695,1512312,27.71,12.83,0.65,12.89
15:58:12.170474216,238718,4585198,1057971,501423,30624220,6687993,93993,3.357,2799961,1468570,26.57,12.23,0.25,15.93
15:58:14.515661176,74808,1890187,971946,454736,31092760,7058391,94472,3.251,2905910,1592203,24.45,13.11,0.57,15.62
15:58:16.850457511,78827,1938359,1220051,500990,36787646,9408742,115900,2.912,3980160,2078561,51.26,7.31,0.32,9.62
15:58:21.024656643,89179,2282281,1308814,519954,25198056,6054064,78578,3.163,2484589,1354327,25.60,13.60,0.41,12.26
15:58:23.339670747,72684,1796651,824595,373358,30318445,7127924,98066,3.375,2905488,1599337,64.92,0.29,1.69,0.22
15:58:25.958724736,2811924,42799523,3686426,1527685,45808025,10739171,195233,4.087,4776452,2201815,44.18,4.32,0.48,8.80
15:58:28.256193833,259206,4606191,1259978,628976,54642790,12808945,192867,3.464,5567869,2788506,34.63,7.92,0.51,12.19
15:58:30.578460316,125074,2625989,1267442,619908,68176604,14707603,206323,3.398,6072317,3063311,36.19,11.72,1.06,10.16
15:58:33.014358509,126297,2585595,1326317,653298,41955352,9126077,142629,3.762,3790935,2019411,56.84,5.28,0.25,7.47
15:58:35.363210097,137381,3009321,1179470,565568,43386849,9893025,162882,3.970,4102700,2131535,35.07,10.39,0.68,8.50
15:58:37.694285310,120591,2641865,2087189,862115,69458012,14045004,294999,4.323,6823961,2929138,36.75,12.67,0.43,11.03
15:58:40.012371137,215676,4724271,2566078,1283067,36100845,7972716,122981,3.701,3323345,1743398,33.78,10.33,0.51,8.39
15:58:42.326137092,263375,4726753,1257973,607423,41051586,9112788,149853,3.933,3810076,1955670,27.60,14.24,0.66,10.98
15:58:44.668507950,133593,3014966,1263483,605907,44103275,9994562,164611,3.926,4192479,2167961,3.47,0.64,,0.56
15:58:47.286427699,2019251,33531428,1239286,593496,42336636,9461057,151183,3.844,3932814,2063355,30.95,11.60,0.29,10.31
15:58:49.656514531,115547,2544303,2307765,1055870,43832836,9455309,153265,3.902,3928305,2054268,32.51,7.62,0.38,13.03
15:58:51.986612158,132595,3044765,1218875,613390,38865957,8713592,135754,3.767,3604149,1907043,31.20,9.06,0.82,14.60
15:58:54.324952267,129381,2955539,2074897,1059557,42555593,9361306,142341,3.661,3888432,2089280,37.28,9.14,0.35,10.70
15:58:56.677995638,272542,5270679,1324781,633715,41111525,9063185,148961,3.913,3806451,1993888,43.80,7.19,0.51,7.94
15:58:59.055016302,100693,2284221,1396708,683222,167711068,42741725,511867,2.869,17838229,8440730,43.63,6.33,0.13,6.26
15:59:01.566299649,127288,2733106,1264232,603900,52770721,11277435,163159,3.522,4632635,2345013,31.69,13.82,0.41,12.58
15:59:03.934816928,115580,2475719,1233839,589876,88542552,17345744,319447,3.877,8239562,3675272,32.16,10.32,0.40,11.10
15:59:06.262925596,114953,2606591,2374003,1138021,1891463433,347242286,7238403,4.599,157394084,66446123,31.57,0.32,0.32,0.22
15:59:09.211592325,117625,2531974,1784639,719419,205968142,52379369,667362,2.994,22288588,10351009,44.60,7.70,0.46,9.77
15:59:11.564096264,123091,2680513,1263105,601746,38750606,8794371,137341,3.777,3635925,1945369,32.99,9.83,0.39,10.51
15:59:13.919250105,121550,3007841,1155812,549075,58874856,12969245,224674,3.860,5820854,2769541,29.20,9.95,0.39,13.14
15:59:16.264507404,100117,2267901,1251227,615763,39196305,8481067,135160,3.847,3513627,1866127,21.50,9.64,0.16,8.16
15:59:18.614144651,101771,2403692,1253312,598270,36645675,8286886,130600,3.797,3439614,1830240,71.01,2.47,0.19,1.83
15:59:20.965964992,94053,2095973,1388948,664502,35596304,8051889,122312,3.671,3332053,1799213,38.43,5.32,0.73,15.47
15:59:23.332275970,116559,2677767,1356624,660688,44224337,11056356,153914,3.290,4677723,2420989,29.77,12.90,0.80,13.88
15:59:25.689097485,94909,2127283,1800284,783437,37316635,8626284,127756,3.604,3544535,1898706,27.50,11.80,0.54,16.80
15:59:28.024160625,4926748,94530100,31878845,13856098,805255665,143201329,3640019,5.774,63045643,31018254,3.16,0.78,0.12,0.63
15:59:30.843790565,271429,5196320,1209491,565226,41755692,9367036,145530,3.738,3893650,2064581,29.04,11.35,0.32,13.77
15:59:33.179889500,117747,2504969,1314959,632807,42752390,8952606,145469,3.851,3777647,1937523,27.29,13.34,0.68,13.38
15:59:35.545540839,98561,2273261,1361192,652148,40064612,8679167,139342,3.881,3590218,1889354,49.38,6.11,0.24,4.19
15:59:37.895643999,111611,2486113,1243249,590193,384024283,64473169,624959,2.531,24696684,11815922,24.34,14.80,0.72,13.50
15:59:40.241529787,101304,2332895,1437964,671755,81701527,15278553,312110,4.240,7360440,3185861,31.24,10.90,0.45,11.47
15:59:42.611184659,93002,2165233,2528077,1206069,39475548,9606321,135217,3.304,4092703,2110017,29.00,12.04,0.82,9.52
15:59:44.949836886,246927,4551922,1324590,618074,35384817,8011352,117955,3.602,3275157,1743384,34.09,7.02,0.36,13.56
15:59:47.317513302,104567,2406501,1303898,612947,37546422,8575513,129070,3.660,3526088,1894840,13.59,4.83,0.21,4.91
15:59:49.764885278,2858716,50843680,25110873,12862302,985854577,165059847,3955061,5.536,71443979,36797533,50.89,5.65,0.23,4.81
15:59:52.112466574,118055,2601704,1403838,686048,35957677,8110791,118356,3.518,3364344,1789632,32.77,10.01,0.78,7.94
15:59:54.447825228,97634,2256456,1299512,631366,72001373,13494321,276270,4.256,6490725,2837088,27.14,13.21,1.16,12.88
15:59:56.783833081,96150,2432794,2341499,1142425,50889551,13000966,171880,3.090,5561912,2846260,38.49,12.10,0.35,11.31
15:59:59.152973858,255196,4723095,1291974,625237,180246101,51224573,601449,2.761,21785006,10349149,34.00,12.63,1.21,11.36
16:00:01.486498763,111704,2473007,1399154,650705,37938636,8358094,124376,3.604,3451298,1848368,33.98,8.94,0.42,11.94
16:00:03.840848209,98291,2251801,1402750,683236,34982008,7870171,117881,3.657,3223639,1726122,54.33,6.69,0.57,5.40
16:00:06.163524840,100643,2310774,1397281,674895,43854979,9537107,169544,4.110,4125332,2066362,29.63,11.20,1.20,10.29
16:00:08.530129154,98728,2186476,1346023,646706,84641859,15945888,299515,3.930,7622135,3378966,71.89,3.27,0.17,3.01
16:00:10.995860845,3488932,61342715,25854507,12913761,929395258,157243398,3866053,5.677,68099867,34874979,32.85,1.12,0.06,0.79
16:00:13.406329534,399567,7670798,1216174,573146,40628039,8969294,143232,3.860,3710635,1959229,27.61,6.40,1.06,12.81
16:00:15.765236428,109603,2553113,1281212,621142,44253343,9303656,147333,3.820,3857202,2046387,32.88,8.34,0.79,10.94
16:00:18.111871863,116583,2564815,1380173,652767,37839750,8529301,132252,3.732,3543439,1875207,23.71,3.05,0.17,2.37
