horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
05:14:33.333817027,1785294,54489898,1223987,535598,29815230,6952145,99652,3.446,2891656,1556915,26.36,14.89,0.39,13.94,33.48
05:14:35.697823005,88559,2138289,1018741,515340,33342432,7733675,117942,3.576,3298497,1738357,26.98,16.98,0.44,17.33,33.21
05:14:38.078354744,92679,2185977,31611107,13183533,2134200406,446235991,6917054,3.430,201635673,86472153,18.55,0.92,3.59,0.36,27.06
05:14:40.658485331,278446,5246088,3401671,1489839,46764252,10431913,204045,4.345,4695739,2160560,68.33,3.80,,3.70,21.55
05:14:43.000534177,219072,6297691,6942405,2032762,118965166,23285850,418038,3.708,11272693,4716486,38.76,4.99,0.10,7.64,37.46
05:14:45.332521961,132397,2829420,2734102,1250855,48139082,9651885,166472,4.053,4107322,2061380,31.75,11.75,0.24,9.56,39.71
05:14:47.696429465,283237,5525316,1682982,840444,45188317,9745046,161218,3.857,4179371,2090101,39.40,5.26,0.50,13.21,35.05
05:14:50.064183944,119822,2654689,1573233,816624,45338830,9757449,156198,3.694,4228129,2078941,35.84,6.80,0.39,8.85,37.62
05:14:52.429367770,134445,2781407,1474978,716008,42377215,9704275,154468,3.798,4066620,2078572,32.17,12.00,0.15,10.44,39.44
05:14:54.927431264,117076,2532280,1365078,706936,81192420,16765433,344811,4.320,7981191,3319828,33.19,9.28,0.24,15.00,33.04
05:14:57.282146279,118084,2604042,3200146,1419132,37784032,8548533,138376,3.838,3605076,1852359,10.73,0.30,6.39,0.34,25.52
05:15:00.241777748,301985,5963653,1545542,783551,80964362,18381922,301588,3.706,8137189,3682470,70.61,4.44,0.06,3.11,17.67
05:15:02.792752035,106090,2316143,1411225,721344,37510007,8348404,129995,3.723,3492047,1811788,37.24,11.29,0.13,11.54,32.43
05:15:05.194193106,114440,2538092,1401367,677883,85214362,19327610,350678,3.773,9294278,4060306,35.78,10.09,0.15,9.64,36.91
05:15:07.569068539,102056,2260733,2303435,1094104,45509677,9136142,145946,3.812,3828590,1990514,10.95,1.96,0.16,2.01,60.09
05:15:09.942613528,243890,4582944,1404189,686834,39953166,8773349,132833,3.670,3619547,1932121,29.73,11.92,1.40,11.43,37.09
05:15:12.322405693,118130,2650243,1293099,626738,40046831,8910716,138349,3.759,3680497,1959322,38.00,4.09,0.23,7.73,41.85
05:15:14.713256358,109397,2423185,1443943,689668,39067732,8963883,137597,3.688,3731095,1975772,35.17,10.06,0.52,10.19,39.73
05:15:17.071627029,99630,2278911,1680021,747786,45842777,8842654,143194,3.832,3736331,1922118,19.92,0.26,5.65,0.36,17.63
05:15:20.195571510,1102177,29264490,2112826,965593,61249957,12813363,205870,3.747,5494634,2740634,20.52,11.50,0.62,11.05,41.87
