horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
09:58:07.152162408,0.25,1568189,49558971,856644,425490,59944804,11844526,242948,4.151,5852903,2468504,99.53
09:58:09.014420944,0.25,170196,6384250,801500,393677,70982546,15154938,281412,3.795,7415421,3150463,99.17
09:58:10.841408958,0.25,84645,2021212,1200885,525827,31041143,7619891,96443,3.053,3158636,1681691,99.49
09:58:12.720295766,0.25,1244455,31336990,2140383,986865,27673589,6419757,86506,3.220,2686361,1435681,99.70
09:58:14.585391208,0.25,79291,1939230,986350,487463,29859571,6756808,93433,3.342,2795338,1496752,99.56
09:58:16.464895567,0.25,117109,3080532,1636153,666891,28982491,6851655,87855,3.102,2832261,1536165,99.66
09:58:18.321860946,0.25,78137,1862292,907384,440014,31085348,7205701,97625,3.287,2969886,1600112,99.82
09:58:20.178326057,0.25,83192,2124849,969786,472432,29783587,6828948,99030,3.477,2848047,1530918,99.55
09:58:22.042596874,0.25,103557,2717951,1529032,608853,29443122,6777142,88008,3.142,2801207,1537987,99.66
09:58:23.920480497,0.25,407462,8575823,10895324,2866459,60871160,13486989,142630,2.682,5318220,2722815,99.46
09:58:25.754806518,0.25,78812,1894323,1023019,489269,31448325,7104100,96023,3.259,2946779,1565386,99.62
09:58:27.599054941,0.25,75272,1835351,2205526,1093174,30384079,7052934,93154,3.207,2904431,1571577,99.56
09:58:29.463306919,0.25,77608,1842773,1111494,543146,84026552,17322208,209260,2.965,7058126,3767729,99.55
09:58:31.311986610,0.25,82806,1989322,996233,475347,62981978,13393760,261867,4.065,6442374,2808160,99.50
09:58:33.323889272,0.25,81055,2012088,918241,446803,68779170,13698074,273534,4.138,6610739,2844503,99.57
09:58:35.185476454,0.25,101898,2893035,942574,442125,35167904,7559382,103203,3.287,3140154,1699195,99.57
09:58:37.061881106,0.25,88301,2097048,933952,446155,29902505,6908742,91414,3.229,2831316,1546624,99.67
09:58:38.933820742,0.25,92794,2126659,941126,457591,29087218,6463207,82373,3.121,2639556,1451094,99.29
09:58:40.798904789,0.25,77676,1930435,1004634,487132,44525798,11114351,149626,3.055,4897933,2435219,99.61
09:58:42.671250985,0.25,74937,1860363,1244406,560562,27986558,6539306,86660,3.210,2699948,1470280,99.57
09:58:44.556120995,0.25,75390,1818094,4505606,1342272,184037006,33176272,290276,2.242,12948974,6193103,99.52
09:58:46.409592981,0.25,76048,1916277,865029,418446,35088713,8943035,112828,2.972,3796001,1981258,99.71
09:58:48.282358120,0.25,84689,2246085,1528099,585844,34135274,8208740,108171,3.142,3443155,1835987,99.58
09:58:50.174737505,0.25,222679,4286834,917446,436848,29580962,6790872,87824,3.146,2791328,1539753,99.71
09:58:52.029816810,0.25,90437,2146730,41460928,16144355,42665570,10004381,137409,3.346,4106296,2187441,99.76
09:58:53.905428846,0.25,272182,6652235,4695406,1959185,70314140,14576704,230490,3.471,6640991,2984706,99.16
09:58:55.745781246,0.25,270580,6366830,14412133,2706785,114075305,37139150,517565,3.003,17233019,7953053,99.43
09:58:57.612931242,0.25,254610,5940130,2703958,1189368,112348496,24039512,440529,3.783,11645447,4898834,99.48
09:58:59.458929379,0.25,123797,3656486,4872911,1618634,84213916,15841546,189389,2.900,6530682,3132128,99.64
09:59:01.330609785,0.25,85144,2009919,912210,418476,31621646,7341416,97086,3.249,2988507,1645962,99.64
09:59:03.232378760,0.25,283738,6836648,995803,462822,77863321,21389454,299854,3.127,9588232,4507756,99.56
09:59:05.091065323,0.25,87951,2330120,957266,462104,369280593,64861629,530880,2.129,24940164,12085824,99.54
09:59:06.957160293,0.25,77629,1938933,1507144,637659,29048871,6628597,83728,3.104,2697267,1474005,99.66
09:59:08.837963352,0.25,75481,1872741,978093,467579,27926156,6408030,80142,3.067,2613366,1431930,99.56
09:59:10.720875738,0.25,69396,1806240,982308,469062,31179004,7108995,95727,3.274,2923988,1593477,99.80
09:59:12.595032781,0.25,1535488,28396804,2135863,1068639,46656509,9371291,142028,3.417,4156397,2020955,99.59
09:59:14.513504953,0.25,223057,4406464,892326,431842,29693563,6894609,91948,3.247,2832145,1534866,99.55
09:59:16.400746048,0.25,226642,4431187,894312,420968,27977779,6642303,82337,3.072,2680029,1472832,99.49
09:59:18.270915755,0.25,83660,1974551,827940,387523,33521793,8245628,103020,2.989,3446761,1862815,99.57
09:59:20.142543647,0.25,71155,1838479,2430642,1043578,27252664,6576060,83373,3.129,2664587,1507153,99.69
09:59:22.053181083,0.25,107456,3003222,1026963,494827,27029313,6353704,77033,2.973,2590809,1432197,99.56
09:59:23.910807322,0.25,194313,4318064,935472,448605,58851907,11700082,231534,4.055,5709670,2431120,99.68
09:59:25.790721801,0.25,75449,1973309,5173240,1487469,101495284,18811227,262620,3.210,8181325,3649141,99.76
09:59:27.647140036,0.25,71203,1828284,966921,461994,28310321,6445961,82321,3.130,2630114,1445247,99.17
09:59:29.511166187,0.25,76611,1876661,994797,470293,26066536,6186841,78055,3.081,2533207,1393762,99.68
09:59:31.394315357,0.25,76780,1899776,855406,406252,27687982,6595032,82468,3.094,2665739,1473115,99.71
09:59:33.415904884,0.25,76219,1886313,1793110,841454,41162959,9950157,118559,2.822,4200758,2203477,99.56
09:59:35.273412219,0.25,71215,1848850,974653,465338,30377377,7150189,90196,3.113,2897428,1611265,99.54
09:59:37.128529959,0.25,68387,1831149,973654,473074,29315763,6144509,83954,3.306,2539749,1374819,99.66
09:59:38.993251678,0.25,75685,1928116,1023041,468933,33846456,7194215,94471,3.195,2956529,1615591,99.64
09:59:40.882576118,0.25,76046,1876585,1089404,481811,28808709,6902561,92263,3.202,2881598,1520547,99.61
09:59:42.747615550,0.25,216510,4227489,2067459,900113,29034470,6705051,84855,3.098,2739038,1532930,99.50
09:59:44.624487737,0.25,75746,1862617,1036471,498734,29603511,6796195,87399,3.140,2783118,1524352,99.54
09:59:46.497383823,0.25,73160,1861913,2090908,1001523,167350085,29462844,253570,2.230,11369824,5364092,99.63
09:59:48.365119317,0.25,63837,1660897,1652717,758719,32237226,7266430,93840,3.128,2999990,1627559,99.67
09:59:50.234849560,0.25,70365,1848074,900976,428801,58755948,12529910,243653,4.017,6065598,2645525,99.69
09:59:52.093243943,0.25,69683,1831563,28745039,12365407,215404660,39489603,752398,4.138,18183086,7755607,99.53
