horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
18:11:14.193382439,2823872,94492766,47341654,10613133,1031115653,279489385,3625139,2.907,124682643,61379715,81.15,1.22,0.03,1.09,mswapper
18:11:16.720474957,1234737,74491608,31594185,7550209,1496320311,373015553,4658509,2.747,169584166,75607172,94.75,0.32,0.02,0.17,mswapper
18:11:19.618821159,6044496,214519815,1204403,578796,35180003,7945604,120474,3.557,3387399,1779382,26.83,15.83,0.70,16.39,mswapper
18:11:22.026898358,105170,2588484,968112,463237,81542618,17179146,349934,4.029,8684604,3507460,26.74,15.14,0.23,13.34,mswapper
18:11:24.372595213,87655,2066975,3215885,1359157,33129962,7327801,109668,3.526,3110169,1604025,30.65,9.68,0.39,11.69,mswapper
18:11:26.781541340,384887,8114949,7535113,2871380,28968138,6478914,93197,3.355,2778037,1431834,33.02,14.15,0.36,12.70,mswapper
18:11:29.148834560,110169,2760001,920045,443792,33635892,7992857,120849,3.583,3372912,1625653,25.19,18.19,0.23,16.23,mswapper
18:11:31.500075662,98869,2887677,1734289,674348,36055941,8281102,121545,3.486,3486591,1801535,66.26,4.19,0.17,3.27,mswapper
18:11:33.863609236,95530,2100982,1672765,741968,29543279,6769725,99163,3.488,2842727,1493935,29.74,11.27,1.61,8.75,mswapper
18:11:36.213540538,92763,2098886,1114730,555136,310536009,73842415,1092611,3.177,34391478,14819196,40.07,15.89,0.16,11.57,mswapper
18:11:38.546454399,80311,1909226,4665204,1522661,33260026,7412814,106608,3.402,3133777,1635076,35.56,12.75,0.79,11.70,mswapper
18:11:40.917048215,262623,5163411,1281205,572674,37233474,8870779,125063,3.282,3810149,1959431,33.52,13.51,0.32,9.33,mswapper
18:11:43.251651856,91701,2163157,1316631,624569,32496187,7677061,118794,3.622,3279812,1721566,30.67,14.22,0.60,10.34,mswapper
18:11:45.588971073,92711,2263997,1037528,512894,33274457,7304157,106677,3.455,3087488,1588256,46.61,1.57,0.09,1.61,mswapper
18:11:47.946388913,101761,2193558,969041,471795,34813466,8050110,116144,3.374,3442710,1760115,32.02,11.95,0.49,12.99,mswapper
18:11:50.335204422,81931,1932338,1001336,497702,88888724,19510134,334611,3.496,9571680,4111482,36.28,12.31,0.34,12.92,mswapper
18:11:52.709439894,87380,1968100,2808246,1198240,29563005,6852017,97088,3.363,2887212,1526239,32.23,12.78,0.33,14.84,mswapper
18:11:55.056864595,239543,4465787,965190,449223,41247269,10859542,158669,3.304,4802845,2360876,20.29,15.14,0.18,19.59,mswapper
18:11:57.412915727,89419,2284233,2053717,930028,33900167,7777983,114692,3.520,3258050,1719333,29.40,12.30,0.31,14.05,mswapper
18:11:59.758440492,102166,2546909,1129757,576093,29393088,6321255,88156,3.321,2654426,1401084,40.32,10.82,0.31,13.27,mswapper
18:12:02.074210542,247423,9264928,2963479,923588,32879969,7301385,106349,3.477,3058504,1623060,26.74,11.60,0.46,9.91,mswapper
18:12:04.427245122,76812,1838062,1251928,558143,35660678,7963196,120101,3.544,3388987,1774880,36.50,0.50,1.66,0.36,mswapper
18:12:07.008026437,530493,13932221,6189771,2153538,76905322,17171513,314450,4.058,7749730,3293692,41.56,8.29,0.27,11.61,mswapper
18:12:09.326309281,325399,6063350,2358715,895935,66324446,17351137,281368,3.562,7899382,3633829,35.34,7.13,0.49,13.91,mswapper
18:12:11.647450037,124372,2609085,1213982,610609,40570706,8603444,147084,4.028,3651636,1817542,37.11,5.38,0.18,8.03,mswapper
18:12:13.981979709,117094,2653587,1268703,632021,52271001,11250300,160749,3.334,4821647,2446728,56.79,5.88,,4.60,mswapper
18:12:16.325508508,119237,2530067,1205275,582468,148519195,45891692,528700,2.783,18996437,9077315,45.29,4.40,0.14,4.00,mswapper
18:12:18.668009790,119576,2590961,2241375,930553,80788305,17661608,324515,3.792,8557089,3724787,28.38,10.02,0.45,14.42,mswapper
18:12:21.011149750,108793,2423942,2508109,1153007,44172467,10197585,152945,3.536,4325216,2217767,31.69,11.16,0.65,12.01,mswapper
18:12:23.373111370,260148,5124091,1449502,712550,42878853,8545036,135642,3.776,3592178,1870468,29.41,7.12,0.14,17.46,mswapper
18:12:25.704747448,1701436,32844599,10593233,5381680,35491945,8221889,123587,3.570,3461826,1840765,62.36,8.00,0.43,6.27,mswapper
18:12:28.087430190,110169,2538227,1277596,634338,49533310,12138916,166088,3.177,5227829,2610150,44.37,10.08,0.58,8.72,mswapper
18:12:30.415853026,101167,2334701,1252752,624362,34128940,7551362,110808,3.535,3134611,1684003,31.63,8.97,0.45,11.55,mswapper
18:12:32.737726364,96812,2261476,1216466,604066,35241247,8108409,116038,3.457,3357050,1810158,33.51,11.14,0.16,11.64,mswapper
18:12:35.243366115,110103,2460698,2961857,1322491,39617997,8757820,131612,3.604,3651889,1928605,33.00,9.42,0.33,9.55,mswapper
18:12:37.852694460,371969,13236656,1343774,667327,34882159,7491071,115645,3.695,3129370,1623065,33.68,11.03,0.18,9.94,mswapper
18:12:40.202039202,104185,2324198,1576316,681635,36663503,8557292,125302,3.565,3514455,1924804,39.94,9.03,0.57,11.14,mswapper
18:12:42.552280981,105326,2397730,1145878,538385,39828860,8277001,126232,3.668,3441057,1814961,34.38,11.15,0.18,9.62,mswapper
18:12:44.892383472,100300,2291133,1162359,570383,71874497,15535626,285106,3.918,7276733,3331278,32.49,9.76,0.12,6.72,mswapper
18:12:47.376104859,328560,6140192,4138196,1738172,37490944,8442785,122241,3.522,3471113,1869920,33.99,8.74,0.33,10.74,mswapper
18:12:49.724160020,245124,4604911,1277402,619845,32370999,7197017,107967,3.593,3004700,1576207,34.28,10.76,0.40,8.73,mswapper
18:12:52.060649589,103943,2345120,1555280,708113,36352938,8165157,121074,3.573,3388941,1819853,7.30,2.03,0.09,2.25,mswapper
18:12:54.422028431,103530,2316853,1500485,678827,37200304,8602398,127682,3.595,3551487,1923156,62.96,5.73,0.05,5.68,mswapper
18:12:56.777547103,114082,2508486,1149307,545266,35943540,8229996,120589,3.529,3416856,1821218,32.86,10.47,1.14,10.25,mswapper
18:12:59.115065347,110712,2641821,1150957,550090,76265604,15659693,307449,4.088,7521159,3270012,21.85,16.77,0.26,16.66,mswapper
18:13:01.453206185,169973,4585717,2388591,1169918,39355456,8469302,128989,3.639,3544235,1887616,28.31,11.56,0.37,13.42,mswapper
18:13:03.795402338,231797,4792804,1123679,551860,37193855,8054236,120951,3.592,3367184,1775352,26.32,8.59,1.46,13.50,mswapper
18:13:06.180028189,1284488,20292419,1307617,628798,162169705,45512807,570275,2.981,19130776,9063671,25.54,12.17,0.30,14.00,mswapper
18:13:08.522855364,105956,2694320,1634077,725153,37126679,8227858,116525,3.448,3379135,1851030,49.59,8.87,0.10,7.87,mswapper
18:13:10.855434156,94990,2228403,1359930,653143,32004203,7274654,103087,3.442,2995313,1619149,37.48,9.99,,8.96,mswapper
18:13:13.223848387,104479,2437388,2078176,782707,213939578,36098401,476101,3.119,15265435,6901288,31.66,7.75,0.73,5.79,mswapper
18:13:15.578999900,94553,2237454,2141439,1063346,38854711,8485975,127489,3.598,3543306,1865054,71.51,3.00,0.14,2.72,mswapper
18:13:17.946497024,209348,4241494,1277063,624646,40637599,8419073,123685,3.555,3478807,1868497,29.68,12.02,1.01,12.68,mswapper
18:13:20.273217256,91622,2178709,1246125,588607,40525787,8589670,128198,3.601,3559776,1900613,35.03,8.52,0.26,7.35,mswapper
18:13:22.622015528,93205,2153352,1490522,673570,36274294,8118868,114579,3.415,3355642,1803945,6.98,2.94,0.18,3.40,mswapper
18:13:24.981744937,89427,2128294,1302886,624360,35697634,8075989,113321,3.431,3303070,1799577,7.99,1.52,0.06,1.60,mswapper
18:13:27.433186016,100113,2386961,2647385,1137336,75320671,13775744,277068,4.176,6634545,2821574,30.98,13.17,0.26,13.61,mswapper
