horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
12:29:23.483331030,0.25,1432950,53446826,32037437,3701314,24625110,11161792,79371,1.586,5004080,1368711,7.90
12:29:26.824047314,0.25,88113,4945021,4983783,486758,24480459,10930045,81470,1.644,4955712,1338089,5.30
12:29:29.187107837,0.25,78500,4879134,74617086,13695392,972004588,310727385,4544297,3.187,142581827,37194808,2.38
12:29:31.981855660,0.25,209632,7345661,6477132,785632,35601134,13885813,161332,2.484,6495078,1674137,4.81
12:29:34.456023067,0.25,104321,5488196,6122321,740861,33397594,13123203,137723,2.250,6120118,1593890,7.48
12:29:36.795225813,0.25,133599,6067437,6096550,731967,28356414,12184481,104105,1.865,5582893,1473375,6.38
12:29:39.201980833,0.25,121142,6112085,7103656,790371,67242068,33521838,344149,2.373,14500571,4020270,7.38
12:29:41.568808175,0.25,130046,5967900,6527681,751784,52476994,16633927,268776,3.373,7968122,1985046,6.17
12:29:44.023537207,0.25,118786,6106265,7866372,1118344,31541963,13131036,123251,2.023,6091710,1585477,7.39
12:29:46.421936844,0.25,273530,8496762,6047270,717414,32208972,13231912,126358,2.050,6165267,1596576,7.12
12:29:48.866091038,0.25,128808,6130598,5663740,642603,577347658,163257308,3191188,3.990,79975524,16945134,0.69
12:29:51.642476048,0.25,127367,6056196,5640613,606530,58938382,18930665,292730,3.278,8931006,2272573,7.30
12:29:54.038433776,0.25,111931,5824775,8082758,1179391,28427529,12562627,112186,1.949,5757421,1523551,6.83
12:29:56.459382121,0.25,257694,8053193,6079604,703981,29597572,12446004,112618,1.922,5858366,1501931,7.12
12:29:58.794518343,0.25,110019,5757850,5841205,648448,30429171,12873646,117412,1.959,5994786,1551107,4.33
12:30:01.148542222,0.25,219925,8483408,6001307,678978,28978144,12156130,114524,2.045,5599945,1465351,4.03
12:30:03.501436596,0.25,120482,5923708,5687092,622790,33128021,13567384,136439,2.125,6419659,1648874,7.04
12:30:05.858737501,0.25,110136,5644041,5777964,654826,53037036,17204270,266259,3.268,8147219,2057546,8.05
12:30:08.221417119,0.25,121081,6264040,8205150,1159467,56871402,24964398,247602,2.183,11340525,3135602,6.59
12:30:11.181893588,0.25,414687,14718095,13620806,1971101,104463749,35943989,515821,3.076,16766832,4451191,2.48
12:30:14.068207347,0.25,314781,10209230,21166437,3909723,95080213,29338708,434490,3.123,13912336,3527330,6.82
12:30:16.494805658,0.25,277291,8522352,5842787,658695,26766174,11557551,103998,1.921,5413484,1393157,6.81
12:30:18.873506403,0.25,104784,5477763,5964114,679857,32187870,12825023,127054,2.128,5969867,1547675,8.10
12:30:21.213631739,0.25,112263,5657980,5984538,683250,29084565,12342842,107841,1.920,5615355,1498407,4.11
12:30:23.545077943,0.25,134396,6340563,6021752,697993,27401256,11773996,99476,1.828,5441020,1430598,7.44
12:30:25.951356813,0.25,112206,5696576,5594916,597868,50055812,16250794,253426,3.303,7673307,1941285,7.61
