horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
04:50:28.631176571,1043201,46674407,27705564,3145327,29404480,12463806,107442,1.867,5755817,1519635,17.61,nosymbolsfoundin/bin/sleep,maybeinstalladebugpackage?
7.06,,4.82,70.51
04:50:32.555926845,344997,11694209,5450760,589275,30868232,12833117,100988,1.735,5821061,1580807,15.64,7.18,1.05,5.81,66.99
04:50:34.881275894,2025173,47847993,95411959,16926773,1248927496,360242047,5292930,3.160,167523929,43665645,17.84,0.31,7.98,0.15,7.06
04:50:37.928656949,377446,11943322,7192096,926750,138134676,58592911,791403,3.093,25584161,7041581,36.58,5.94,0.55,3.00,53.02
04:50:40.211143872,179091,8338786,11533712,1614924,35302284,14104256,139279,2.112,6593252,1716749,35.17,5.50,,3.79,53.96
04:50:42.451837988,168922,7877428,6959625,753429,35378174,13901975,124708,1.938,6434348,1700015,40.24,5.69,,3.88,49.52
04:50:44.753500775,139182,6581074,7215422,859290,55907753,20398077,223107,2.372,9407314,2519736,36.38,5.36,,4.32,52.65
04:50:47.079807060,144747,6969033,7956443,1002252,54270183,19502872,222139,2.538,8750822,2326694,47.04,4.75,,3.20,44.05
04:50:49.406293033,122217,6137290,6669340,813042,37453094,14267154,136673,2.082,6564386,1736860,65.45,3.41,0.21,2.12,28.00
04:50:51.781899702,157213,7254323,6543046,835981,36455746,15177132,157917,2.263,6978826,1850171,31.76,6.23,0.77,4.14,55.60
04:50:54.200119071,144267,6805083,6719338,829592,472507779,132013650,2634557,4.080,64576144,13423446,18.37,0.54,7.77,0.37,9.51
04:50:57.407636176,126765,6473227,6588324,781003,58011484,20168137,228350,2.401,9511028,2424589,43.34,5.42,,2.29,48.95
04:50:59.705780123,148547,6805641,6399781,738022,31267846,13143938,118311,1.936,6111725,1596991,22.40,6.13,0.78,4.25,63.55
04:51:01.954512542,114745,6344258,6757335,761818,35180570,13730767,123497,1.919,6435230,1668656,27.89,nosymbolsfoundin/bin/sleep,maybeinstalladebugpackage?
6.70,,4.29,60.95
04:51:04.246494534,113557,6323843,6568017,739373,58364730,17976705,258605,3.047,8487985,2170555,29.23,nosymbolsfoundin/bin/sleep,maybeinstalladebugpackage?
6.19,0.48,4.39,58.28
04:51:06.560267848,112684,6207257,9446923,1279826,35473483,13798431,120223,1.879,6399447,1668472,52.91,4.19,,3.26,39.64
04:51:08.892811090,290420,9481015,6175069,677178,34239232,13626568,110286,1.770,6231682,1672163,34.67,6.23,,4.26,54.57
04:51:11.188461714,127901,6542484,6303185,693407,38586964,15456458,146333,2.085,7018198,1889427,31.97,6.40,0.88,3.44,54.83
04:51:13.457914575,132865,6529085,6649473,795420,37558921,14289954,138505,2.080,6658959,1727061,16.76,0.74,2.85,0.50,11.25
04:51:16.785586322,3947012,96799428,29573045,5045792,35844159,13389500,111152,1.786,6224988,1638944,65.71,2.72,0.26,1.40,21.74
04:51:19.365510225,363161,11365704,10318014,1632782,39757889,14823067,137038,2.023,6773001,1814840,68.21,1.70,0.49,1.06,21.23
04:51:21.972860741,489920,14955106,11596359,1728536,34073627,13668388,104246,1.674,6226991,1681972,71.61,1.39,0.29,0.82,19.94
04:51:24.431554799,228285,9128781,8661461,1147009,86380370,24768338,378691,3.252,11644279,2925255,18.00,4.70,,2.22,44.23
04:51:26.890477034,216642,8944887,7479170,934772,36073015,13860453,122543,1.876,6532376,1680730,33.64,6.15,0.49,3.26,55.38
04:51:29.169479181,297832,9490739,6668141,687091,39305278,14893502,129481,1.883,6875810,1819138,34.10,5.89,1.32,3.57,55.12
04:51:31.450451530,128136,6655246,6877558,792064,45191539,17036692,168005,2.146,7827272,2089314,28.27,6.52,0.23,4.17,60.26
04:51:33.779491922,120281,6471619,6722669,797622,29986770,12951938,102718,1.721,5969718,1587053,9.33,0.37,6.30,0.19,9.70
04:51:37.128992910,632128,18586282,6100427,657775,51047362,18880466,201505,2.392,8425367,2260944,74.97,2.48,0.27,1.91,20.37
04:51:39.535521909,117893,6425619,6515823,744227,32797923,13628683,129996,2.079,6252951,1651259,27.18,8.21,,3.27,61.34
04:51:41.790353057,114336,6325312,8059362,921439,34098269,13487769,113237,1.813,6245463,1639702,58.32,4.09,0.52,2.91,34.06
04:51:44.042404163,118342,6401850,6496273,740201,37385993,14166846,127530,1.941,6571042,1717580,51.37,5.69,0.75,1.61,39.25
04:51:46.381480715,124606,6578528,6448118,722253,34116490,13683453,106422,1.694,6282075,1681984,24.52,6.60,,4.84,60.85
04:51:48.718490817,129521,6609327,6539866,742962,34366331,13832036,114711,1.812,6330603,1685355,22.17,7.21,0.55,4.03,65.53
04:51:50.972383896,110629,6252261,9006492,1300079,35181073,14026346,123197,1.907,6461660,1706805,27.91,6.87,,3.71,60.29
04:51:53.281652386,275549,8781394,6115431,657138,35186263,14142757,122581,1.876,6532582,1730814,30.05,5.79,,4.48,59.68
04:51:56.297132944,3930900,100468957,92760633,18131447,77988222,24090676,311294,2.732,11396233,2898088,38.36,4.58,,2.73,49.65
04:51:58.793483213,127006,6642052,7561367,863311,56471021,18479477,261449,3.024,8645837,2225775,35.19,7.51,0.58,4.70,49.59
04:52:01.084767919,128868,6649187,10640281,1424562,35644017,13896728,120347,1.864,6455986,1688502,29.17,6.89,0.60,3.75,59.58
04:52:03.340312450,278377,8847652,6252203,669254,33333745,13368492,106869,1.725,6195479,1636245,19.50,6.98,0.70,4.55,66.46
04:52:05.591222468,111299,6236804,6477713,725509,39530431,14845485,143869,2.104,6839091,1804658,25.67,8.47,,3.93,61.16
04:52:07.871963048,212066,8692992,6497465,712884,93128647,44607125,414582,2.225,18635754,5350897,26.45,6.21,,3.87,62.75
04:52:10.148498280,132354,6687043,7240128,840947,33281964,13329906,114758,1.856,6181925,1620886,64.38,2.86,,1.73,31.04
04:52:12.481036005,131710,6576986,6063966,642362,37225607,14094411,125476,1.919,6538749,1718835,27.10,6.88,0.99,5.46,59.24
04:52:14.797626447,2746396,70076374,108107387,19932804,851605701,195476059,3963009,4.107,96490819,20564034,19.77,1.22,2.43,0.78,20.07
04:52:18.212919527,351358,12324194,23257845,3265760,88056810,22952945,333552,3.025,11025591,2708941,51.42,3.97,,2.58,40.93
04:52:20.575048753,286071,9989459,8450047,971552,44333776,15349569,150288,2.123,7080345,1853357,51.69,3.56,,1.10,33.35
04:52:23.245476789,740847,22084889,18767399,3297362,62895936,20857755,259180,2.611,9925186,2340736,21.03,4.04,0.35,2.10,41.88
04:52:25.577520662,370102,10732204,8756936,1205445,59922863,18896411,234756,2.567,9146050,2167376,21.10,4.53,0.42,2.31,38.18
04:52:27.902956175,204116,8876012,6007269,661525,36213914,14012154,120879,1.866,6477795,1702675,25.21,5.90,,4.42,64.40
04:52:30.258488447,123717,6414515,6389291,748013,36870217,14353463,122869,1.858,6612992,1752461,55.96,3.57,,2.86,37.61
04:52:32.666254684,126143,6613584,6548350,726106,34772513,14169014,126997,1.931,6575654,1716431,25.28,7.08,,4.44,62.20
04:52:35.016295675,3796566,99685980,106074530,19826581,822483268,190218797,3784257,4.049,93459709,20124802,6.28,0.41,7.25,0.15,8.99
04:52:37.851847607,233587,9349305,6465539,715984,105537849,49734609,482283,2.303,20941707,5995467,28.59,5.96,0.38,3.55,61.04
04:52:40.133799277,125580,6556778,7339495,825593,35593022,13949519,117525,1.807,6504004,1697421,32.31,6.05,,3.73,55.95
04:52:42.515107909,105866,6226196,5874773,615123,29331703,12813751,104959,1.769,5932373,1555957,20.78,6.01,0.55,3.88,67.11
