horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
12:43:27.866681464,1350955,55734644,23662872,2500869,27407827,12163981,70255,1.277,5501547,1494696,13.10,7.89,0.31,5.50
12:43:31.790322124,211095,7657067,5597772,513507,28790910,12526622,76913,1.342,5731590,1541228,14.40,7.62,0.13,5.01
12:43:34.104198896,2494558,76592624,86898594,9066911,31586342,13092288,114097,1.864,6122518,1588765,25.68,7.35,1.13,3.90
12:43:36.390501160,102401,6095700,18109848,2033473,38870217,15785150,139311,1.906,7307365,1927364,22.91,6.55,0,4.02
12:43:38.864107788,127013,6288005,6084184,641662,33768856,13698565,126125,1.974,6390605,1658881,23.11,6.69,0,4.57
12:43:41.238976081,105221,6036634,6013293,654308,31665101,12971794,102990,1.706,6038015,1582202,34.58,6.43,0,4.07
12:43:43.569378125,88422,5853921,8011762,1077283,31721948,13482145,110744,1.783,6212554,1644662,18.42,7.72,0,4.91
12:43:45.775939560,242769,8459312,6017762,628827,30116271,12676606,91700,1.562,5872368,1550200,21.70,7.79,0,5.75
12:43:48.077888036,89489,5809846,7805655,897519,32196219,13212615,106190,1.740,6102734,1611760,20.60,7.18,1.35,5.02
12:43:50.302971095,84840,5740164,5578701,571350,26904693,12340235,88409,1.563,5657498,1507271,52.28,4.25,0,2.37
12:43:52.736000136,100784,6133751,6100389,620050,30837645,12930865,92677,1.544,6001477,1571166,23.06,1.82,3.31,0.71
12:43:55.167199027,101791,6107143,6009785,607414,46350890,16523091,231766,2.962,7824688,1990277,20.42,7.18,0.39,5.27
12:43:57.385141434,94234,5901126,5829845,599070,29132880,12447446,84324,1.463,5765120,1519861,17.47,6.69,0,6.07
12:43:59.671007524,94287,5985827,8021032,1080565,30025586,12525741,93382,1.599,5840152,1526375,15.27,8.08,0.72,6.21
12:44:01.920984408,237760,8113594,5759459,580099,29910077,12671447,89267,1.524,5858746,1543255,19.05,8.25,0.36,4.01
12:44:04.229516374,94523,5985323,5759815,557591,29658207,12544807,88456,1.515,5838065,1533540,16.39,6.73,1.26,4.64
12:44:06.456010656,84525,5805795,17578318,1976023,30951578,13061704,92954,1.541,6033794,1593755,20.08,7.15,0,4.96
12:44:08.761638984,83765,5787795,6037445,610065,29401785,12643275,82383,1.416,5818799,1542406,54.02,3.62,0.29,2.40
12:44:10.986356499,87085,5821731,5847103,565796,31185722,13128143,94625,1.562,6059732,1599734,16.42,8.08,0,4.77
12:44:13.306492981,86748,5881619,5727958,608584,218732754,57590758,1091447,3.879,28137641,6006767,53.88,2.70,1.99,1.80
12:44:16.009334448,241369,8242629,5771691,601051,83578002,42475435,369159,2.088,17675997,5086529,18.50,7.69,0.89,4.61
12:44:18.394446393,178921,7913313,5882615,589141,29744015,12414065,98824,1.700,5814320,1503524,16.51,7.45,1.72,5.35
12:44:20.649774948,91555,5878663,5893739,595543,30485063,12895160,93383,1.574,5933556,1576320,18.95,7.33,0,4.76
12:44:22.928226879,93624,5936960,5926487,590586,29656373,12469328,87368,1.515,5768703,1518316,22.81,7.27,0.90,4.29
12:44:25.245110498,90144,5948713,5744453,573854,30415343,12765334,88953,1.513,5879525,1564096,19.83,7.43,0.42,4.14
12:44:27.550830053,91753,5872809,5685736,550518,57834458,18491663,256356,2.933,8740713,2217897,17.70,8.65,0.49,4.16
12:44:29.764513537,84902,5769133,8081931,1079799,31110281,12723749,97880,1.649,5936334,1544600,20.70,7.32,1.09,5.86
12:44:32.048342775,236117,8107819,5786878,551862,29559576,12501302,86295,1.489,5794066,1529230,20.82,6.48,0.27,5.21
12:44:34.253154839,2421874,64132659,5930492,577859,29116913,12555635,77995,1.352,5768620,1535608,22.84,7.10,0.77,5.20
12:44:36.523941739,79591,5838680,18541692,2095565,31563740,13064363,100978,1.677,6021982,1585267,21.13,7.86,0,4.70
12:44:38.748736567,86262,5822562,6119911,649864,30380075,12893291,93689,1.583,5916660,1570295,19.72,9.20,0,3.72
12:44:41.032652983,86507,5919699,5963926,586885,30481744,12830805,91482,1.537,5951697,1565331,60.35,4.00,0,2.43
12:44:43.250278100,100240,5994464,6025462,631270,29862650,12622916,90295,1.536,5877058,1543359,19.51,7.47,0,4.44
12:44:45.475875000,89799,5893896,5873412,572727,60921583,19643683,260984,2.843,9180591,2385663,70.83,2.55,0,1.51
12:44:47.715752037,94246,5952739,5922579,593392,47870896,17671003,182606,2.292,7965967,2116569,23.46,7.13,2.05,4.20
12:44:49.942229762,87928,5878836,8222316,1109166,29252928,12408941,85865,1.487,5774413,1513333,21.88,6.88,1.18,4.64
12:44:52.305175733,238883,7989943,5963346,610746,29763800,12662857,90719,1.548,5860669,1547934,20.69,7.39,0.40,5.03
12:44:54.621191929,98943,6169270,5832056,583531,32271885,13414289,104350,1.690,6175811,1630327,18.27,8.99,0,3.78
12:44:57.127460226,89455,5923017,5901239,584696,29489018,12533507,91273,1.559,5855088,1531383,62.65,3.37,0.30,1.93
12:44:59.406461542,94371,5989791,5832515,565743,30199499,12716267,93030,1.570,5924658,1557423,17.57,7.87,0.29,4.15
12:45:01.664770925,91746,5977516,5843973,577500,54155428,17452776,231418,2.841,8144338,2101237,18.16,7.22,1.87,4.79
12:45:03.884823771,90783,5846178,23675075,2950167,33037455,13501568,102628,1.646,6233454,1649710,24.83,7.24,0,4.84
12:45:06.176722831,91721,5936240,5742905,588919,47060434,22988918,185791,1.920,9676304,2777370,19.73,6.53,0.25,5.05
12:45:08.484236657,313388,9919429,5975925,601032,31086698,13222159,100343,1.652,6075482,1606269,16.55,7.78,0.66,4.38
12:45:10.726777200,93320,5954019,5794086,615522,30475548,12762150,93745,1.584,5917533,1550479,15.42,8.25,0.52,4.68
12:45:13.116762187,96842,6160055,6077707,638555,29719991,12775775,94570,1.598,5916827,1559754,35.78,0.52,6.89,0.17
12:45:15.900202201,82283,5792013,5812890,586075,29434924,12610203,84596,1.455,5814154,1538641,15.71,6.83,0.47,4.57
12:45:18.172500406,91620,5954918,10657053,1534852,28036605,12236966,87439,1.542,5671218,1495740,21.17,7.28,0,4.66
12:45:20.397038632,238855,7971347,5733675,564571,29065721,12484852,82115,1.425,5763857,1531908,17.92,7.63,1.14,4.89
12:45:22.649557606,88202,5877154,5884865,589303,31271863,12989506,99667,1.645,6057210,1575279,18.30,7.36,0.47,5.18
12:45:24.855444720,90003,5739719,5921398,605376,32437473,13455514,98576,1.589,6203546,1648920,17.79,6.98,0.45,5.63
12:45:27.168899542,89651,5851479,5740302,633093,28481313,12161453,81948,1.451,5647603,1492960,63.07,3.25,0.16,1.94
12:45:29.474050391,93925,5812163,5819853,581883,29426461,12617791,97835,1.672,5853007,1530832,22.47,7.60,0.84,2.55
12:45:31.792714923,79543,5687756,5828356,552778,31049473,12969395,91882,1.534,5990754,1579380,23.76,7.66,1.63,4.09
12:45:34.014766951,82681,5753301,64388307,12371790,67930926,20215895,285084,2.946,9676091,2466349,22.57,6.24,1.72,4.64
12:45:36.247102209,95252,5997584,9182541,1235196,55132185,27736173,237621,2.063,11516601,3338657,21.78,8.19,0.42,4.01
12:45:38.576871785,329005,10472517,5924995,601811,30306480,12649994,93057,1.577,5900361,1533515,15.15,7.77,0.54,4.86
12:45:40.787664539,95130,5914473,5968283,579941,29891225,12760285,87286,1.485,5877886,1563818,15.89,8.49,1.04,4.05
12:45:43.011351499,83808,5793853,5835510,577803,30198827,12697689,90240,1.534,5884379,1546872,20.18,8.07,0.50,5.08
12:45:45.219200357,91563,5917880,5885527,594520,28528328,12175793,82774,1.463,5656653,1495341,82.80,1.63,0,1.09
12:45:47.556218381,90512,5891260,5683711,573984,29827031,12704250,86117,1.477,5831284,1551773,18.33,8.37,0.13,3.34
12:45:49.863940138,84627,5749723,5916918,578440,29418571,12678825,95901,1.645,5829218,1546548,19.74,7.80,0.75,4.39
12:45:52.094300183,81439,5768859,5880887,587266,55074661,17120768,239773,2.981,8043268,2061518,21.84,7.10,0.95,5.18
