horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
18:32:22.233781787,1522022,62826148,30203782,3427176,28030866,12113383,100678,1.784,5641983,1474483,17.38,6.97,0,4.27,70.67
18:32:25.376018298,90226,5814371,5913099,616518,27170065,11924638,85768,1.553,5522386,1460975,25.92,5.86,0.39,5.19,61.65
18:32:27.788224902,100576,5953931,35057740,5866459,699526592,265850730,3143686,2.678,117395850,34088317,29.50,5.27,1.17,3.68,60.38
18:32:30.106295553,262866,9460240,6688541,719066,33908819,13612882,133591,2.099,6363768,1656683,33.19,6.71,0.31,2.80,55.41
18:32:32.449922601,134701,6448600,7167626,861052,37661740,14624866,151329,2.224,6804618,1766400,25.69,7.07,0,3.95,62.90
18:32:34.739047211,117810,6229599,12298557,1583564,34110462,13933321,130462,2.023,6450202,1697178,40.06,6.37,0,2.95,50.31
18:32:36.981916158,382258,12205024,6173152,663744,33940006,13473074,117898,1.880,6270291,1651651,28.49,6.10,0,3.91,59.82
18:32:39.266730841,125802,6508857,6200728,687148,31365036,12690443,102628,1.733,5923242,1559384,30.49,6.14,0.53,4.55,57.28
18:32:41.630862305,119399,6252870,5866545,673387,30881605,12693819,102862,1.743,5901610,1558062,21.46,7.13,0,3.52,62.55
18:32:45.207156207,109747,6009435,6084228,690744,32557160,13100694,105104,1.726,6090392,1595796,26.78,7.60,0.35,3.74,61.25
18:32:47.460406299,117360,6318109,6023889,630473,367657420,90754176,1595485,3.720,42889157,9846286,68.68,1.87,0.17,1.32,21.02
18:32:49.796747331,98261,5877971,9046687,1144237,33355424,13107262,111030,1.840,6035342,1599682,61.34,3.15,0.10,2.06,33.35
18:32:52.056816024,117606,6206086,5927875,672335,28973111,12707026,109783,1.876,5852980,1554284,27.49,7.10,0,5.05,57.00
18:32:54.369044722,113441,6084372,6067832,679655,59757431,18318394,266801,3.089,8637702,2219691,24.57,7.06,0.18,4.10,63.15
18:32:56.591743965,108428,6106404,5963340,642112,60051487,18230027,273898,3.189,8587629,2198074,20.69,6.90,0.41,4.03,67.28
18:32:58.811272250,459821,19306693,10322585,1402937,34721903,13669974,112085,1.788,6269935,1667719,50.04,4.52,0.50,3.30,41.65
18:33:01.086635895,298127,9868012,6018628,628409,30516197,12798421,91105,1.553,5865138,1574516,18.89,6.93,0.58,4.97,67.39
18:33:03.318845241,106728,6043199,5947075,619788,30101314,12649661,90114,1.552,5806663,1557476,26.22,7.56,0.61,4.18,58.98
18:33:05.547639568,96532,5801744,6006270,641346,35614535,13651550,115342,1.844,6253979,1677824,19.77,8.30,0.84,5.14,61.57
18:33:07.937062980,90492,5798425,34547726,6820997,184747518,68997627,852274,2.768,30788472,8526394,58.88,2.50,1.97,1.84,23.44
18:33:10.445307554,97146,6057336,5771889,593288,59622238,18404616,268637,3.088,8700418,2216807,27.77,6.65,0.61,4.67,59.48
18:33:12.779005625,113139,7021972,5997415,612325,30128196,12928454,98314,1.664,5906703,1582660,26.23,7.40,0,4.42,60.85
18:33:15.001125035,92046,6190164,8678569,1150710,34229893,13584434,108750,1.726,6301643,1658907,33.40,5.92,0,3.88,55.75
18:33:17.213553808,256592,8401582,5984282,606889,33191793,13581941,98564,1.574,6261707,1672008,21.86,6.11,1.41,5.34,64.36
18:33:19.435317923,97263,5971574,6522810,654330,49405443,18363555,193180,2.343,8245433,2193116,21.19,6.78,1.50,4.03,66.35
18:33:21.656250711,97461,5990513,5818663,564068,44864922,18648019,174788,2.042,8559923,2343330,22.05,7.02,0,6.37,63.97
18:33:23.879442889,86245,5890931,6203805,680672,31155848,12904643,91366,1.544,5915598,1581034,22.82,8.91,1.53,3.94,61.66
18:33:26.103448039,101614,6139270,6012693,606030,29967137,12493851,87769,1.518,5780643,1529863,55.00,4.17,0.31,2.47,37.64
18:33:28.323958362,2004707,50030347,14940627,2105664,33141220,13679984,100819,1.595,6320741,1690920,21.46,7.52,0.36,3.74,66.14
18:33:30.597926885,100839,5912392,5837825,597081,56530663,17274707,257357,3.127,8228990,2079234,16.90,8.17,0.58,4.56,69.79
18:33:32.925830293,88245,5831650,5889391,627872,35206951,14214901,106500,1.645,6473392,1748383,21.53,7.20,0.36,5.20,64.19
18:33:35.188672933,114399,6437034,6258456,601466,30941836,12664911,88484,1.512,5853260,1544861,27.16,6.51,1.10,5.73,58.16
18:33:37.533050595,258717,8620989,5604128,553002,31765678,13017362,100463,1.683,5970970,1593871,71.16,2.48,0.10,1.56,23.45
