horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
11:58:23.337474930,0.25,238575,11375554,42399798,4305060,143628248,61368935,656708,2.317,28338626,5034010,3.31
11:58:27.174745247,0.25,107735,5319975,5065188,499263,39579234,17060947,155171,2.022,7674242,2115727,9.25
11:58:29.571498883,0.25,668242,25344122,32928537,6305041,982768829,309837836,4327375,3.049,141904546,37250240,6.46
11:58:32.145882237,0.25,171542,6583296,5859789,679665,34139566,13197852,161747,2.605,6209414,1588113,6.85
11:58:34.608541311,0.25,151671,6188728,7224345,930858,30492216,12999494,146368,2.426,6034264,1566421,6.61
11:58:37.048138622,0.25,126972,5838726,5770132,664723,36082394,13749973,170482,2.642,6452388,1666932,8.59
11:58:39.401390179,0.25,517149,19999262,5794919,648492,46690738,18719213,226071,2.693,8393313,2231914,7.46
11:58:42.389837174,0.25,108144,5570417,5327956,589618,41488988,16303115,170057,2.283,7449336,1993438,7.33
11:58:44.855621279,0.25,109098,5571027,5796879,663875,36534961,14651425,141696,2.099,6751735,1796725,7.00
11:58:47.262977938,0.25,136147,6253361,5754622,662985,46230384,16755680,267868,3.384,7916349,2012914,7.27
11:58:49.691527974,0.25,121920,5721081,61752633,11207192,418404528,114801704,2221569,3.944,56321511,12369874,6.90
11:58:52.152354063,0.25,228788,7950841,5271493,550474,29113429,12542381,118462,2.051,5775504,1524387,7.85
11:58:54.549192045,0.25,113610,5559050,5804646,683966,27615732,12138913,110481,1.979,5583225,1473967,3.02
11:58:57.095262426,0.25,132664,5849886,5585623,627113,29696082,12181802,119641,2.103,5687714,1481401,7.42
11:58:59.422809500,0.25,462742,18827929,5778878,672810,91945475,30355393,471529,3.403,13857559,3666057,6.84
11:59:01.790193753,0.25,116500,5977641,9674422,1313793,27928095,11636276,106214,1.963,5411826,1408282,6.78
11:59:04.132201303,0.25,276242,7930088,5391521,543647,27573856,11637936,104261,1.939,5376127,1408778,8.06
11:59:06.483590804,0.25,104981,5608548,5642599,604102,32134115,12632180,130678,2.239,5835348,1512486,nosymbolsfoundin/bin/sleep,maybeinstalladebugpackage?
8.23
11:59:08.967955613,0.25,153676,7047033,5573662,630226,29418086,12038138,109481,1.978,5535608,1459937,0.48
11:59:12.850653483,0.25,417589,12946115,16050315,2732728,30178065,12831430,125874,2.115,5950800,1564180,3.74
11:59:15.332264907,0.25,118044,5962659,5102198,525532,27074836,11567454,104243,1.957,5326512,1403794,nosymbolsfoundin/bin/sleep,maybeinstalladebugpackage?
7.96
11:59:18.016564726,0.25,106364,5516364,9017621,1170877,25230312,11156259,89811,1.726,5202343,1351290,4.95
11:59:20.451123671,0.25,100983,5407197,5596118,615549,29653368,12294592,114405,2.014,5679349,1476895,7.90
11:59:22.812657294,0.25,95656,5266233,6030916,681960,27583325,11634020,99206,1.839,5393164,1412400,7.45
11:59:25.276973287,0.25,124662,5880624,5539747,604492,26166424,11648447,98171,1.828,5370767,1409067,7.16
11:59:27.640544660,0.25,94949,5266760,5488698,586838,51092473,16676999,255101,3.259,7827534,2005033,6.88
11:59:30.040566868,0.25,957614,24988648,70422661,13875718,42589990,16795577,160589,2.055,7814997,2067897,7.17
11:59:32.499740837,0.25,240997,7391625,5383663,570010,33014624,13299925,126733,2.065,6138001,1613232,7.70
11:59:34.917247575,0.25,92957,5304917,5325259,562574,28250449,11711926,100621,1.831,5495405,1415542,6.78
